cell_type	response	n_donors	df1	df2	F	p_omnibus	partial_eta_sq	p_omnibus_BH
Peribronchial fibroblasts	z_AGTR1	93	2	16.09	2.909	0.0834849852979131	0.265565090377944	0.33152204885121
Adventitial fibroblasts	z_AGTR1	127	2	16.93	2.683	0.0972331378781196	0.240670972371726	0.33152204885121
Alveolar fibroblasts	z_AGTR1	120	2	9.64	2.406	0.14208087807909	0.332964295599225	0.33152204885121
Vascular smooth muscle	z_AGTR1	115	2	19.49	0.989	0.389767789756888	0.092137134339482	0.682093632074554
Myofibroblasts	z_AGTR1	34	2	7.9	0.347	0.716734727381989	0.0807540144286712	0.960401598184517
Pericytes	z_AGTR1	77	2	18.04	0.176	0.839957324263438	0.0191387559808612	0.960401598184517
Mesothelium	z_AGTR1	25	2	13.29	0.041	0.960401598184517	0.00613221657194137	0.960401598184517
