sampid	subjid
GTEX-WWYW-0926-SM-3NB2Z	GTEX-WWYW
GTEX-WY7C-0426-SM-3NB3C	GTEX-WY7C
GTEX-WYBS-1126-SM-3NMAM	GTEX-WYBS
GTEX-WYJK-0826-SM-3NM8Y	GTEX-WYJK
GTEX-WYVS-0526-SM-3NM9W	GTEX-WYVS
GTEX-WZTO-0426-SM-3NM99	GTEX-WZTO
GTEX-X15G-0626-SM-EVR32	GTEX-X15G
GTEX-X261-1026-SM-3NMDL	GTEX-X261
GTEX-X3Y1-0626-SM-3P5YS	GTEX-X3Y1
GTEX-X4EO-0926-SM-3P5Z2	GTEX-X4EO
GTEX-X4EP-0526-SM-3P5YW	GTEX-X4EP
GTEX-X4LF-0526-SM-3NMB6	GTEX-X4LF
GTEX-X4XX-1026-SM-4QARO	GTEX-X4XX
GTEX-X4XY-1026-SM-46MVX	GTEX-X4XY
GTEX-X585-1026-SM-46MW6	GTEX-X585
GTEX-X5EB-0426-SM-46MVY	GTEX-X5EB
GTEX-XBEC-1026-SM-4QASM	GTEX-XBEC
GTEX-XBED-0826-SM-47JYC	GTEX-XBED
GTEX-XBEW-0226-SM-4AT6A	GTEX-XBEW
GTEX-XGQ4-0826-SM-4AT4T	GTEX-XGQ4
GTEX-XMD2-1026-SM-4WWE8	GTEX-XMD2
GTEX-XOT4-1426-SM-4B65T	GTEX-XOT4
GTEX-XPVG-1026-SM-4B64Y	GTEX-XPVG
GTEX-XQ3S-0926-SM-4BOPI	GTEX-XQ3S
GTEX-XQ8I-1126-SM-4BOO2	GTEX-XQ8I
GTEX-XV7Q-0426-SM-4BRVN	GTEX-XV7Q
GTEX-XXEK-0626-SM-4BRWE	GTEX-XXEK
GTEX-XYKS-0526-SM-4BRW2	GTEX-XYKS
GTEX-Y111-1026-SM-4TT22	GTEX-Y111
GTEX-Y3I4-0426-SM-4TT29	GTEX-Y3I4
GTEX-Y3IK-0626-SM-4WWE4	GTEX-Y3IK
GTEX-Y5LM-0726-SM-4VBRP	GTEX-Y5LM
GTEX-Y5V5-0826-SM-4VBQD	GTEX-Y5V5
GTEX-Y5V6-0226-SM-4V6G7	GTEX-Y5V6
GTEX-Y8E4-0526-SM-4V6GC	GTEX-Y8E4
GTEX-Y8LW-0326-SM-4VBQ9	GTEX-Y8LW
GTEX-Y9LG-0526-SM-4VBRY	GTEX-Y9LG
GTEX-YB5E-0726-SM-4VDSH	GTEX-YB5E
GTEX-YEC3-0226-SM-DO11B	GTEX-YEC3
GTEX-YEC4-0526-SM-4W21U	GTEX-YEC4
GTEX-YECK-0926-SM-4W214	GTEX-YECK
GTEX-YF7O-0626-SM-4W21R	GTEX-YF7O
GTEX-YFC4-1126-SM-5RQJN	GTEX-YFC4
GTEX-YJ8O-1826-SM-5HL82	GTEX-YJ8O
GTEX-ZA64-0326-SM-5HL8T	GTEX-ZA64
GTEX-ZAB4-0626-SM-5CVN3	GTEX-ZAB4
GTEX-ZAB5-0626-SM-5PNVB	GTEX-ZAB5
GTEX-ZC5H-0926-SM-5CVMZ	GTEX-ZC5H
GTEX-ZDTS-1026-SM-4WAXS	GTEX-ZDTS
GTEX-ZDTT-0926-SM-5J2MS	GTEX-ZDTT
GTEX-ZDXO-1326-SM-57WBS	GTEX-ZDXO
GTEX-ZDYS-0426-SM-5IJEQ	GTEX-ZDYS
GTEX-ZE7O-0826-SM-57WCP	GTEX-ZE7O
GTEX-ZEX8-0526-SM-DO115	GTEX-ZEX8
GTEX-ZF28-0726-SM-4WKFU	GTEX-ZF28
GTEX-ZF29-1026-SM-4WKGC	GTEX-ZF29
GTEX-ZF2S-0626-SM-4WKH2	GTEX-ZF2S
GTEX-ZF3C-0926-SM-DO92P	GTEX-ZF3C
GTEX-ZG7Y-1026-SM-4WWDG	GTEX-ZG7Y
GTEX-ZLV1-0426-SM-4WWC2	GTEX-ZLV1
GTEX-ZLWG-0626-SM-4WWFR	GTEX-ZLWG
GTEX-ZPCL-0926-SM-DNZZ8	GTEX-ZPCL
GTEX-ZPIC-0626-SM-57WDY	GTEX-ZPIC
GTEX-ZPU1-0926-SM-57WDO	GTEX-ZPU1
GTEX-ZQG8-0326-SM-51MSE	GTEX-ZQG8
GTEX-ZT9W-0726-SM-9JGG2	GTEX-ZT9W
GTEX-ZT9X-0326-SM-51MTE	GTEX-ZT9X
GTEX-ZTPG-0926-SM-5O99H	GTEX-ZTPG
GTEX-ZTTD-1126-SM-51MRP	GTEX-ZTTD
GTEX-ZUA1-1026-SM-4YCEA	GTEX-ZUA1
GTEX-ZVT3-0926-SM-5GICK	GTEX-ZVT3
GTEX-ZVZQ-1526-SM-5N9G6	GTEX-ZVZQ
GTEX-ZXG5-0826-SM-5GID6	GTEX-ZXG5
GTEX-ZY6K-0326-SM-5SIBB	GTEX-ZY6K
GTEX-ZYFG-0226-SM-5GIDT	GTEX-ZYFG
GTEX-ZYT6-0526-SM-5GIEA	GTEX-ZYT6
GTEX-ZYVF-1726-SM-5E443	GTEX-ZYVF
GTEX-ZYW4-1526-SM-5SIBA	GTEX-ZYW4
GTEX-ZYY3-0926-SM-5E454	GTEX-ZYY3
GTEX-ZZPT-1326-SM-5E43H	GTEX-ZZPT
GTEX-ZZPU-0526-SM-5E44U	GTEX-ZZPU
