sampid	subjid
GTEX-13OW8-1726-SM-5L3GO	GTEX-13OW8
GTEX-13PL7-1726-SM-5J2NX	GTEX-13PL7
GTEX-13PVQ-0926-SM-5IJFD	GTEX-13PVQ
GTEX-13QBU-0726-SM-5J2OA	GTEX-13QBU
GTEX-13QJ3-1026-SM-5QGQU	GTEX-13QJ3
GTEX-13QJC-0526-SM-5RQKB	GTEX-13QJC
GTEX-13RTJ-1126-SM-5S2UJ	GTEX-13RTJ
GTEX-13S7M-2126-SM-5S2QR	GTEX-13S7M
GTEX-13S86-0626-SM-5Q5E7	GTEX-13S86
GTEX-13SLW-1226-SM-5S2Q7	GTEX-13SLW
GTEX-13U4I-1426-SM-5J2M3	GTEX-13U4I
GTEX-13VXT-1426-SM-5LU4B	GTEX-13VXT
GTEX-13VXU-2726-SM-5LU4N	GTEX-13VXU
GTEX-13W3W-0326-SM-731DS	GTEX-13W3W
GTEX-13X6K-1626-SM-7EWCX	GTEX-13X6K
GTEX-13YAN-1026-SM-5O9CF	GTEX-13YAN
GTEX-144GM-0126-SM-5Q5AX	GTEX-144GM
GTEX-145LU-0526-SM-5O9AT	GTEX-145LU
GTEX-145MF-0726-SM-5Q5BT	GTEX-145MF
GTEX-145MH-0626-SM-5NQAK	GTEX-145MH
GTEX-145MN-0926-SM-5NQBT	GTEX-145MN
GTEX-145MO-1326-SM-5Q5EF	GTEX-145MO
GTEX-146FH-1226-SM-5NQB6	GTEX-146FH
GTEX-146FQ-0926-SM-5LUAV	GTEX-146FQ
GTEX-1477Z-0626-SM-5NQB7	GTEX-1477Z
GTEX-147F3-0726-SM-5NQ9U	GTEX-147F3
GTEX-147F4-0926-SM-5Q5EO	GTEX-147F4
GTEX-147GR-1226-SM-5TDCL	GTEX-147GR
GTEX-147JS-1226-SM-5RQK4	GTEX-147JS
GTEX-148VI-0226-SM-5RQKA	GTEX-148VI
GTEX-148VJ-0826-SM-5LU8V	GTEX-148VJ
GTEX-1497J-0326-SM-5Q5CN	GTEX-1497J
GTEX-14A6H-0526-SM-5NQAZ	GTEX-14A6H
GTEX-14ABY-1126-SM-5Q5F8	GTEX-14ABY
GTEX-14AS3-0926-SM-5TDD6	GTEX-14AS3
GTEX-14BIL-1226-SM-79OME	GTEX-14BIL
GTEX-14BMU-0526-SM-73KW4	GTEX-14BMU
GTEX-14BMV-0826-SM-73KXU	GTEX-14BMV
GTEX-14C39-0326-SM-5TDDX	GTEX-14C39
GTEX-14C5O-1126-SM-5TDEH	GTEX-14C5O
GTEX-14DAQ-0926-SM-793AZ	GTEX-14DAQ
GTEX-14DAR-0226-SM-5S2PR	GTEX-14DAR
GTEX-14E1K-0226-SM-62LDT	GTEX-14E1K
GTEX-14E6C-1426-SM-5ZZWH	GTEX-14E6C
GTEX-14E6D-1026-SM-5S2RS	GTEX-14E6D
GTEX-14E6E-0426-SM-73KUE	GTEX-14E6E
GTEX-14E7W-1326-SM-5RQIV	GTEX-14E7W
GTEX-14JG1-0926-SM-5YY8W	GTEX-14JG1
GTEX-14JG6-0326-SM-6AJBT	GTEX-14JG6
GTEX-14JIY-1326-SM-6AJB3	GTEX-14JIY
GTEX-14LLW-0726-SM-5ZZVV	GTEX-14LLW
GTEX-14LZ3-0726-SM-5YYAB	GTEX-14LZ3
GTEX-14PHY-0526-SM-664NM	GTEX-14PHY
GTEX-14PJ4-0626-SM-6AJBS	GTEX-14PJ4
GTEX-14PJ5-0226-SM-5YY99	GTEX-14PJ5
GTEX-14PJM-0926-SM-6AJ9Y	GTEX-14PJM
GTEX-14PJO-0926-SM-686YT	GTEX-14PJO
GTEX-14PK6-0326-SM-6AJ9S	GTEX-14PK6
GTEX-14PQA-1126-SM-7KUM4	GTEX-14PQA
GTEX-14XAO-0526-SM-6AJB7	GTEX-14XAO
GTEX-15CHC-0226-SM-5YYBB	GTEX-15CHC
GTEX-15CHR-0726-SM-7EPHG	GTEX-15CHR
GTEX-15D1Q-0526-SM-6AJAY	GTEX-15D1Q
GTEX-15EOM-5010-SM-7P8PA	GTEX-15EOM
GTEX-15ER7-0926-SM-7KUMG	GTEX-15ER7
GTEX-15EU6-1226-SM-6AJBE	GTEX-15EU6
GTEX-15FZZ-0326-SM-6M48O	GTEX-15FZZ
GTEX-15G1A-0426-SM-6M468	GTEX-15G1A
GTEX-15RIE-0326-SM-6PAMC	GTEX-15RIE
GTEX-15RJ7-0626-SM-6M47V	GTEX-15RJ7
GTEX-15RJE-1026-SM-6M46X	GTEX-15RJE
GTEX-15SB6-0426-SM-6LPJ5	GTEX-15SB6
GTEX-15SHV-0326-SM-6M475	GTEX-15SHV
GTEX-15SHW-0926-SM-6LPIO	GTEX-15SHW
GTEX-15SKB-0826-SM-7KUFB	GTEX-15SKB
GTEX-15UKP-1926-SM-6LPI9	GTEX-15UKP
GTEX-169BO-0226-SM-79OL1	GTEX-169BO
GTEX-16AAH-0426-SM-7DUFM	GTEX-16AAH
GTEX-16GPK-1826-SM-7MGW5	GTEX-16GPK
GTEX-16MT8-1026-SM-6LPK1	GTEX-16MT8
GTEX-16MTA-1226-SM-7KULL	GTEX-16MTA
GTEX-16NGA-0226-SM-718AI	GTEX-16NGA
GTEX-16XZZ-0926-SM-7DHLI	GTEX-16XZZ
GTEX-178AV-0326-SM-6LPJF	GTEX-178AV
GTEX-17EVP-0726-SM-7EWDX	GTEX-17EVP
GTEX-17EVQ-1526-SM-79ONG	GTEX-17EVQ
GTEX-17F96-0626-SM-793CC	GTEX-17F96
GTEX-17F98-0226-SM-793BV	GTEX-17F98
GTEX-17F9Y-1026-SM-7IGO4	GTEX-17F9Y
GTEX-17GQL-0726-SM-731BL	GTEX-17GQL
GTEX-17HGU-0926-SM-79OKO	GTEX-17HGU
GTEX-17HHE-0626-SM-7DHL6	GTEX-17HHE
GTEX-17HII-0926-SM-79ON7	GTEX-17HII
GTEX-17JCI-1526-SM-7IGOQ	GTEX-17JCI
GTEX-17KNJ-0926-SM-7IGP2	GTEX-17KNJ
GTEX-17MF6-0826-SM-7LT8F	GTEX-17MF6
GTEX-183FY-0726-SM-793C3	GTEX-183FY
GTEX-18465-0626-SM-7LT8X	GTEX-18465
GTEX-18A66-0926-SM-718BG	GTEX-18A66
GTEX-18A67-1126-SM-7KFSB	GTEX-18A67
GTEX-18A6Q-0826-SM-7KFRD	GTEX-18A6Q
GTEX-18A7A-1026-SM-7LT8B	GTEX-18A7A
GTEX-18D9A-0226-SM-7KFSJ	GTEX-18D9A
GTEX-18D9U-0526-SM-72D7C	GTEX-18D9U
GTEX-18QFQ-0926-SM-7LG4V	GTEX-18QFQ
GTEX-1A32A-0726-SM-731D4	GTEX-1A32A
GTEX-1A3MV-0526-SM-72D5A	GTEX-1A3MV
GTEX-1A8FM-0826-SM-793D5	GTEX-1A8FM
GTEX-1A8G6-0726-SM-73KV5	GTEX-1A8G6
GTEX-1AX8Z-5010-SM-AHZ33	GTEX-1AX8Z
