subjid	ids	sampid	alveolar_macrophages	innate_lymphoid_cell_nk	at2	basal	ec_venous	t_cell_lineage	ec_arterial	peribronchial_fibroblasts	at1	multiciliated	plasma_cells	secretory	smooth_muscle	monocytes	monocyte_derived_mph	smg_serous	ec_capillary	adventitial_fibroblasts	lymphatic_ec	transitional_club_at2_cells	alveolar_fibroblasts	neuroendocrine	dc2	dc1	myofibroblasts	b_cell	mast_cells	interstitial_mph_perivascular	smg_mucous	pericytes	smg_duct	mesothelium	ionocyte	smooth_muscle_fam83d	tuft	plasmacytoid_d_cs	subpleural_fibroblasts	hematopoietic_stem_cells	migratory_d_cs
GTEX-111CU	GTEX-111CU-0326-SM-5GZXO	GTEX-111CU-0326-SM-5GZXO	4.88008927543757e-07	0.0009835007119639	0.0950302740545694	0.0099567169675525	0.0755265123653753	6.09715053814649e-07	5.68056384307246e-05	7.0460849938136e-07	0.0424198505064537	2.39373437091424e-07	0.0004557464984513	1.65180774919761e-07	6.89774024127427e-07	0.121143645574582	0.0211742962680238	1.13032337198635e-07	0.118836723779471	6.89595005756681e-07	1.03104372864048e-06	1.05408887407489e-07	0.248563942151979	4.92626121055685e-07	3.95687042539234e-07	2.89502741304352e-07	8.26646621183508e-07	4.46422369789512e-07	0.0004522149747845	0.0579521063572846	0.0002105212842699	0.132761973007841	4.4310022299286e-07	4.06372485400671e-07	0.0002277518472959	0.0032631040112937	0.0416963365906053	1.02388399139517e-06	0.0292777339881161	4.68960580983393e-07	6.14478803982863e-07
GTEX-111FC	GTEX-111FC-1126-SM-5GZWU	GTEX-111FC-1126-SM-5GZWU	1.61555884698329e-06	0.0048302928064496	2.41069293441581e-07	0.0009596566732848	2.69218033955201e-06	6.88273683779994e-07	0.0478283614152305	6.13508330226893e-07	0.0491856828250661	0.0193652959502457	0.0080787623927226	2.26336777344256e-07	0.0553665333051885	0.0007241831031998	9.85760176485318e-07	0.0001341265153852	0.134757294551511	4.06160710176044e-07	1.01515104817517e-06	0.0035665109552964	0.399202731950119	1.73179103080778e-05	1.72655010989236e-06	7.55726256687921e-07	0.013923600387163	0.0834774794522129	0.0024422867776995	0.003355161256566	2.21164169865694e-06	0.0467549193464006	2.2845478904603e-07	2.87593864515177e-07	8.59282752236916e-07	5.0401570412182e-07	5.70886952629798e-07	6.94759295838238e-07	4.08580243006714e-07	0.126012670263073	4.00672004843875e-07
GTEX-111VG	GTEX-111VG-0726-SM-5GIDC	GTEX-111VG-0726-SM-5GIDC	3.72980422689504e-07	0.0017875950334368	3.66796465240647e-07	1.19755166622172e-05	0.054613215497184	0.0051715026143005	0.00099744812907	0.035431711661664	0.0290366359561063	0.0399225840273307	0.0069261605720717	2.2119519410481e-07	0.062184274574066	0.0214579490132727	3.13538180149434e-07	3.69777672418799e-05	0.0708389049117659	2.81261136816354e-07	0.000508793973771	0.0007330094951847	0.45859065332516	1.03086760806922e-06	0.0003386080331235	1.19301258642104e-06	0.0001969365706392	0.0005792124995944	0.0071583333294739	1.49112537457034e-06	2.7833839920767e-07	0.161368997079403	4.35075525435415e-07	3.50351244316722e-07	4.31277441713358e-06	0.0257291587892939	2.55324671262953e-06	2.82808612159531e-06	5.38241868462879e-07	5.06173220032658e-07	0.0163622885657063
GTEX-111YS	GTEX-111YS-0626-SM-5GZXV	GTEX-111YS-0626-SM-5GZXV	4.54849967278517e-07	0.0013841686864407	0.196994209472538	9.92823638205758e-05	9.35972264315617e-07	9.72681973976997e-05	0.0036290368972718	8.43058363124973e-07	0.0817851606963773	0.00172137933362	0.0009929846329839	4.31997541481026e-07	5.64290019655966e-07	0.0416937745796535	5.56005326337156e-07	1.54728729969966e-07	0.276033013347766	4.88497398223902e-07	5.10059080611456e-07	7.19244337053797e-05	0.194783302233397	5.21940328165499e-07	6.49237235775428e-07	5.55757070207174e-07	0.0001256000310113	1.06197642469502e-06	0.0009498109708507	0.0368983094934237	1.96346963712667e-05	0.161159632765413	1.7248389220575e-07	2.61795870427752e-07	6.75713871859895e-07	0.0015490787759128	3.30647204425138e-07	2.24623644147638e-06	2.87345565293052e-07	3.05392654257159e-07	4.2040679629656e-07
GTEX-1122O	GTEX-1122O-0126-SM-5GICA	GTEX-1122O-0126-SM-5GICA	0.0035742343578639	0.0026854219663605	0.160918638259198	1.12872926769022e-06	7.45004561027803e-05	2.25052387073365e-06	0.0042014437540928	0.0047434701283939	0.111812837636771	2.53704969378327e-07	0.0040672871394942	2.09139960648235e-07	6.34156103581453e-07	0.0477113741533546	2.26127319376261e-06	1.75022389045674e-07	0.25834804298351	2.12786761812018e-06	2.76266802573418e-06	7.75318877356498e-08	0.154663387671664	5.26020266636314e-07	7.42730356215764e-07	1.17737151247743e-06	0.0143807026701508	6.25542220644011e-07	0.0003394173781478	0.0494515776347879	1.73011253122851e-07	0.177919555671928	1.66893168423335e-07	4.1118746939683e-07	1.05908100087853e-06	0.0050845186455676	5.75532230477304e-07	4.57148178005142e-06	4.72636810952432e-07	7.33716919441814e-07	4.73670336661567e-07
GTEX-1128S	GTEX-1128S-0726-SM-5N9D6	GTEX-1128S-0726-SM-5N9D6	9.89882093963042e-07	0.0048116795038294	0.0015022244183649	3.02136576769721e-06	0.0636314578998743	0.0109683373751266	0.013630982676988	6.55815346249973e-07	0.0237459071046352	0.0402631472334402	0.0018091658987021	2.7709832559659e-07	1.91124985307099e-06	0.144162219688027	7.80146218189362e-07	1.60525063165502e-07	0.157291728975347	0.0011940794429081	2.22430137495738e-06	3.3089499157024e-06	0.301380559251296	1.66769073583017e-05	8.65775561798148e-07	5.11881070050026e-07	0.0123512204325178	0.0028173303523763	0.0014461193775532	0.0120766172786687	4.67149310422373e-07	0.163830614416583	0.003778195945404	0.0287724587556665	3.61092461352244e-06	0.0001091319235596	0.0002112415148128	9.0197738488404e-06	0.0101677160982424	1.14429538480251e-06	2.23839497113988e-06
GTEX-117YW	GTEX-117YW-0526-SM-5H11C	GTEX-117YW-0526-SM-5H11C	0.0140141880864777	0.004104693903083	1.01170653590306e-06	4.43217586291765e-07	0.0537428164221455	0.0013250887369923	2.57394392113284e-05	0.327876409329165	0.0129130340362723	3.52898301396415e-07	0.0151709358032121	1.78005437688105e-07	1.40201254115892e-06	0.0063832296731953	6.27609004001715e-06	1.5233483205321e-07	0.0930238884231987	5.52484645790751e-07	0.0077446956092625	1.19857307898735e-07	0.224100822354235	0.0005623465460143	0.0363318608380292	0.011579419694878	1.65947634523192e-05	0.0072829188796994	0.0071698639366173	0.0086569143749563	1.53621349366542e-07	0.153346549661941	1.85890910277129e-07	0.0003622127883312	3.52705871957572e-05	0.0048623861902687	1.73858556873735e-06	0.0001473297042516	9.39033470675079e-07	4.84785157785356e-07	0.009206799694229
GTEX-117YX	GTEX-117YX-1326-SM-5H125	GTEX-117YX-1326-SM-5H125	0.006631905581372	0.0010282353339346	0.25361447300924	6.93386294546975e-07	1.76495458337711e-06	0.000904535696073	0.0083611758790091	0.0006592632815743	0.101560799142674	2.43346524016684e-07	0.0043122294759584	1.61665701167878e-07	6.4659577705012e-07	0.0061261665432524	3.55894738304507e-06	0.0001250520856574	0.200200861773519	9.62666202835586e-07	6.89873355372761e-07	6.95247570703677e-08	0.176206561628398	6.02583643631513e-07	3.97411207451432e-07	1.3831859994904e-06	0.0251183198972336	1.99753279802865e-06	0.0014469959560364	0.0698000681209867	1.36145855842434e-07	0.143010182822229	3.12874641426496e-07	0.0007186063311481	1.53338888571431e-06	1.02256591236092e-06	1.05954167641739e-06	0.0001557399361924	2.53967191159504e-07	8.30687520455738e-07	5.06659600159258e-07
GTEX-11DXX	GTEX-11DXX-0626-SM-5Q5AG	GTEX-11DXX-0626-SM-5Q5AG	1.70657149729538e-06	0.0008795934382282	0.144491288533284	4.34138550724328e-07	0.0616852161906739	0.0002802091727007	0.0215789693377087	0.0071974657509118	0.100569177355178	2.66450206153274e-07	0.000664236155363	2.4739687119964e-07	1.24116530808207e-06	0.0036346334802886	1.84903375422399e-06	4.43051960503026e-07	0.112579877237717	6.04754567259967e-07	6.88151728299898e-07	1.5201612693949e-07	0.267560098718779	6.13044020660431e-07	1.24022528888023e-06	0.0037397155920032	0.0005416616825549	9.6530857886996e-07	0.0021035850925491	0.0627466207812553	2.34862488117011e-07	0.191105920084475	2.6264920708587e-07	6.42293073988747e-07	3.01082553411964e-06	0.0186086181705775	5.70507302617516e-07	1.62373464469439e-05	5.10329691626254e-07	6.82873046538037e-07	5.10230502267166e-07
GTEX-11DXZ	GTEX-11DXZ-0726-SM-5N9C4	GTEX-11DXZ-0726-SM-5N9C4	7.04470816013485e-07	0.0035880816878964	0.23728364095044	9.38420902739867e-07	0.0011394025660208	6.76141232205149e-06	0.001104189246856	0.294535313732006	0.0674857837920227	3.01290425095995e-07	0.0008131740883093	2.35317175699522e-07	1.17400842714401e-06	1.29519004886383e-06	0.0695243079796572	2.22253681266299e-07	0.0574943611652993	4.03522146325038e-07	0.0017669693621348	9.91323815353241e-08	8.61037111352261e-07	1.03170177773213e-06	1.01333536667723e-06	3.84133813498468e-06	4.76067396708181e-07	9.53555652735152e-07	0.0008569085594206	0.0858459559573562	2.00123727699132e-07	0.0788193503066628	2.1398488201404e-07	1.06945210552683e-06	2.97220977849017e-06	0.0068235938722436	0.0515688204626607	0.0013260350185376	0.0399651446628682	5.83842209359366e-07	3.36149231375818e-05
GTEX-11DZ1	GTEX-11DZ1-0426-SM-5H11A	GTEX-11DZ1-0426-SM-5H11A	3.50051947095565e-05	0.0009938652057416	0.008538612225876	5.3342932846234e-07	0.0462112578254542	1.21207018173141e-06	0.0183531586355873	0.386449284006809	0.0577170834896608	2.40169502626954e-07	0.016371466092498	1.06151001402774e-07	4.6884903885368e-07	0.0179582208140877	2.49521907339394e-06	1.268470130079e-07	0.070934558279587	0.0325808335171618	4.42129859397652e-06	8.42072135984666e-08	0.124694159544296	1.41477658107556e-06	7.83492777723762e-07	1.58194590456023e-06	8.61571394736436e-06	2.95505358549685e-06	0.0013615494534725	0.0417601831004612	1.24777296893378e-07	0.169707786582589	1.47374326006255e-07	0.0004833167360764	7.44896755293131e-07	0.0057610424650493	8.16803161109024e-07	3.70447091423945e-06	5.57161131192189e-05	1.01736001570477e-06	1.30581155068775e-06
GTEX-11EI6	GTEX-11EI6-0826-SM-5985V	GTEX-11EI6-0826-SM-5985V	0.0040320277399022	0.0017454357647322	1.63820557363005e-06	6.81065099755622e-07	0.0144395150486108	0.0038778030227883	0.0002155595616361	0.0575411924799357	0.0880826082183716	2.97366819388745e-07	0.0032494350432857	1.70320261947541e-07	0.0249724721630088	0.0019913551782208	2.2338029123059e-06	7.43996454279548e-07	0.163813310243132	0.011195768199763	0.0010901642873538	9.61553126351722e-08	0.307958701467908	1.18779655440303e-06	0.0019816329703046	0.0120646349295457	0.046245752353056	0.0578556900256624	0.0023021486296142	0.0259959816318439	2.05650235607519e-07	0.146204487790272	3.16805986803905e-07	0.0125524402491149	1.20611473873778e-06	4.68311240015124e-06	1.38181567017373e-06	4.71979989429356e-06	7.07792341861592e-07	0.0105089749960844	6.26382055968621e-05
