part	title	supports	n_rows	n_cols	status	file	sources
01	Cohort and dataset characteristics	Methods; all analyses	37	26	complete	tableS01.tsv	pericyte_states/_m/pericytes_states_metadata.tsv.gz; cross_species/_m/stats_data/species_comparability_summary.tsv; disease_association/ipf_analysis/_h/sample_demo.csv; inputs/gtex/_m/gtex_v11_lung_sample_data.tsv; inputs/lungmap/_m/GSE161382_metadata.txt.gz; localization/lungmap_replication/_m/annotated_clusters_filtering_summary.tsv
02A	Mouse lung mural-cell composition and dataset comparability	Figure S2	50	3	complete	tableS02A.tsv	cross_species/_m/stats_data/species_comparability_summary.tsv; ..._celltype_by_dataset.tsv; ..._state_by_celltype.tsv; ..._pericyte_by_donor.tsv
02B	Within-dataset Agtr1a detection tests (pericytes vs smooth muscle)	Figure S2	3	9	complete	tableS02B.tsv	cross_species/_m/stats_data/species_comparability_agtr1a_tests.tsv
02C1	Sequencing-depth dependence of raw Agtr1a detection in mouse pericytes	Figure S2; Results (cross-species)	6	12	complete	tableS02C1.tsv	cross_species/_m/stats_data/species_comparability_pericyte_cells.tsv
02C2	Receptor specificity of the mouse mural signal (Agtr1a/Agtr1b/Agtr2, raw vs scVI)	Figure S2	18	6	complete	tableS02C2.tsv	cross_species/_m/stats_data/species_comparability_agtr1a_by_layer.tsv
03	Curated pericyte program gene sets	Figure 2; Figure 3; Methods	99	12	complete	tableS03.tsv	pericyte_states/_h/00.state_discovery.py (STATE_PANELS); basement_membrane/_h/bm_panels.py; pericyte_states/_m/pericyte_states.h5ad
04	Stable pericyte cluster characteristics and program assignments	Figure 2; Figure S7	6	31	complete	tableS04.tsv	pericyte_states/_m/annotations/state_summary.tsv; pericyte_states/_m/stability/cluster_bootstrap_jaccard.tsv; localization/airspace_analysis/_m/airspace/pericytes_airspace_denoising.tsv
05A	AGTR1 dropout model: observed vs depth-matched expected undetected cells	Figure 1; Results (localization)	1	10	complete	tableS05A.tsv	localization/pericyte_analysis/_m/qc_results/dropout_expectation_results.tsv
05B	Airspace-affinity models for AGTR1 (cell level and donor level)	Figure 1; Figure S1	2	13	complete	tableS05B.tsv	localization/airspace_analysis/_m/airspace/airspace_effect_AGTR1_per_cell.csv; localization/airspace_analysis/_m/airspace/airspace_effect_AGTR1.csv
05C1	AGTR1 by pericyte program under three measurement lenses: marginal means	Figure 2; Figure S5	9	8	complete	tableS05C1.tsv	pericyte_states/_m/stats_data/agtr1_lenses_by_program_emmeans.tsv
05C2	AGTR1 by pericyte program under three lenses: pairwise contrasts	Figure 2; Figure S5	9	9	complete	tableS05C2.tsv	pericyte_states/_m/stats_data/agtr1_lenses_by_program_posthoc.tsv
05C3	Top-ranked pericyte program under each AGTR1 measurement lens	Figure 2	3	4	complete	tableS05C3.tsv	pericyte_states/_m/stats_data/agtr1_lenses_top_program.tsv
06A	ACTA2 benchmark: AGTR1 is not reducible to ACTA2+ contractile identity	Figure S4	17	13	complete	tableS06A.tsv	figures/mechanism/tableS_acta2_control.tsv; pericyte_states/_m/stats_data/acta2_by_program_posthoc.tsv
06B1	CoGAPS rank selection: cross-seed pattern reproducibility and reconstruction error	Figure S8	7	7	complete	tableS06B1.tsv	pericyte_cogaps/_m/cogaps_nP_selection.tsv
