ccc_group	ace_step	chymase_step	receptor_AT1	renin_step	substrate	n_steps_present	has_substrate	has_protease	has_receptor	autonomous_circuit
Adventitial fibroblasts	0.0450035126201853	0.00145638130349742	0.106861496278808	0.00525039646609722	0.0358629683231323	1	FALSE	FALSE	TRUE	FALSE
Alveolar fibroblasts	0.00313257500454134	0.00122491475673426	0.100783840052603	0.0058137364220093	0.0166316297745315	1	FALSE	FALSE	TRUE	FALSE
Alveolar macrophages	0.196254595899843	0.00862540413389289	0.000693529498657321	0.00223668657170768	0.00250256784084666	1	FALSE	TRUE	FALSE	FALSE
EC aerocyte capillary	0.351321890461632	0.00232009514513373	0.0003133925737861	0.00157353017831168	0.000313791372185533	1	FALSE	TRUE	FALSE	FALSE
EC general capillary	0.144127723227708	0.0013970826571012	0.000564916997560987	0.00130216987574052	0.000111337084307793	1	FALSE	TRUE	FALSE	FALSE
EC venous systemic	0.107374574889263	0.00207317088420905	0.00164048127277747	0.00356434258854722	0.000210526315789474	1	FALSE	TRUE	FALSE	FALSE
Interstitial macrophages	0.144678819910912	0.00486740018465801	0.00036220993829094	0.00164587511947143	0.000776851575174489	1	FALSE	TRUE	FALSE	FALSE
Mast cells	0.0109545522927331	0.108612598993288	0.00336873630442849	0.000481562850471641	0.000191592619441195	1	FALSE	TRUE	FALSE	FALSE
Pericytes	0.007497923322012	0.00157404535259385	0.341761789254222	0.00306461233909067	0.0154677196421925	1	FALSE	FALSE	TRUE	FALSE
Vascular smooth muscle	0.00968184474991195	0.00144770408163265	0.047346000252164	0.00133790078234523	0.085782387135785	1	TRUE	FALSE	FALSE	FALSE
AT1	0.00524673301461936	0.000576883574912174	0.000550518268564877	0.00280518228431618	0.000429645609484667	0	FALSE	FALSE	FALSE	FALSE
AT2_AGTR2det	0.0112382633169776	0.00211541196395558	0.00031107075598601	0.0229086378137198	0.00773092738370585	0	FALSE	FALSE	FALSE	FALSE
AT2_AGTR2undet	0.00659712903305424	0.00118373985763619	0.00105372845430736	0.0149797767587379	0.00551930344662246	0	FALSE	FALSE	FALSE	FALSE
Classical monocytes	0.00409847038566601	0.00245722550600212	0.000422834665081013	0.0005432959166599	0.000505845078116465	0	FALSE	FALSE	FALSE	FALSE
DC2	0.0178615863110251	0.00198230470083697	0.000365217380458464	0.00077473771007748	0.000337964027431017	0	FALSE	FALSE	FALSE	FALSE
EC venous pulmonary	0.0268010106564125	5.3388443985189e-05	9.45008194720508e-05	0.00428154287621216	0.000100210970464135	0	FALSE	FALSE	FALSE	FALSE
Lymphatic EC	0.00801488906703892	0.000986154692872762	0.000369579113649241	0.00240941503702011	0.00118980889670945	0	FALSE	FALSE	FALSE	FALSE
Myofibroblasts	0.000735515758129083	0.000443066016836509	0.015674406995698	0.00182713292392022	0.0104411672465816	0	FALSE	FALSE	FALSE	FALSE
Non-classical monocytes	0.0347488173181804	0.000289687332440844	0.000377180076208981	0.00113806414050033	0.000137431415799354	0	FALSE	FALSE	FALSE	FALSE
Peribronchial fibroblasts	0.0121024063331303	0.00197387879636981	0.0460383779869439	0.00191354908960748	0.026388684606755	0	FALSE	FALSE	FALSE	FALSE
Subpleural fibroblasts	0.0261806424939336	0	0.0386228640640405	0	0.0156461185872951	0	FALSE	FALSE	FALSE	FALSE
Transitional Club-AT2	0.0229535971782436	0.00125728191392464	0.00072077517132589	0.00472756477068989	0.00471577711087999	0	FALSE	FALSE	FALSE	FALSE
