gene	ccc_group	emmean	detect	rank_in_gene
ACE	EC aerocyte capillary	2.95862578946777	0.351321890461632	1
ACE	EC general capillary	1.36186588716918	0.144127723227708	2
ACE	Alveolar macrophages	0.7270316922653	0.196254595899843	3
ACE2	Pericytes	1.61245160752436	0.0301495176871895	1
ACE2	AT2_AGTR2det	0.775698857331725	0.021993754462208	2
ACE2	AT2_AGTR2undet	0.587971504065275	0.0105319369838405	3
AGT	Vascular smooth muscle	2.62641483481721	0.085782387135785	1
AGT	Adventitial fibroblasts	0.711620494854549	0.0358629683231323	2
AGT	Alveolar fibroblasts	0.365734709885298	0.0166316297745315	3
AGTR1	Pericytes	3.81033572648724	0.341761789254222	1
AGTR1	Alveolar fibroblasts	1.33328858080071	0.100783840052603	2
AGTR1	Adventitial fibroblasts	1.03325483850203	0.106861496278808	3
AGTR2	AT2_AGTR2det	5.11294291711266	1	1
AGTR2	Peribronchial fibroblasts	0.00170901430349329	0.00346895084178231	2
AGTR2	Adventitial fibroblasts	-0.0753432965418748	0.00151040412309559	3
CCN2	Myofibroblasts	1.78225017881692	0.638384892242864	1
CCN2	Alveolar fibroblasts	1.73643179862129	0.583072583561128	2
CCN2	Peribronchial fibroblasts	1.28382246152162	0.480328063595224	3
CMA1	Mast cells	1.76897774935116	0.0250321021435558	1
CMA1	AT2_AGTR2undet	-0.0575021320708991	0.000360037022794046	2
CMA1	Vascular smooth muscle	-0.0669723212106392	0.000186011904761905	3
CTSD	Alveolar macrophages	0.997918120844994	0.605725966075877	1
CTSD	Interstitial macrophages	0.91964735641025	0.6041899030093	2
CTSD	Mast cells	0.624502415101139	0.475813050027283	3
CTSG	Mast cells	2.49497661310594	0.108612598993288	1
CTSG	Alveolar macrophages	-0.0625742609131341	0.00862540413389289	2
CTSG	Classical monocytes	-0.0771705999183262	0.00245722550600212	3
ENPEP	Alveolar fibroblasts	2.41402832679067	0.164824211009945	1
ENPEP	Pericytes	1.49910351521752	0.0940872104645995	2
ENPEP	Vascular smooth muscle	1.25768160490729	0.0750275171139619	3
LRP2	AT2_AGTR2det	2.66591867411756	0.322534982745722	1
LRP2	AT2_AGTR2undet	2.40254207122903	0.193877619037481	2
LRP2	Transitional Club-AT2	0.0624734466619017	0.0311507345412811	3
MAS1	AT2_AGTR2det	0.181017235967026	0.00258439318517632	1
MAS1	AT2_AGTR2undet	0.143394232372888	0.00170901881268902	2
MAS1	Interstitial macrophages	0.100493953933787	0.00267801386942401	3
MME	Alveolar macrophages	2.14801036545503	0.421531895290622	1
MME	Alveolar fibroblasts	1.4113757331192	0.164364979443899	2
MME	Transitional Club-AT2	0.597563103407368	0.125153920025783	3
PDGFB	EC aerocyte capillary	2.48267983255277	0.217280265613687	1
PDGFB	EC general capillary	2.01153471133711	0.158958156295789	2
PDGFB	EC venous systemic	0.772336173872584	0.120447973010221	3
REN	AT2_AGTR2det	1.2190442445558	0.0229086378137198	1
REN	AT2_AGTR2undet	1.04349507092449	0.0149797767587379	2
REN	Alveolar fibroblasts	0.0959837737618872	0.0058137364220093	3
TGFB1	Classical monocytes	0.897853232429674	0.298756994508142	1
TGFB1	DC2	0.716837029506659	0.429726379705978	2
TGFB1	Interstitial macrophages	0.716136166976204	0.449253591687806	3
TGFB2	AT1	1.41317003181537	0.169774560090736	1
TGFB2	Myofibroblasts	1.20892182363727	0.141831824373911	2
TGFB2	Pericytes	1.13457227400253	0.121368561000201	3
TGFB3	Peribronchial fibroblasts	2.07758604036606	0.206012312627332	1
TGFB3	Adventitial fibroblasts	1.27995847763536	0.13288491571635	2
TGFB3	Vascular smooth muscle	1.12331063539488	0.0846411316050555	3
