ccc_group	emmean	SE	df	lower.CL	upper.CL	detect	expr_raw	gene
AT1	-0.212152622180515	0.0580231415251201	1325.48853286289	-0.325979829077861	-0.0983254152831679	0.000429645609484667	0.00242567954001436	AGT
AT2_AGTR2det	-0.203265917779932	0.0757340610551974	2873.52599332765	-0.351764498840455	-0.0547673367194091	0.00773092738370585	0.0124032253133094	AGT
AT2_AGTR2undet	-0.145472116196321	0.0506281591643285	1459.2387245377	-0.244783857653079	-0.0461603747395631	0.00551930344662246	0.0113011118790353	AGT
Adventitial fibroblasts	0.711620494854549	0.0597775152520479	1456.94486472977	0.594361305570627	0.828879684138471	0.0358629683231323	0.132127140931942	AGT
Alveolar fibroblasts	0.365734709885298	0.0610524204662514	1661.04699925432	0.245986908372328	0.485482511398269	0.0166316297745315	0.0840370647096913	AGT
Alveolar macrophages	-0.148472025310786	0.0446809593393983	1285.39517016874	-0.236127634090491	-0.0608164165310813	0.00250256784084666	0.00463968327828512	AGT
Classical monocytes	-0.1877233604804	0.0453609844938383	504.165841721223	-0.276843199806782	-0.0986035211540181	0.000505845078116465	0.00299801799427876	AGT
DC2	-0.187121480111805	0.0431334954046026	1201.20312331381	-0.27174684695636	-0.102496113267249	0.000337964027431017	0.00224001059650003	AGT
EC aerocyte capillary	-0.234402194178664	0.069843963278596	1745.84335939425	-0.371388816201493	-0.0974155721558339	0.000313791372185533	0.000978268443668108	AGT
EC general capillary	-0.21949648032292	0.0592544904897038	717.098614503089	-0.335829496113458	-0.103163464532381	0.000111337084307793	0.000800782626591723	AGT
EC venous pulmonary	-0.261284505506625	0.0643356460730894	1717.03899811351	-0.387469002865544	-0.135100008147706	0.000100210970464135	0.000519047419466898	AGT
EC venous systemic	-0.253220189572943	0.0584629729154045	2112.99113298694	-0.367871184715787	-0.138569194430099	0.000210526315789474	0.00139477277612648	AGT
Interstitial macrophages	-0.181821344664603	0.0438506586827403	1109.18676150076	-0.267860942582826	-0.0957817467463788	0.000776851575174489	0.0022848299187768	AGT
Lymphatic EC	-0.205537984824105	0.0571218503967995	1074.65450478439	-0.317620989019092	-0.0934549806291186	0.00118980889670945	0.00445060233081754	AGT
Mast cells	-0.203409063957932	0.0535584452004107	1051.73392438905	-0.308502629819326	-0.098315498096537	0.000191592619441195	0.00164934162769608	AGT
Myofibroblasts	-0.0716245584253815	0.102664955329194	3837.45301462672	-0.272907659372921	0.129658542522158	0.0104411672465816	0.040487435766767	AGT
Non-classical monocytes	-0.223557683636179	0.0500283453512861	1024.10678590536	-0.321727460623341	-0.125387906649017	0.000137431415799354	0.00152849788314907	AGT
Peribronchial fibroblasts	0.27707057933374	0.0695650544770192	3237.63510424751	0.140674587721201	0.413466570946279	0.026388684606755	0.0811437079994831	AGT
Pericytes	0.222350493578751	0.0788572690333171	2963.40751506601	0.0677299340674897	0.376971053090011	0.0154677196421925	0.0779630685069789	AGT
Subpleural fibroblasts	-0.0792519685427394	0.231088102119343	4337.06767418831	-0.532302760243364	0.373798823157885	0.0156461185872951	0.0518202586181396	AGT
Transitional Club-AT2	-0.151191693827668	0.0576077265790127	2047.3584870551	-0.264167551948548	-0.0382158357067876	0.00471577711087999	0.013212297357549	AGT
Vascular smooth muscle	2.62641483481721	0.0626384271402716	1975.03369293273	2.50357049136692	2.7492591782675	0.085782387135785	0.377839398236212	AGT
AT1	-0.0876233478645222	0.0636243772561811	1432.12826205799	-0.212430315031886	0.0371836193028412	0.00280518228431618	0.00980918161864451	REN
AT2_AGTR2det	1.2190442445558	0.0831226905462135	2886.49289483195	1.05605842203355	1.38203006707806	0.0229086378137198	0.0473895223821477	REN
AT2_AGTR2undet	1.04349507092449	0.0555301528508987	1562.14882552697	0.93457357920987	1.15241656263912	0.0149797767587379	0.039871105852466	REN
Adventitial fibroblasts	-0.00423624314843569	0.0655730161551355	1542.34583641885	-0.13285792841139	0.124385442114519	0.00525039646609722	0.015598468334594	REN
Alveolar fibroblasts	0.0959837737618872	0.0669538892969305	1781.91102744182	-0.0353326336360236	0.227300181159798	0.0058137364220093	0.0214696638458741	REN
Alveolar macrophages	-0.123961605025491	0.0489843395742593	1389.63044272368	-0.2200528403737	-0.0278703696772816	0.00223668657170768	0.00616050866748615	REN
Classical monocytes	-0.105101594719	0.0496850972487926	550.407415671645	-0.202697203709301	-0.00750598572869811	0.0005432959166599	0.00437007210656024	REN
DC2	-0.162648777485866	0.0473087572307014	1304.6242796471	-0.255458340474824	-0.0698392144969081	0.00077473771007748	0.00220133521766971	REN
EC aerocyte capillary	-0.0625181217622853	0.076566946627491	1870.90194888112	-0.212683726889845	0.0876474833652739	0.00157353017831168	0.00854565097019447	REN
EC general capillary	-0.0706474066147429	0.0649041267369201	778.206957340196	-0.198055312813461	0.0567604995839754	0.00130216987574052	0.00951265584312608	REN
EC venous pulmonary	-0.0873784966493981	0.0705796089092336	1813.79154433703	-0.225804360324862	0.0510473670260659	0.00428154287621216	0.00890003553289876	REN
EC venous systemic	-0.102162003394897	0.0641411406124355	2234.94369945804	-0.227944447514986	0.0236204407251916	0.00356434258854722	0.00717171068008862	REN
Interstitial macrophages	-0.155847044627436	0.0480878961006347	1206.93121620301	-0.250192200992277	-0.0615018882625946	0.00164587511947143	0.0039825376782021	REN
Lymphatic EC	-0.107041706860047	0.0626369917812093	1155.21502075817	-0.22993671451043	0.0158533007903355	0.00240941503702011	0.00705566872468952	REN
Mast cells	-0.0955455181711007	0.0586846838717484	1145.26698905984	-0.210687069057214	0.0195960327150131	0.000481562850471641	0.00375565937446221	REN
Myofibroblasts	-0.108229667640262	0.11269958912913	3857.42613273947	-0.329186133696531	0.112726798416008	0.00182713292392022	0.00527839230754047	REN
Non-classical monocytes	-0.180751765530822	0.0548621151522483	1109.02925700598	-0.288397014262345	-0.0731065167992987	0.00113806414050033	0.00409464198592384	REN
Peribronchial fibroblasts	-0.135945662172797	0.0763369568291729	3334.88591922537	-0.285617669923315	0.0137263455777203	0.00191354908960748	0.00404879157961116	REN
Pericytes	-0.118363070587494	0.0864985555997963	3087.75725684754	-0.287963605256997	0.0512374640820094	0.00306461233909067	0.00789499076416655	REN
Subpleural fibroblasts	-0.218132088558554	0.253681197085108	4338.112953687	-0.71547686050697	0.279212683389861	0	0	REN
Transitional Club-AT2	-0.0670206548015724	0.0631960764004073	2139.25165388526	-0.190952807259363	0.0569114976562183	0.00472756477068989	0.00936396188897907	REN
Vascular smooth muscle	-0.124923094508624	0.0686840904261846	2118.2465731931	-0.259618402111969	0.00977221309472154	0.00133790078234523	0.00436160788487419	REN
AT1	-0.436770585968587	0.048337173492133	621.39873291634	-0.531694592472686	-0.341846579464487	0.00524673301461936	0.0233223527568385	ACE
AT2_AGTR2det	-0.480816307597953	0.0622699397008165	2416.50797586827	-0.602924306862488	-0.358708308333419	0.0112382633169776	0.0229058605067743	ACE
AT2_AGTR2undet	-0.463806376511522	0.0421423280280136	707.303784181253	-0.546545403575818	-0.381067349447226	0.00659712903305424	0.0220162703228586	ACE
Adventitial fibroblasts	-0.156652515798542	0.0495354750901232	800.748861992724	-0.253887233336402	-0.0594177982606829	0.0450035126201853	0.123519686633928	ACE
Alveolar fibroblasts	-0.459663130591721	0.0507611363584946	802.854426392393	-0.559303341009237	-0.360022920174206	0.00313257500454134	0.0125373247079591	ACE
