replicate	m	rank	aupr_corrected
1	24	10	0.107905395827832
2	24	22	0.072527540026976
3	24	8	0.093276578977791
4	24	9	0.0946922944986607
5	24	16	0.0749155077439112
6	24	19	0.07995666824466
7	24	24	0.0521887642316057
8	24	25	0.0684458762628065
9	24	17	0.10238639468362
10	24	8	0.0987957920761074
11	24	14	0.0504486102667903
12	24	19	0.0709445472619512
13	24	18	0.0808801336408141
14	24	12	0.0819862498479232
15	24	22	0.0922804347641463
16	24	16	0.109799405709214
17	24	17	0.0864287296491271
18	24	25	0.0722183956434553
19	24	71	0.0534409823572135
20	24	18	0.0881587595838424
21	24	18	0.0700685253735159
22	24	18	0.0727365968582256
23	24	13	0.0687737700224621
24	24	21	0.0578415737198885
25	24	15	0.0681525673968086
26	24	12	0.0563737845880814
27	24	20	0.0784566825898564
28	24	11	0.094226435059931
29	24	14	0.101588173905741
30	24	12	0.116573172550813
31	24	17	0.102132908138098
32	24	14	0.0920255624093377
33	24	18	0.0902704081043337
34	24	13	0.0910782329120136
35	24	11	0.107413246044571
36	24	17	0.0992652459608685
37	24	12	0.0918620264127574
38	24	29	0.0611111957222901
39	24	30	0.0413514003265634
40	24	22	0.0742482688885287
41	24	15	0.0795178139213255
42	24	35	0.067753506461362
43	24	21	0.0553453979905179
44	24	11	0.07529527712425
45	24	19	0.107692183776828
46	24	22	0.0689685989378978
47	24	19	0.0842888998012858
48	24	9	0.114248159158347
49	24	15	0.0604420602501313
50	24	10	0.0921734799888402
51	24	17	0.0779195940180225
52	24	9	0.11882938114918
53	24	26	0.0676728692886177
54	24	18	0.0877036160602455
55	24	23	0.0757329163495482
56	24	10	0.0824507571576781
57	24	18	0.0990418491795269
58	24	33	0.044642393604992
59	24	22	0.0517614189689155
60	24	24	0.0803063476316514
61	24	11	0.0856992939423542
62	24	10	0.10918101165282
63	24	27	0.0642961371338956
64	24	16	0.087992022569523
65	24	23	0.0772190294449298
66	24	18	0.100021449093103
67	24	21	0.0914110955511663
68	24	8	0.0872882158995383
69	24	32	0.05117042141777
70	24	12	0.0974850344604215
71	24	18	0.0808032325746518
72	24	14	0.0966506771579422
73	24	19	0.0957035780357999
74	24	16	0.0724653250304923
75	24	22	0.0758045479537834
76	24	18	0.0760495431684681
77	24	14	0.0991458102525464
78	24	18	0.0865870870643223
79	24	18	0.0655854994318858
80	24	10	0.111886419080982
81	24	25	0.0734711547203171
82	24	22	0.07528288472618
83	24	9	0.0900411347483373
84	24	20	0.0902587221012967
85	24	14	0.0851976050795828
86	24	42	0.0482171385588561
87	24	8	0.0844936987300984
88	24	15	0.110336455106751
89	24	18	0.0866062006259773
90	24	10	0.10126344366207
91	24	25	0.0546235898965067
92	24	10	0.0947010623227943
93	24	15	0.0876325222043695
94	24	19	0.0883810494023963
95	24	21	0.0709929727184809
96	24	7	0.10930404612015
97	24	8	0.0978422155928155
98	24	17	0.0831854069978219
99	24	14	0.095677949887678
100	24	17	0.0848188886790339
101	24	24	0.0707587674032538
102	24	24	0.0771782893683149
103	24	38	0.0658142431400273
104	24	11	0.107016295529678
105	24	6	0.114291735060908
106	24	18	0.0981561514430396
107	24	6	0.106298864024119
108	24	14	0.0637557617502384
109	24	18	0.110719383427901
110	24	20	0.058440112539099
111	24	10	0.0858117853216018
112	24	14	0.0621314814411606
113	24	27	0.0528718949293616
114	24	17	0.0961394468831271
115	24	10	0.116113911888409
116	24	12	0.120041742923252
117	24	13	0.101759256138615
118	24	11	0.0959965894027205
119	24	18	0.0698321972211419
120	24	17	0.0579587966143894
121	24	24	0.0736008236216408
122	24	15	0.048768586406889
123	24	11	0.0949745727249357
124	24	21	0.0844049514660378
125	24	20	0.0856915212376429
126	24	22	0.0914091180752861
127	24	15	0.0800117095127429
128	24	17	0.0833519015203694
129	24	15	0.0678028675836379
130	24	30	0.0543728950055958
131	24	5	0.110248606521353
132	24	32	0.0590086909173243
133	24	21	0.0757032416177791
134	24	17	0.0664841687666746
135	24	21	0.0850736909719324
136	24	11	0.107841391065538
137	24	8	0.0975502674344153
138	24	9	0.0928517015623425
139	24	14	0.0795216935137974
140	24	30	0.0537108292902285
141	24	26	0.0540765483369494
142	24	10	0.0863712826512743
143	24	25	0.0368304405136726
144	24	14	0.103987362705612
145	24	26	0.0753936470227238
146	24	18	0.0805927935068508
147	24	18	0.0725744833793899
148	24	23	0.0757296806081343
149	24	16	0.090657294254855
