gene	reference	contrast	estimate	SE	df	t.ratio	p.value
AGT	Vascular smooth muscle	AT1 - Vascular smooth muscle	2.83856745699772	0.0839800040534659	4205.54260900534	-33.800515836967	1.72878608671914e-221
AGT	Vascular smooth muscle	AT2_AGTR2det - Vascular smooth muscle	2.82968075259714	0.0991821064257404	3508.32817246132	-28.5301538207981	4.83996651226714e-161
AGT	Vascular smooth muscle	AT2_AGTR2undet - Vascular smooth muscle	2.77188695101353	0.0801818615027274	4211.99048845013	-34.5699999858352	2.79438787277276e-230
AGT	Vascular smooth muscle	Adventitial fibroblasts - Vascular smooth muscle	1.91479433996266	0.0857492287193184	4204.10418242141	-22.3301639975133	1.88350622068578e-104
AGT	Vascular smooth muscle	Alveolar fibroblasts - Vascular smooth muscle	2.26068012493191	0.0861320684857534	4170.78923839017	-26.2466717063208	1.53428244544588e-140
AGT	Vascular smooth muscle	Alveolar macrophages - Vascular smooth muscle	2.774886860128	0.0770856135152524	3956.23219648828	-35.9974674078315	4.25299539025259e-245
AGT	Vascular smooth muscle	Classical monocytes - Vascular smooth muscle	2.81413819529761	0.07540096093103	4157.53736633546	-37.3223120839498	6.89928817579883e-262
AGT	Vascular smooth muscle	DC2 - Vascular smooth muscle	2.81353631492901	0.0755810059826055	4121.12665225359	-37.2254414763483	1.03400460789744e-260
AGT	Vascular smooth muscle	EC aerocyte capillary - Vascular smooth muscle	2.86081702899587	0.0919446045350643	4190.33163271698	-31.1145721215742	3.14546327613891e-191
AGT	Vascular smooth muscle	EC general capillary - Vascular smooth muscle	2.84591131514013	0.0838680160174157	4125.63207795222	-33.9332137599292	1.85430935606835e-222
AGT	Vascular smooth muscle	EC venous pulmonary - Vascular smooth muscle	2.88769934032383	0.0886655330921274	4200.68624402803	-32.5684540499338	2.03462176532251e-207
AGT	Vascular smooth muscle	EC venous systemic - Vascular smooth muscle	2.87963502439015	0.085058039633988	4180.60576780255	-33.8549423050598	6.25751264058531e-222
AGT	Vascular smooth muscle	Interstitial macrophages - Vascular smooth muscle	2.80823617948181	0.0761039885060932	4134.91883888296	-36.8999869074795	4.56201916905328e-257
AGT	Vascular smooth muscle	Lymphatic EC - Vascular smooth muscle	2.83195281964132	0.0834306675562781	4175.09687638729	-33.9437871299666	7.92997663128916e-223
AGT	Vascular smooth muscle	Mast cells - Vascular smooth muscle	2.82982389877514	0.0804890033666691	4206.31625685474	-35.1578946242362	4.33819287214781e-237
AGT	Vascular smooth muscle	Myofibroblasts - Vascular smooth muscle	2.69803939324259	0.119719345364658	4200.9236834598	-22.5363694148554	3.19031376805294e-106
AGT	Vascular smooth muscle	(Non-classical monocytes) - Vascular smooth muscle	2.84997251845339	0.079281156160837	4216.92206688016	-35.9476659582471	2.25844539629543e-246
AGT	Vascular smooth muscle	Peribronchial fibroblasts - Vascular smooth muscle	2.34934425548347	0.0931064996861972	4169.67335513652	-25.2328705665191	9.02912130497637e-131
