floor	n_groups	n_tests	n_BH_sig	min_BH
0.005	9	44	12	9.76996261670138e-15
0.01	7	35	10	1.95646160955415e-08
0.02	4	20	3	1.6350216346575e-05
0.05	1	5	0	0.268814376603485
