ligand	n_agt_targets	n_other_targets	n_shared	jaccard	universe	n_ligand_pairs	jaccard_median_all_pairs	pair_pctile	degree_p	hyper_p_MISCALIBRATED	degree_p_BH	hyper_p_MISCALIBRATED_BH
TGFB1	12	13	6	0.315789473684211	24	435	0.583333333333333	24.1379310344828	0.99930003499825	0.793175393727285	0.99930003499825	0.793175393727285
TGFB2	12	11	5	0.277777777777778	24	435	0.583333333333333	18.6206896551724	0.998950052497375	0.793175393727285	0.99930003499825	0.793175393727285
CCN2	12	12	10	0.714285714285714	24	435	0.583333333333333	75.1724137931034	0.204139793010349	0.00166447497851455	0.612419379031048	0.00499342493554366
