ccc_group	partner	partial_rho	p_value	n_donors	p_BH
AT2_AGTR2undet	PDGFB	-0.230372958329563	0.000202478149389434	257	0.000711939299466075
EC venous pulmonary	TGFB3	0.287028853335848	0.000270509002403598	158	0.000921421289437255
Myofibroblasts	PDGFB	-0.446218931782126	0.000359118130285789	61	0.00118617806670155
Adventitial fibroblasts	TGFB3	0.256670069927376	0.0004545571616765	184	0.00145725678302172
Transitional Club-AT2	TGFB3	-0.218163195629908	0.00180509702822278	203	0.00562158788789379
Lymphatic EC	TGFB3	-0.185665799266105	0.00807643431141455	203	0.0244536483317829
Alveolar macrophages	CCN2	-0.14010543393256	0.00995751978807854	338	0.0293343150513665
Pericytes	CCN2	0.249015135807589	0.0105856097135028	105	0.0303639857571527
AT2_AGTR2det	TGFB2	-0.233259927178172	0.0111694423813005	118	0.0312171594759424
Alveolar fibroblasts	CCN2	0.187904468412943	0.0126130931798476	176	0.033665112845573
Adventitial fibroblasts	PDGFB	0.18367783321454	0.0126630240978761	184	0.033665112845573
Non-classical monocytes	TGFB1	0.146185653072804	0.0175356208757842	264	0.0455091113204876
Adventitial fibroblasts	CCN2	0.163585752537998	0.0265974831515264	184	0.0674215270585203
EC general capillary	TGFB2	0.154224151058322	0.029725003299838	199	0.0736369399927804
Peribronchial fibroblasts	TGFB2	0.166188877893513	0.0559850374149095	133	0.135608201738336
Alveolar fibroblasts	TGFB3	0.14270085846357	0.0589030222840338	176	0.139574552803471
Vascular smooth muscle	CCN2	0.144246587130051	0.0621692162131	168	0.144179671643147
Interstitial macrophages	PDGFB	-0.096181023326563	0.0748360582622145	344	0.168305761187935
Myofibroblasts	CCN2	0.229243786356425	0.0756603880569618	61	0.168305761187935
Myofibroblasts	TGFB2	-0.22644103648863	0.0793829949036934	61	0.173054928890052
EC venous pulmonary	TGFB2	0.13558040583608	0.0894008232434645	158	0.191072347716424
AT2_AGTR2undet	TGFB2	-0.10396966337888	0.0962680828938752	257	0.201792712219854
Myofibroblasts	TGFB1	-0.213061872025383	0.0992069550283682	61	0.20402939807721
Vascular smooth muscle	TGFB3	0.124599490790186	0.107525750641394	168	0.214365541748848
Peribronchial fibroblasts	TGFB3	0.139913896001877	0.108166099047584	133	0.214365541748848
Myofibroblasts	TGFB3	0.203437334743522	0.115720431871907	61	0.225241554893533
Pericytes	TGFB2	-0.129908770474808	0.186261067049033	105	0.356183444006045
AT2_AGTR2det	TGFB1	-0.121112851920429	0.191130181879807	118	0.359192928015499
Alveolar macrophages	TGFB1	0.0691703716571761	0.204512291178569	338	0.377827792177356
Vascular smooth muscle	TGFB1	0.0930801119654183	0.229864631971881	168	0.417587414748918
Pericytes	TGFB3	-0.116452415509019	0.236390457328577	105	0.422402620472375
Lymphatic EC	TGFB1	0.0788076924180393	0.263476532377367	203	0.459563969625599
Lymphatic EC	PDGFB	0.0777691069599571	0.269835725284755	203	0.459563969625599
EC venous pulmonary	TGFB1	0.0884798108795955	0.268621530205527	158	0.459563969625599
AT2_AGTR2undet	CCN2	0.0653320400868699	0.296567133007437	257	0.497320269197087
Pericytes	TGFB1	-0.0975844909807174	0.321469887685824	105	0.507829242866012
AT2_AGTR2undet	TGFB1	0.0626887555424848	0.316572387633044	257	0.507829242866012
Peribronchial fibroblasts	CCN2	0.086639597637241	0.320957822624849	133	0.507829242866012
EC venous pulmonary	CCN2	-0.0807640878119871	0.312724226138108	158	0.507829242866012
Interstitial macrophages	TGFB2	0.0524793132622108	0.331638309475261	344	0.516408224754334
DC2	PDGFB	0.0505389092829675	0.343580504644907	353	0.527468662060491
