predicted_labels	n	median_confidence	pct_of_cells
0	237	0.69742745	35.37
1	141	0.70934933	21.04
2	211	0.59740597	31.49
3	8	0.38488394	1.19
4	70	0.5217912	10.45
6	3	0.22192347	0.45
