state_program	emmean	SE	df	lower.CL	upper.CL	arm	n_donors	n_rows	n_studies	study_sd	singular	model
activated_migratory	0.214184899541521	0.0399915324049902	61.880689409257	0.134239899191458	0.294129899891584	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
basement_membrane	0.157181620612235	0.0360274880380306	40.7448062766887	0.0844087904882605	0.22995445073621	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
vascular_stabilizing	0.183975323824062	0.0362642934246494	43.0420414450235	0.110843471890605	0.25710717575752	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
