Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	arm	n_donors	n_rows	n_studies	study_sd	singular	model
state_program	0.0147395096382666	0.0073697548191333	2	39.7199643234596	3.14726734241396	0.0538552684048685	_ageadj -- RESTRICTED to age-reporting cohorts, not an age adjustment	51	90	14	6.15063646558609e-06	FALSE	lmer(state_program + disease_group + age + sex + (1 | donor_id) + (1 | study))
disease_group	0.0311687813837023	0.0155843906918511	2	44.3920609715268	6.65534269180088	0.00296529561705467	_ageadj -- RESTRICTED to age-reporting cohorts, not an age adjustment	51	90	14	6.15063646558609e-06	FALSE	lmer(state_program + disease_group + age + sex + (1 | donor_id) + (1 | study))
age	0.000316901568808722	0.000316901568808722	1	45.9672762508044	0.135333397480479	0.7146536251712	_ageadj -- RESTRICTED to age-reporting cohorts, not an age adjustment	51	90	14	6.15063646558609e-06	FALSE	lmer(state_program + disease_group + age + sex + (1 | donor_id) + (1 | study))
sex	0.00131263630007515	0.00131263630007515	1	46.0602195776513	0.56056374480304	0.457839633804136	_ageadj -- RESTRICTED to age-reporting cohorts, not an age adjustment	51	90	14	6.15063646558609e-06	FALSE	lmer(state_program + disease_group + age + sex + (1 | donor_id) + (1 | study))
