contrast	estimate	SE	df	t.ratio	p.value	arm	n_donors	n_donors_group
Healthy - Fibrotic_ILD	-0.145207909089503	0.049555481825415	44.3543593255963	-2.93020880315671	0.0160056531199902	primary	59	Healthy=26;Fibrotic_ILD=19;Other=14
Healthy - Other	-0.0886361296103131	0.0544356355143491	13.6320407459185	-1.62827399318134	0.189523400223028	primary	59	Healthy=26;Fibrotic_ILD=19;Other=14
Fibrotic_ILD - Other	0.0565717794791902	0.054574878909177	16.8080275222314	1.03659010537314	0.314610965117907	primary	59	Healthy=26;Fibrotic_ILD=19;Other=14
