Estimate	SE	df	t	p_value	term	model	study_guard	dataset_sd	singular
0.185986528119747	0.0527845459873762	47.3663091165569	3.52350341640196	0.000955142969530937	disease_groupFibrotic_ILD	AT1R	(1 | dataset) -- PRIMARY	0.069159806648006	FALSE
0.0576575096004902	0.0609120940388527	16.749539030309	0.946569158560096	0.35731528900948	disease_groupOther	AT1R	(1 | dataset) -- PRIMARY	0.069159806648006	FALSE
0.166536075052459	0.0507556657664668	NA	3.28113270779882	0.00181502901774469	disease_groupFibrotic_ILD	AT1R	none -- UNGUARDED, for comparison only	NA	NA
0.0455788652608464	0.0482633431847878	NA	0.944378533545361	0.349182679012729	disease_groupOther	AT1R	none -- UNGUARDED, for comparison only	NA	NA
0.0230827930857094	0.0218236222380898	53.8905459062071	1.05769761013467	0.294911574541852	disease_groupFibrotic_ILD	AT2R	(1 | dataset) -- PRIMARY	0.0532383820848811	FALSE
-0.0232980163050459	0.0343930648544331	17.883390648735	-0.677404482666887	0.506818976413922	disease_groupOther	AT2R	(1 | dataset) -- PRIMARY	0.0532383820848811	FALSE
0.0474590951112166	0.0224425993627376	NA	2.11468797995009	0.0390880954019213	disease_groupFibrotic_ILD	AT2R	none -- UNGUARDED, for comparison only	NA	NA
-0.0419543103289135	0.0213405707253696	NA	-1.96594134565663	0.0544556924281487	disease_groupOther	AT2R	none -- UNGUARDED, for comparison only	NA	NA
