contrast	estimate	SE	df	t.ratio	p.value	arm	n_donors	n_rows	n_studies	study_sd	singular	model
activated_migratory - basement_membrane	0.0570032789292855	0.0209678410745838	59.18017898994	2.71860506413234	0.0257656938520787	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
activated_migratory - vascular_stabilizing	0.0302095757174583	0.0209654726224984	59.1713370628227	1.44092032941055	0.154878270456066	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
basement_membrane - vascular_stabilizing	-0.0267937032118272	0.0123625123556103	63.1332370320666	-2.16733479741824	0.0509829124025039	primary	97	154	19	0.0845535014060327	FALSE	lmer(state_program + disease_group + sex + (1 | donor_id) + (1 | study))
