Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)
state_program	0.014739500171614	0.00736975008580699	2	39.7199871392628	3.14726931382606	0.0538551704246499
disease_group	0.0311687093227758	0.0155843546613879	2	44.3920387164909	6.65533574822674	0.00296531249888248
age	0.000316901160344537	0.000316901160344537	1	45.9673052048766	0.135333394736007	0.714653626873589
sex	0.00131263337503428	0.00131263337503428	1	46.0601510483046	0.560563206818288	0.457839853925773
