	sum_sq	df	F	PR(>F)
C(cluster)	0.7538876571749715	2.0	0.8888827443686032	0.3496909606628543
C(disease)	6.520308539614167e-07	2.0	7.687869264952194e-07	0.9993034197884131
C(cluster):C(disease)	4.056417096002604	4.0	2.3913902332013266	0.10046990600202756
Residual	24.595754835587293	58.0		
