disease_group	donors_in_atlas	donors_ge10_pericytes	donors_ge20_pericytes	donors_ge10_complete_age_sex	donors_ge20_complete_age_sex	total_pericytes	pericytes_per_donor_median	pericytes_per_donor_min	pericytes_per_donor_max	n_studies	n_datasets	studies	n_missing_smoking	n_missing_bmi	n_missing_medication	n	n_known	n_never	n_ever	block
Healthy	91	42	32	38	29	7263	7	1	1129	19	24	Banovich_Kropski_2020; Duong_lungMAP_unpubl; Eils_2020; Gomperts_2021; Kaminski_2020; Krasnow_2020; Lafyatis_Rojas_2019; Meyer_2019; Meyer_2021; Misharin_2021; Misharin_Budinger_2018; Nawijn_2021; Peer_Massague_2020; Schiller_2020; Schiller_2021; Sheppard_2020; Sun_2020; Tata_unpubl; Teichmann_Meyer_2019	39	59	91					
Fibrotic_ILD	57	24	17	6	4	2516	5	1	892	7	7	Banovich_Kropski_2020; Kaminski_2020; Lafyatis_2019; Misharin_Budinger_2018; Schiller_2020; Sheppard_2020; Xu_2020	57	57	57					
Other	34	22	20	3	3	1860	33.5	1	291	5	7	Budinger_2020; Peer_Massague_2020; Regev_2021; Shalek_2018; Thienpont_2018	34	33	34					
COPD	12	1	0	0	0	41	2.5	1	10	1	1	Kaminski_2020	12	12	12					
Fibrotic_ILD																24	0	0	0	smoking availability (disease_association)
Healthy																42	21	11	10	smoking availability (disease_association)
