dataset_id	measure	n_pericytes	median_umi_per_cell	min_umi	max_umi	n_agtr1a_pos	detect_frac	median_agtr1a_umi_in_pos	spearman_rho	spearman_p	p_formatted
48b37086-25f7-4ecd-be66-f5bb378e3aea	Agtr1a detection (0/1) ~ total UMI	25	291	165	632	16	0.64	2	0.335131368552743	0.101500027852168	1.02e-01
98e5ea9f-16d6-47ec-a529-686e76515e39	Agtr1a detection (0/1) ~ total UMI	16	104973	24346	407161	15	0.9375	928	0.0840168050416806	0.757052724320426	7.57e-01
ALL DATASETS POOLED	Agtr1a detection (0/1) ~ total UMI	41	386	165	407161	31	0.75609756097561	7	0.432013824663587	0.00479377229732045	4.79e-03
48b37086-25f7-4ecd-be66-f5bb378e3aea	Agtr1a raw counts ~ total UMI	25	291	165	632	16	0.64	2	0.390712695284413	0.0534701623005188	5.35e-02
98e5ea9f-16d6-47ec-a529-686e76515e39	Agtr1a raw counts ~ total UMI	16	104973	24346	407161	15	0.9375	928	0.817647058823529	0.000150617245786816	1.51e-04
ALL DATASETS POOLED	Agtr1a raw counts ~ total UMI	41	386	165	407161	31	0.75609756097561	7	0.790889060234517	7.61304330210557e-10	7.61e-10
