test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver	n_expressing_populations	expressed_sender_populations	max_expression_fraction	pericyte_expression_fraction	cognate_receptors_in_pericytes	n_cognate_receptors	prioritized_top11	ligand_class
TGFB2	0.863595683074499	0.21600525057081	0.208170306721241	0.310183342307099	1	Pericytes	5	Pericytes; Lymphatic EC; AT1; Myofibroblasts; Transitional Club-AT2	0.197113540467972	0.112495507367918	ACVR1_TGFBR2; ENG; TGFBR3	3	TRUE	TGF-beta
TGFB1	0.938238132841976	0.210891872639769	0.2030569287902	0.29230368930855	2	Pericytes	18	Alveolar macrophages; EC aerocyte capillary; Adventitial fibroblasts; Pericytes; Classical monocytes; Lymphatic EC; DC2; Interstitial macrophages; Mast cells; Vascular smooth muscle; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.533768292119852	0.106625134778963	ACVR1_TGFBR2; CAV1; CXCR4; EGFR; ENG; ITGB1; ITGB5; LPP; SDC2; TGFBR3; VASN	11	TRUE	TGF-beta
CCN2	0.826989558655792	0.166833271336236	0.158998327486667	0.246227967604966	3	Pericytes	16	EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; AT2_AGTR2undet; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.751298026998946	0.312207978914581	EGFR; IGF2R; LRP1; LRP6	4	TRUE	matricellular
TIMP2	0.800772133017465	0.153918395996751	0.146083452147181	0.242313522011197	4	Pericytes	17	Alveolar macrophages; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Classical monocytes; Lymphatic EC; DC2; Interstitial macrophages; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; EC venous pulmonary; AT2_AGTR2det; Subpleural fibroblasts	0.73834586466165	0.250029950880548	CD44; ITGB1	2	TRUE	protease/remodeler
COPA	0.84359919277003	0.1463643635614	0.13852941971183	0.192547007403087	5	Pericytes	22	Alveolar macrophages; EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Classical monocytes; Lymphatic EC; DC2; Interstitial macrophages; AT2_AGTR2undet; Mast cells; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.494529675165701	0.206421468791178	CD74	1	TRUE	vesicular transport/secreted
VTN	0.826621040624729	0.136710116739679	0.12887517289011	0.252873222858343	6	Pericytes	1	Subpleural fibroblasts	0.269172932330826	0.0053911585000599	CD47; ITGA8_ITGB1; ITGAV_ITGB1; ITGAV_ITGB5; PLAUR	5	TRUE	matricellular
COL4A1	0.827937176449945	0.129112191205267	0.121277247355698	0.170415885040552	7	Pericytes	13	EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; EC venous pulmonary; EC general capillary; Subpleural fibroblasts	0.799448903797708	0.799448903797708	CD44; CD47; ITGA1_ITGB1	3	TRUE	collagen/ECM
COL1A1	0.846617530929198	0.115141333614102	0.107306389764533	0.178257860445333	8	Pericytes	7	Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Vascular smooth muscle; Myofibroblasts; Peribronchial fibroblasts; Subpleural fibroblasts	0.948872180451122	0.178387444590868	CD36; CD44; DDR2; ITGA1_ITGB1	4	TRUE	collagen/ECM
MMP14	0.830042993770296	0.111754532163818	0.103919588314249	0.228204998118669	9	Pericytes	13	Alveolar macrophages; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; DC2; Interstitial macrophages; Vascular smooth muscle; AT1; Myofibroblasts; Peribronchial fibroblasts; Transitional Club-AT2; Subpleural fibroblasts	0.521804511278193	0.119444111656884			TRUE	protease/remodeler
COL5A1	0.831060805475128	0.111179494936464	0.103344551086895	0.15388987251027	10	Pericytes	6	Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Myofibroblasts; Peribronchial fibroblasts; Subpleural fibroblasts	0.607965451055639	0.172157661435244	ITGA1_ITGB1	1	TRUE	collagen/ECM
AGT	0.812784065982278	0.110579782202626	0.102744838353057	0.238327941189646	11	Pericytes	1	Vascular smooth muscle	0.100838014550143	0.0184497424224272	AGTR1; ENPEP	2	TRUE	renin-angiotensin substrate
ENG	0.848468895323337	0.110174702158493	0.102339758308924	0.212957185605505	12	Pericytes	16	Alveolar macrophages; EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; DC2; Interstitial macrophages; Vascular smooth muscle; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; EC venous pulmonary; EC general capillary; Subpleural fibroblasts	0.769685263038356	0.266083622858506			FALSE	other
SIRPB2	0.799377029042733	0.107923857469377	0.100088913619808	0.20476028908614	13	Pericytes	3	Alveolar macrophages; Interstitial macrophages; Non-classical monocytes	0.146890916644842	0.00131783874445909	CD47	1	FALSE	other
VCAM1	0.821953145564626	0.106807980618475	0.0989730367689061	0.221907432458017	14	Pericytes	5	Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; EC venous pulmonary; Subpleural fibroblasts	0.551879699248117	0.0149754402779441	ITGA4_ITGB1	1	FALSE	other
FN1	0.846249012898134	0.103530427034867	0.0956954831852978	0.214389648251185	15	Pericytes	16	Alveolar macrophages; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; DC2; Interstitial macrophages; AT2_AGTR2undet; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; EC venous pulmonary; AT2_AGTR2det; Subpleural fibroblasts	0.852687140115062	0.285371989936501	CD44; ITGA4_ITGB1; ITGA8_ITGB1; ITGAV_ITGB1; PLAUR; SDC2	6	FALSE	collagen/ECM
RELN	0.845318943581649	0.103003905315522	0.0951689614659528	0.172520202254374	16	Pericytes	1	Lymphatic EC	0.346515123050895	0.00275548101114173			FALSE	other
NAMPT	0.828437308063533	0.102908828103522	0.0950738842539528	0.178694350824317	17	Pericytes	22	Alveolar macrophages; EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Classical monocytes; Lymphatic EC; DC2; Interstitial macrophages; AT2_AGTR2undet; Mast cells; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.837207153089336	0.320474421948008	INSR	1	FALSE	other
THBS2	0.796885145213659	0.100942555097402	0.0931076112478326	0.209584576107359	18	Pericytes	5	Alveolar fibroblasts; Adventitial fibroblasts; Myofibroblasts; Peribronchial fibroblasts; Subpleural fibroblasts	0.508157389635326	0.0239607044447107	CD36; CD47; ITGA4; NOTCH3	4	FALSE	other
TGM2	0.814407300166713	0.100783184193921	0.092948240344352	0.0659727966122526	19	Pericytes	15	Alveolar macrophages; EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; Interstitial macrophages; Vascular smooth muscle; EC venous systemic; Peribronchial fibroblasts; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.697193500738607	0.108302384090093	ITGA4; ITGB1; SDC4	3	FALSE	other
ICAM1	0.829077827498467	0.0951914255394481	0.0873564816898791	0.176875604344904	20	Pericytes	19	Alveolar macrophages; EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Classical monocytes; DC2; Interstitial macrophages; AT2_AGTR2undet; Mast cells; AT1; Myofibroblasts; EC venous systemic; Non-classical monocytes; Peribronchial fibroblasts; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.634350688210654	0.0634958667784827	CAV1; EGFR	2	FALSE	other
TNC	0.838457488812847	0.0942282881150945	0.0863933442655254	0.143532476981706	21	Pericytes	6	Alveolar fibroblasts; AT2_AGTR2undet; Vascular smooth muscle; Myofibroblasts; Peribronchial fibroblasts; AT2_AGTR2det	0.362928348909655	0.0410926081226787	EGFR; ITGA7; ITGA8_ITGB1; SDC4	4	FALSE	other
BMP4	0.850855488286396	0.0931689057997291	0.08533396195016	0.195011561905304	22	Pericytes	2	Adventitial fibroblasts; Peribronchial fibroblasts	0.20153550863724	0.0197675811668863	BMPR1A_BMPR2; LRP6	2	FALSE	other
ANG	0.836369219970168	0.0918094800560084	0.0839745362064393	0.15752765664117	23	Pericytes	7	Adventitial fibroblasts; AT2_AGTR2undet; Myofibroblasts; Peribronchial fibroblasts; Transitional Club-AT2; AT2_AGTR2det; Subpleural fibroblasts	0.266165413533834	0.0242003114891578	EGFR; PLXNB2	2	FALSE	other
WNT3A	0.822286566640346	0.0917522386935034	0.0839172948439343	0.168620190183463	24	Pericytes	1	AT1	0.100067126965856	0.0309093087336768	ATP6AP2; FZD1_LRP6; LRP1; RYK	4	FALSE	other
NTS	0.838439940335181	0.0894629139857145	0.0816279701361454	0.106498707807269	25	Pericytes	1	Lymphatic EC	0.282171707683637	0.000479214088894213	SORT1	1	FALSE	other
SEMA3F	0.851943493901906	0.0872859091358575	0.0794509652862885	0.167483321347145	26	Pericytes	4	EC aerocyte capillary; EC venous systemic; EC venous pulmonary; EC general capillary	0.194296102715596	0.00994369234455491	NRP1	1	FALSE	other
DLL4	0.770027200140392	0.0855454641189896	0.0777105202694205	0.172166137653325	27	Pericytes	4	EC aerocyte capillary; Lymphatic EC; EC venous systemic; EC general capillary	0.15894317466974	0.00982388882233136	NOTCH2; NOTCH3	2	FALSE	other
C4BPA	0.738466263051685	0.084253852304802	0.0764189084552329	0.141930086541608	28	Pericytes	4	AT2_AGTR2undet; AT1; Transitional Club-AT2; AT2_AGTR2det	0.832734889287876	0.0069486042889661	BMPR2; CD40; LRP1	3	FALSE	other
SHISA4	0.839808721593408	0.0842039994706982	0.0763690556211291	0.164802653361	29	Pericytes	3	Adventitial fibroblasts; Peribronchial fibroblasts; Subpleural fibroblasts	0.135956493921947	0.0354618425781718			FALSE	other
LGALS3BP	0.849688514521366	0.0825937690863547	0.0747588252367856	0.177063464357841	30	Pericytes	15	Alveolar macrophages; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; DC2; Interstitial macrophages; AT2_AGTR2undet; Vascular smooth muscle; AT1; Myofibroblasts; Non-classical monocytes; Peribronchial fibroblasts; Transitional Club-AT2; AT2_AGTR2det; Subpleural fibroblasts	0.813533834586461	0.449263208338347	ITGB1	1	FALSE	other
GGT1	0.826840396595599	0.0821440766586176	0.0743091328090485	0.158301810870588	31	Pericytes	3	AT2_AGTR2undet; AT1; AT2_AGTR2det	0.26294591484466	0.00215646340002396			FALSE	other
C1QB	0.850329033956307	0.0817997125237382	0.0739647686741691	0.162611566436872	32	Pericytes	14	Alveolar macrophages; EC aerocyte capillary; Adventitial fibroblasts; Classical monocytes; Lymphatic EC; DC2; Interstitial macrophages; AT2_AGTR2undet; AT1; Non-classical monocytes; Transitional Club-AT2; EC venous pulmonary; AT2_AGTR2det; Subpleural fibroblasts	0.922184436887182	0.0649335090451654	C1QBP; LRP1	2	FALSE	other
OCLN	0.830200930069324	0.0810912848379245	0.0732563409883554	0.155899201322568	33	Pericytes	7	EC aerocyte capillary; AT2_AGTR2undet; AT1; Transitional Club-AT2; EC venous pulmonary; EC general capillary; AT2_AGTR2det	0.467983243566715	0.0115011381334611			FALSE	other
LTBP1	0.817548477669571	0.0810037161644821	0.073168772314913	0.158859620025248	34	Pericytes	6	Alveolar fibroblasts; Adventitial fibroblasts; Vascular smooth muscle; Myofibroblasts; Peribronchial fibroblasts; EC general capillary	0.707684319833838	0.035941056667066	ITGB5	1	FALSE	other
JAM3	0.85022374309029	0.0794647555617503	0.0716298117121812	0.158114369485796	35	Pericytes	9	EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Vascular smooth muscle; Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; EC venous pulmonary; EC general capillary	0.255896958410941	0.0874565712231943	ITGB1	1	FALSE	other
EDN1	0.844134421338956	0.079360525440302	0.0715255815907329	0.13425759807434	36	Pericytes	5	AT1; EC venous systemic; Transitional Club-AT2; EC venous pulmonary; EC general capillary	0.417793432564495	0.0134179944890379	EDNRA; EDNRB	2	FALSE	other
TIMP3	0.824488900587875	0.0784879994145799	0.0706530555650109	0.154963373072723	37	Pericytes	16	EC aerocyte capillary; Alveolar fibroblasts; Adventitial fibroblasts; Pericytes; Lymphatic EC; AT2_AGTR2undet; Mast cells; Vascular smooth muscle; AT1; Myofibroblasts; EC venous systemic; Peribronchial fibroblasts; EC venous pulmonary; EC general capillary; AT2_AGTR2det; Subpleural fibroblasts	0.871719122827031	0.624895171918045	CD44	1	FALSE	other
SEMA3A	0.84772308502238	0.0783005005851024	0.0704655567355334	0.164488293598117	38	Pericytes	3	EC aerocyte capillary; Lymphatic EC; Subpleural fibroblasts	0.494551944392207	0.0639750808673769	NRP2	1	FALSE	other
