dropped_study	dropped_level	response	n	n_dropped	n_studies	n_datasets	estimate	se	p	singular	model	block	n_refits	n_significant	n_positive	estimate_min	estimate_max	p_min	p_max	n_donors_min	n_donors_max
Banovich_Kropski_2020	study	injury_frac	74	15	17	22	0.00881002380569294	0.010823175305362	0.418488481026036	TRUE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Budinger_2020	study	injury_frac	86	3	17	22	0.0085369268185321	0.0103955949933292	0.41664799600263	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Duong_lungMAP_unpubl	study	injury_frac	88	1	17	22	0.00889730396853601	0.0100159646147071	0.380165988021894	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Eils_2020	study	injury_frac	86	3	17	22	0.00856420143695438	0.0101404115548101	0.4041138365332	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Kaminski_2020	study	injury_frac	82	7	17	22	0.00577953315071484	0.00990996475456037	0.563506886562363	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Krasnow_2020	study	injury_frac	86	3	17	22	0.00787259427414128	0.0100803853304224	0.439576517543428	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Lafyatis_2019	study	injury_frac	85	4	17	22	0.00955932122970403	0.0118769960897327	0.425771431730712	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2019	study	injury_frac	88	1	17	22	0.0106059312709992	0.00918928533876316	0.254629177574589	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2021	study	injury_frac	84	5	17	21	0.0109039594996197	0.0094748899433665	0.259035915737164	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Misharin_2021	study	injury_frac	87	2	17	22	0.0103181093144524	0.00959198902363989	0.288858400594538	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Peer_Massague_2020	study	injury_frac	87	2	17	22	0.00781707320376821	0.0103349494829677	0.454891080724327	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Regev_2021	study	injury_frac	75	14	17	21	0.0118199460516784	0.0108547472605487	0.282471692288044	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2020	study	injury_frac	84	5	17	22	0.00780715832824334	0.0108491967323159	0.477179525647802	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2021	study	injury_frac	87	2	17	22	0.008980949805965	0.010088406055395	0.37938525649755	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sheppard_2020	study	injury_frac	81	8	17	22	0.00847282258725565	0.0117184872903641	0.47656321772063	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sun_2020	study	injury_frac	80	9	17	19	0.0105158777113718	0.0101460900690234	0.307257749133093	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Tata_unpubl	study	injury_frac	88	1	17	22	0.00859823134286085	0.00998827851676324	0.394835664656406	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Thienpont_2018	study	injury_frac	85	4	17	22	0.011091054493304	0.0103362236365211	0.289594422257868	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Banovich_Kropski_2020	study	niche_index	74	15	17	22	-0.851660616719543	0.29522919242713	0.00524302471413897	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Budinger_2020	study	niche_index	86	3	17	22	-0.838105608190571	0.28057958138143	0.00380334149866713	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Duong_lungMAP_unpubl	study	niche_index	88	1	17	22	-0.839152795401659	0.27316868543934	0.00297482269387263	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Eils_2020	study	niche_index	86	3	17	22	-0.852005383565195	0.277049923562637	0.00293247130555471	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Kaminski_2020	study	niche_index	82	7	17	22	-0.846631246362652	0.271337676171939	0.00257848750776225	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Krasnow_2020	study	niche_index	86	3	17	22	-0.843332608012093	0.278413929684987	0.00338375280460978	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Lafyatis_2019	study	niche_index	85	4	17	22	-0.979691334580268	0.292170000313995	0.00122927503016839	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2019	study	niche_index	88	1	17	22	-0.826367082527964	0.243910375674683	0.00127541327262585	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Meyer_2021	study	niche_index	84	5	17	21	-0.854784541152718	0.273653484086046	0.00254662240487077	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Misharin_2021	study	niche_index	87	2	17	22	-0.854620906504572	0.27055535680277	0.00229438502103125	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Peer_Massague_2020	study	niche_index	87	2	17	22	-0.716185522901647	0.282359005806279	0.013464125753813	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Regev_2021	study	niche_index	75	14	17	21	-0.860353674138555	0.287314823945485	0.00382962322562125	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2020	study	niche_index	84	5	17	22	-0.945236799089589	0.330294520247316	0.00583355188612326	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Schiller_2021	study	niche_index	87	2	17	22	-0.819780052489108	0.27042557979312	0.0034161892177517	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sheppard_2020	study	niche_index	81	8	17	22	-0.708791086315224	0.368639602825825	0.0611913529450303	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Sun_2020	study	niche_index	80	9	17	19	-0.861008563821544	0.27095624721228	0.00219783754418933	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Tata_unpubl	study	niche_index	88	1	17	22	-0.852149094070691	0.274584440697778	0.00269815199459165	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Thienpont_2018	study	niche_index	85	4	17	22	-0.857349266504402	0.278881287142938	0.00293725954827315	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Banovich_Kropski_2020	study	injury_stromal_score	74	15	17	22	0.642501039066794	0.23959014893551	0.00925568776343317	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Budinger_2020	study	injury_stromal_score	86	3	17	22	0.717808727650099	0.21613253062727	0.00142723548002074	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Duong_lungMAP_unpubl	study	injury_stromal_score	88	1	17	22	0.746045765700465	0.210163086908589	0.00068920699812175	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Eils_2020	study	injury_stromal_score	86	3	17	22	0.742014251025123	0.219383035066635	0.00116563194339337	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
Kaminski_2020	study	injury_stromal_score	82	7	17	22	0.763989822511928	0.220553489671409	0.000912087170411161	FALSE	lmer(~ disease_group + sex + (1 | study))	per-refit									
