outcome	predictor	family	estimate	SE	df	t_ratio	p_value	depth_adjusted	n_units	n_donors	p_BH	block	median_rho	q25	q75	p_wilcox	n_donors_partial	median_partial_rho	p_wilcox_partial	depth_control	p_BH_partial
bm_resid	AGTR1_expr	agtr1	0.124745109763465	0.0576197205755736	211.999999993923	2.16497248715134	0.0315066473601357	FALSE	214	95	0.0628725704318022	donor x cluster pseudobulk (mixed model)									
bm_resid	AGTR1_detect	agtr1	0.118069665294155	0.0576860289640177	212.000000000309	2.04676361702419	0.0419150469545348	FALSE	214	95	0.0628725704318022	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	AGTR1_scvi	agtr1	0.178360824267837	0.0559670978606959	187.82392414675	3.18688713700652	0.00168453364479952	FALSE	214	95	0.00471745804833741	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	AGTR1_expr	agtr1	0.160533899814574	0.0555279637623064	211.689118116916	2.89104604126593	0.00423994629429371	FALSE	214	95	0.00471745804833741	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	AGTR1_detect	agtr1	0.158637701481874	0.055546286500632	211.998289193933	2.85595512276179	0.00471745804833741	FALSE	214	95	0.00471745804833741	donor x cluster pseudobulk (mixed model)									
basement_membrane_score_z	tgfb_response_score	tgfb	-0.196403134911799	0.0683055463749548	210.868499360348	-2.87536145064514	0.0044495556674894	TRUE	214	95	0.00735314482766774	donor x cluster pseudobulk (mixed model)									
basement_membrane_score_z	tgfb_response_noECM_score	tgfb	-0.193995515471474	0.0682263483859454	210.99354608764	-2.84341050138097	0.00490209655177849	TRUE	214	95	0.00735314482766774	donor x cluster pseudobulk (mixed model)									
basement_membrane_score_z	tgfb_receptor_score	tgfb	-0.0148194886753154	0.0703015000263913	210.435729043045	-0.21079903941953	0.833248071135639	TRUE	214	95	0.833248071135639	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	tgfb_response_score	tgfb	-0.0728556545369703	0.0669542305222561	201.875703316702	-1.08814116701338	0.27783016722267	TRUE	214	95	0.402193448787599	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	tgfb_response_noECM_score	tgfb	-0.0899118538751958	0.0667937984687532	202.1378990785	-1.34611080573981	0.179774461430993	TRUE	214	95	0.402193448787599	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	tgfb_receptor_score	tgfb	0.0566963515904491	0.0675362518497006	200.088776407642	0.839495086529597	0.402193448787599	TRUE	214	95	0.402193448787599	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	tgfb_response_score	tgfb	-0.0840227349394419	0.0675204471060857	200.323908315263	-1.24440430329835	0.214804776307411	TRUE	214	95	0.368110396702433	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	tgfb_response_noECM_score	tgfb	-0.060919671433353	0.0675341965630706	200.264844390651	-0.902056654756524	0.368110396702433	TRUE	214	95	0.368110396702433	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	tgfb_receptor_score	tgfb	-0.0720693156965917	0.0672517366733255	195.463010364708	-1.07163501288699	0.285205375799075	TRUE	214	95	0.368110396702433	donor x cluster pseudobulk (mixed model)									
bm_resid	tgfb_response_score	tgfb	-0.174201626928529	0.057011334598683	212.000000000443	-3.05556128715066	0.00253485360559471	FALSE	214	95	0.00516238915223912	donor x cluster pseudobulk (mixed model)									
bm_resid	tgfb_response_noECM_score	tgfb	-0.168895427695418	0.0570865985308105	212.000000002653	-2.9585827854897	0.00344159276815941	FALSE	214	95	0.00516238915223912	donor x cluster pseudobulk (mixed model)									
bm_resid	tgfb_receptor_score	tgfb	-0.0218776700647364	0.0582338136954859	211.999999997348	-0.375686713206494	0.707525457392851	FALSE	214	95	0.707525457392851	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	tgfb_response_score	tgfb	-0.154119754713387	0.0556127914908462	209.585300573195	-2.77130046131123	0.00608547334352878	FALSE	214	95	0.0144711504219562	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	tgfb_response_noECM_score	tgfb	-0.145570395530402	0.055725648396516	208.91759385158	-2.61226921030323	0.00964743361463749	FALSE	214	95	0.0144711504219562	donor x cluster pseudobulk (mixed model)									
bm_resid_collagen	tgfb_receptor_score	tgfb	-0.0334743562432009	0.0566116943793082	210.481523380822	-0.591297550978016	0.554955547289121	FALSE	214	95	0.554955547289121	donor x cluster pseudobulk (mixed model)									
basement_membrane_score	AGTR1_scvi	agtr1								69	0.000129635717122	within-donor cell-level Spearman	0.0849767956016343	-0.0279765549820663	0.176821165840171	4.32119057073334e-05	69	0.110500764386179	8.1129446223797e-07	log10_total_counts	2.43388338671391e-06
basement_membrane_score	AGTR1_expr	agtr1								68	0.017896045013613	within-donor cell-level Spearman	0.0396382577549361	-0.0359304328403912	0.135332152378632	0.017896045013613	68	0.033380890833427	0.111441544057886	log10_total_counts	0.111441544057886
basement_membrane_score	AGTR1_detect	agtr1								68	0.00733678376307799	within-donor cell-level Spearman	0.0670088922319265	-0.0205133003851684	0.140655847198314	0.00489118917538533	68	0.0354257196203994	0.111441544057886	log10_total_counts	0.111441544057886
fibrillar_collagen_score	AGTR1_scvi	agtr1								69	0.339293989452892	within-donor cell-level Spearman	-0.0465895508488828	-0.145094972054991	0.0704209065679926	0.113097996484297	69	-0.0206935518514336	0.200722969664463	log10_total_counts	0.602168908993389
fibrillar_collagen_score	AGTR1_expr	agtr1								68	0.543200624257621	within-donor cell-level Spearman	0.00504065782338413	-0.0676216445314501	0.0772746387620682	0.543200624257621	68	0.000815174777892643	0.919692689051692	log10_total_counts	0.919692689051692
fibrillar_collagen_score	AGTR1_detect	agtr1								68	0.344810435829749	within-donor cell-level Spearman	0.0199957922306093	-0.0755241172915662	0.101350065513043	0.229873623886499	68	-0.00125970164497232	0.823513790330639	log10_total_counts	0.919692689051692
bm_minus_fibrillar	AGTR1_scvi	agtr1								69	7.10119932231272e-05	within-donor cell-level Spearman	0.0881407164447875	0.00265130592598438	0.187856814718129	2.36706644077091e-05	69	0.0950449384263175	1.20551136922576e-05	log10_total_counts	3.61653410767728e-05
bm_minus_fibrillar	AGTR1_expr	agtr1								68	0.220082526252062	within-donor cell-level Spearman	0.0413463908062698	-0.0528376629253941	0.101214129272018	0.146721684168041	68	0.0459549182578225	0.0654354349708036	log10_total_counts	0.0865371459537314
bm_minus_fibrillar	AGTR1_detect	agtr1								68	0.259590211076964	within-donor cell-level Spearman	0.0384477883849602	-0.0747495907872593	0.12291877038656	0.259590211076964	68	0.043153102040739	0.0865371459537314	log10_total_counts	0.0865371459537314
basement_membrane_score	tgfb_response_score	tgfb								69	0.0246747790158307	within-donor cell-level Spearman	-0.0364705882352941	-0.10017094017094	0.0214285714285714	0.00822492633861023	69	-0.0468964874680072	0.00149929213925124	log10_total_counts	0.00403070816072631
basement_membrane_score	tgfb_response_noECM_score	tgfb								69	0.0259957036770283	within-donor cell-level Spearman	-0.0345691229430428	-0.110263321584076	0.0311355311355311	0.0173304691180189	69	-0.0504222067084039	0.00268713877381754	log10_total_counts	0.00403070816072631
basement_membrane_score	tgfb_receptor_score	tgfb								69	0.276520845873724	within-donor cell-level Spearman	-0.0143385753931545	-0.0977551020408163	0.0507153224134356	0.276520845873724	69	0.000297322760523861	0.895350661946773	log10_total_counts	0.895350661946773
fibrillar_collagen_score	tgfb_response_score	tgfb								69	0.909554902918569	within-donor cell-level Spearman	0.00420295905861265	-0.0800395256916996	0.112849322370984	0.909554902918569	69	0.00218664348947726	0.783292013531049	log10_total_counts	0.820268258230867
fibrillar_collagen_score	tgfb_response_noECM_score	tgfb								69	0.909554902918569	within-donor cell-level Spearman	-0.00750826584540724	-0.088266043643618	0.093439676323649	0.81098318253902	69	-0.00378884371326785	0.820268258230867	log10_total_counts	0.820268258230867
fibrillar_collagen_score	tgfb_receptor_score	tgfb								69	0.0998857335535875	within-donor cell-level Spearman	0.0291695264241592	-0.0434782608695652	0.106849350012193	0.0332952445178625	69	0.0430345277231987	0.0363820876431455	log10_total_counts	0.109146262929437
bm_minus_fibrillar	tgfb_response_score	tgfb								69	0.330476421052795	within-donor cell-level Spearman	-0.0231374807987711	-0.0977744476620563	0.084541507310386	0.220317614035197	69	-0.0381524696728643	0.0976877743603261	log10_total_counts	0.21584887417984
bm_minus_fibrillar	tgfb_response_noECM_score	tgfb								69	0.354063267120636	within-donor cell-level Spearman	-0.0216913521261347	-0.0933697881066302	0.0774690425853217	0.354063267120636	69	-0.0430546585677814	0.19040253191822	log10_total_counts	0.21584887417984
bm_minus_fibrillar	tgfb_receptor_score	tgfb								69	0.330476421052795	within-donor cell-level Spearman	-0.0356122448979592	-0.0951832598539186	0.0668488004781013	0.113097996484297	69	-0.0147867734378031	0.21584887417984	log10_total_counts	0.21584887417984
