disease_group	n_donors	n_with_smoking	smoking_levels	block	smoking	emmean	SE	df	lower.CL	upper.CL	response	n	model
Healthy	42	21	active,former,never	smoking_availability_by_disease									
COPD	1	0		smoking_availability_by_disease									
Fibrotic_ILD	24	0		smoking_availability_by_disease									
Other	22	0		smoking_availability_by_disease									
				smoking_main_effect_healthy	never	0.00989412112449955	0.010387509341041	16	-0.0121264149732834	0.0319146572222825	injury_frac	21	
				smoking_main_effect_healthy	former	-0.0190850814900699	0.0260797473564621	16	-0.0743716761133854	0.0362015131332456	injury_frac	21	
				smoking_main_effect_healthy	active	0.0402406748185547	0.0128906494699679	16	0.0129137186967662	0.0675676309403433	injury_frac	21	
				smoking_main_effect_healthy	never	0.34400386577991	0.183494006054755	16	-0.0449860500309018	0.732993781590723	niche_index	21	
				smoking_main_effect_healthy	former	0.443248647203052	0.460695356530344	16	-0.533381880432249	1.41987917483835	niche_index	21	
				smoking_main_effect_healthy	active	-0.709840801465933	0.227711651969015	16	-1.19256793916947	-0.227113663762392	niche_index	21	
				smoking_main_effect_healthy	never	-0.185617351034144	0.118525924733516	16	-0.436881086971823	0.0656463849035352	injury_stromal_score	21	
				smoking_main_effect_healthy	former	-0.21637077453361	0.297581072685838	16	-0.847214467468262	0.414472918401043	injury_stromal_score	21	
				smoking_main_effect_healthy	active	0.335391095119818	0.147087824297488	16	0.0235788369406496	0.647203353298987	injury_stromal_score	21	
				smoking_main_effect_healthy	never	0.501860238609328	0.043169966250413	16	0.410343998387875	0.593376478830782	AGTR1_pos_frac	21	
				smoking_main_effect_healthy	former	0.594208418466566	0.108386118003235	16	0.364440112549488	0.823976724383643	AGTR1_pos_frac	21	
				smoking_main_effect_healthy	active	0.343354277168337	0.0535728906991915	16	0.22978482228052	0.456923732056154	AGTR1_pos_frac	21	
Healthy				covariate_robustness_emmeans		0.0240654370226543	0.00604162500663609	42	0.0118729441414716	0.036257929903837	injury_frac	47	base
Fibrotic_ILD				covariate_robustness_emmeans		0.0338316623522704	0.0150693067973469	42	0.003420570030387	0.0642427546741539	injury_frac	47	base
Other				covariate_robustness_emmeans		0.0329248209242134	0.020906446779448	42	-0.00926609679233812	0.075115738640765	injury_frac	47	base
Healthy				covariate_robustness_emmeans		0.0211849636000268	0.00835706095049832	39	0.00428121229726006	0.0380887149027935	injury_frac	47	smoking
Fibrotic_ILD				covariate_robustness_emmeans		0.0288129607164195	0.0198531132298569	39	-0.0113437511480737	0.0689696725809127	injury_frac	47	smoking
Other				covariate_robustness_emmeans		0.0281954889713879	0.0237910940692117	39	-0.019926540980147	0.0763175189229227	injury_frac	47	smoking
Healthy				covariate_robustness_emmeans		0.00835904896110514	0.0180745977137945	7	-0.0343805831307168	0.0510986810529271	injury_frac	15	comorbid
Other				covariate_robustness_emmeans		0.111435388366196	0.0705870628296886	7	-0.055476492249589	0.278347268981982	injury_frac	15	comorbid
Healthy				covariate_robustness_emmeans		0.134901891178538	0.124464230845843	42	-0.116277095746829	0.386080878103905	niche_index	47	base
Fibrotic_ILD				covariate_robustness_emmeans		-0.0517602855429795	0.310444570434557	42	-0.678262792876291	0.574742221790332	niche_index	47	base
Other				covariate_robustness_emmeans		-0.596570182489059	0.430696181121041	42	-1.46575026508321	0.272609900105091	niche_index	47	base
Healthy				covariate_robustness_emmeans		0.0649533685675492	0.146848771626346	39	-0.232076308419614	0.361983045554712	niche_index	47	smoking
Fibrotic_ILD				covariate_robustness_emmeans		-0.4455577470282	0.348855334193705	39	-1.1511842639082	0.260068769851797	niche_index	47	smoking
Other				covariate_robustness_emmeans		-0.934811056789484	0.418052825078686	39	-1.78040271017186	-0.0892194034071102	niche_index	47	smoking
Healthy				covariate_robustness_emmeans		0.0861385394472016	0.317280071523202	7	-0.664109612223654	0.836386691118057	niche_index	15	comorbid
Other				covariate_robustness_emmeans		-0.699806044790096	1.23907976807273	7	-3.62976411403283	2.23015202445264	niche_index	15	comorbid
Healthy				covariate_robustness_emmeans		-0.167329248480246	0.103064841046559	42	-0.375322518400197	0.040664021439705	injury_stromal_score	47	base
Fibrotic_ILD				covariate_robustness_emmeans		0.30588952329221	0.257069200429429	42	-0.212897126452588	0.824676173037008	injury_stromal_score	47	base
Other				covariate_robustness_emmeans		0.91415697225844	0.356645705717486	42	0.194416799161211	1.63389714535567	injury_stromal_score	47	base
Healthy				covariate_robustness_emmeans		-0.074289328346773	0.134160925715832	39	-0.345655414615912	0.197076757922366	injury_stromal_score	47	smoking
Fibrotic_ILD				covariate_robustness_emmeans		0.687441247178844	0.318713967151335	39	0.0427813997329437	1.33210109462474	injury_stromal_score	47	smoking
Other				covariate_robustness_emmeans		1.2466473055609	0.381932742027871	39	0.474115416196377	2.01917919492541	injury_stromal_score	47	smoking
Healthy				covariate_robustness_emmeans		-0.0309121132937535	0.182723150801319	7	-0.462983707005998	0.401159480418491	injury_stromal_score	15	comorbid
Other				covariate_robustness_emmeans		1.85517398606506	0.713592121400727	7	0.16779675005536	3.54255122207476	injury_stromal_score	15	comorbid
Healthy				covariate_robustness_emmeans		0.356899330166047	0.0357316384147457	42	0.284789964469524	0.42900869586257	AGTR1_pos_frac	47	base
Fibrotic_ILD				covariate_robustness_emmeans		0.352507863693523	0.0891235422675584	42	0.172649273752997	0.532366453634049	AGTR1_pos_frac	47	base
Other				covariate_robustness_emmeans		0.238256413671862	0.123645806556983	42	-0.0112709261710153	0.487783753514738	AGTR1_pos_frac	47	base
Healthy				covariate_robustness_emmeans		0.410913173692554	0.0450255130786164	39	0.31984047721844	0.501985870166668	AGTR1_pos_frac	47	smoking
Fibrotic_ILD				covariate_robustness_emmeans		0.560329275906227	0.106963035770234	39	0.343976114674208	0.776682437138246	AGTR1_pos_frac	47	smoking
Other				covariate_robustness_emmeans		0.42444054741488	0.128179777976133	39	0.165172474370228	0.683708620459532	AGTR1_pos_frac	47	smoking
