test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver	target_set	perm_mean	perm_sd	perm_z	perm_p	perm_p_BH	fdr_significant	n_permutations	aupr_frozen	rank_frozen	rank_change_bm_minus_injury	ligand_class
MMP14	0.786547026460571	0.139858074966148	0.136724097426321	0.217720482000176	1	Pericytes	basement_membrane	0.00106813887727703	0.00551810499341672	24.5837943842833	9.99900009999e-05	0.0320967903209679	TRUE	10000	0.103919588314249	9	-8	protease/remodeler
TIMP2	0.66926469303991	0.0740405677818031	0.0709065902419754	0.207616883947035	2	Pericytes	basement_membrane	0.00102878079683722	0.00520427276345707	13.4270075034884	0.0030996900309969	0.234566813588911	FALSE	10000	0.146083452147181	4	-2	protease/remodeler
MXRA5	0.675552353506247	0.0265911384340729	0.0234571608942453	0.09721900901534	3	Pericytes	basement_membrane	0.00104459201980484	0.00531240565724468	4.21891141612572	0.0042995700429957	0.234566813588911	FALSE	10000	0.0444086685911077	223	-220	other
COL5A1	0.71257968736355	0.0197407152527404	0.0166067377129128	0.0618422849444828	4	Pericytes	basement_membrane	0.00104256310302764	0.00519533444993452	2.99579839563193	0.007999200079992	0.234566813588911	FALSE	10000	0.103344551086895	10	-6	collagen/ECM
TGFB2	0.680333595319188	0.0183287232056736	0.015194745665846	0.0770274453003695	5	Pericytes	basement_membrane	0.000970496294957859	0.00484420258746876	2.9363448604904	0.0074992500749925	0.234566813588911	FALSE	10000	0.208170306721241	1	4	TGF-beta
COL1A1	0.747052659156407	0.0171852903983524	0.0140513128585248	0.0665023244151285	6	Pericytes	basement_membrane	0.000991246868189763	0.00490612779361403	2.66199058396612	0.0090990900909909	0.234566813588911	FALSE	10000	0.107306389764533	8	-2	collagen/ECM
COPA	0.739717055279016	0.0166359336219897	0.0135019560821621	0.0715149219135836	7	Pericytes	basement_membrane	0.0010080059072629	0.00518557175666577	2.40936790795324	0.0111988801119888	0.234566813588911	FALSE	10000	0.13852941971183	5	2	vesicular transport/secreted
TGFB1	0.846781940441883	0.0140132623039653	0.0108792847641376	0.0690869761774568	8	Pericytes	basement_membrane	0.000967458384074817	0.00479552030106987	2.06689279948445	0.0134986501349865	0.234566813588911	FALSE	10000	0.2030569287902	2	6	TGF-beta
FGF7	0.771766657933806	0.0133416660720992	0.0102076885322716	0.0733447403284833	9	Pericytes	basement_membrane	0.00104698162657294	0.00542807845324855	1.68765189829123	0.0147985201479852	0.234566813588911	FALSE	10000	0.0425394363634908	231	-222	other
CALM3	0.7441926469304	0.0132500029877824	0.0101160254479548	0.0641045298092125	10	Pericytes	basement_membrane	0.00109266118612775	0.00579001882660178	1.55843435609741	0.0164983501649835	0.234566813588911	FALSE	10000	0.0672451357547388	51	-41	other
LAMA2	0.732337787092831	0.0126557373825553	0.00952175984272771	0.0371271967185847	11	Pericytes	basement_membrane	0.00101628318307974	0.00534926434676671	1.5900273585823	0.0152984701529847	0.234566813588911	FALSE	10000	0.0281535298148544	279	-268	other
POSTN	0.646144441533493	0.0126368125013663	0.00950283496153866	0.0583127369827727	12	Pericytes	basement_membrane	0.00106700300080231	0.00542621356564337	1.5546442945314	0.0182981701829817	0.234566813588911	FALSE	10000	0.0277580782605005	280	-268	matricellular
RELN	0.699262073181383	0.0126365693999353	0.00950259186010764	0.0575871113811305	13	Pericytes	basement_membrane	0.000981423820746891	0.00482588061065617	1.76572292744767	0.0152984701529847	0.234566813588911	FALSE	10000	0.0951689614659528	16	-3	other
FGF2	0.750283818007164	0.0125474098517437	0.00941343231191609	0.0620797115260934	14	Pericytes	basement_membrane	0.000990785328434358	0.00494310326307495	1.70391888156556	0.0147985201479852	0.234566813588911	FALSE	10000	0.050422175413832	186	-172	other
VEGFC	0.755807353069604	0.0118166623492061	0.00868268480937845	0.0654617753751569	15	Pericytes	basement_membrane	0.00101692414747674	0.00521232718460671	1.47069828704165	0.0188981101889811	0.234566813588911	FALSE	10000	0.0261569623113085	286	-271	other
