disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	min_cells	n_donors	arm	n_fibrotic	estimable	injury_programs	analysis_role	block	contrast	estimate	t.ratio	p_BH_within_level	touches_small_group	adjustment
Healthy	0.0196077847357804	0.00580579104248508	15.4342354816932	0.00726328871181982	0.0319522807597409	42	10	89		24	TRUE	activated_migratory	PRIMARY (>=10 pericytes/donor)	marginal means						
COPD	0.107029055112366	0.0324208043746455	82.3622637468123	0.0425379942265793	0.171520115998153	1	10	89		24	FALSE	activated_migratory	PRIMARY (>=10 pericytes/donor)	marginal means						
Fibrotic_ILD	0.028634688668147	0.00792471079331413	21.7565081354291	0.012189173498934	0.0450802038373601	24	10	89		24	TRUE	activated_migratory	PRIMARY (>=10 pericytes/donor)	marginal means						
Other	0.0238906211188655	0.00813679328528042	8.39479784678215	0.00527963611684175	0.0425016061208893	22	10	89		24	TRUE	activated_migratory	PRIMARY (>=10 pericytes/donor)	marginal means						
		0.0334686435221759	81.0947595021983	-0.154012193085133	-0.0208303476680391		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	Healthy - COPD	-0.0874212703765859	-2.61203506257019	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
		0.0103399840222668	39.4695141098948	-0.0299335440880497	0.0118797362233164		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	Healthy - Fibrotic_ILD	-0.00902690393236665	-0.873009466255225	0.581907563959916	FALSE	BH within level (applied by emmeans::pairs)
		0.0105244942401416	13.3163436500565	-0.0269648392275271	0.0183991664613568		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	Healthy - Other	-0.00428283638308513	-0.406939876193757	0.690517481701937	FALSE	BH within level (applied by emmeans::pairs)
		0.0324657255045646	82.577332193471	0.0138164558842537	0.142972277004185		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	COPD - Fibrotic_ILD	0.0783943664442193	2.41468087424066	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
		0.033024233001865	75.2317556339556	0.0173541099409606	0.148922758046041		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	COPD - Other	0.0831384339935008	2.51749780195669	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
		0.0106436064446877	7.11745212278201	-0.0203401129245723	0.0298282480231354		10	89					PRIMARY (>=10 pericytes/donor)	pairwise contrasts	Fibrotic_ILD - Other	0.00474406754928152	0.445719932800534	0.690517481701937	FALSE	BH within level (applied by emmeans::pairs)
Healthy	0.0158928938220805	0.00517143524799457	12.5535856638355	0.00468016661864946	0.0271056210255115	32	20	69		17	TRUE	activated_migratory	sensitivity (>=20 pericytes/donor)	marginal means						
Fibrotic_ILD	0.0280264063844557	0.00724968885484729	22.7789685675469	0.0130212259829593	0.043031586785952	17	20	69		17	TRUE	activated_migratory	sensitivity (>=20 pericytes/donor)	marginal means						
Other	0.025665382653458	0.00679430504058783	5.82390196610565	0.00891769906428347	0.0424130662426325	20	20	69		17	TRUE	activated_migratory	sensitivity (>=20 pericytes/donor)	marginal means						
		0.0095118291421046	33.366362356904	-0.0314774055865749	0.00721038046182457		20	69					sensitivity (>=20 pericytes/donor)	pairwise contrasts	Healthy - Fibrotic_ILD	-0.0121335125623752	-1.27562347694678	0.458765906221214	FALSE	BH within level (applied by emmeans::pairs)
		0.00905797681800133	10.0536384059793	-0.0299403328579895	0.0103953551952345		20	69					sensitivity (>=20 pericytes/donor)	pairwise contrasts	Healthy - Other	-0.00977248883137752	-1.07888207573641	0.458765906221214	FALSE	BH within level (applied by emmeans::pairs)
		0.00930750848468114	4.97288904456665	-0.0216039742893318	0.0263260217513271		20	69					sensitivity (>=20 pericytes/donor)	pairwise contrasts	Fibrotic_ILD - Other	0.00236102373099766	0.253668716486649	0.809905146343869	FALSE	BH within level (applied by emmeans::pairs)
