level	predictor	estimate	se	ci_lower	ci_upper	p_value	n_cells	n_donors	formula	fallback	p_BH	p_formatted
cell	AGTR1_detect	-0.00358699744237245	0.000815936137127691	-0.00518620288482746	-0.00198779199991744	1.10175495934608e-05	7157	56	airspace_score ~ AGTR1_detect + age + C(sex) + n_counts + n_genes + pct_mito	FALSE	2.20350991869216e-05	1.10e-05
donor	frac_AGTR1_pos	-0.00203101857335373	0.00772008608256799	-0.017162387295187	0.0131003501484795	0.793547048234737		56	airspace_score ~ frac_AGTR1_pos + age + C(sex)		0.793547048234737	7.94e-01
