term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	n_donors	min_cells	arm	n_studies	study_sd	singular	p_excl_small_groups	small_groups	estimable	n_donors_group	model	block	analysis_role	response	disease_group	emmean	SE	df	lower.CL	upper.CL	contrast	estimate	t.ratio	p.value	Estimate	Std. Error	t value	Pr(>|t|)
disease_group	1.43943419811812	0.479811399372707	3	48.8352188475602	3.2530923726951	0.0294751481133658	89	10	primary	18	0.450568136835355	FALSE	0.0188908958952941	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	anova	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1														
sex	0.0292741467529853	0.0146370733764927	2	70.9720775790951	0.0992384754132529	0.90565216463033	89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	anova	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1														
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1	Healthy	-0.0603212699675704	0.147820602545664	22.0403120138052	-0.366849930485819	0.246207390550678								
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1	COPD	0.88164423632187	0.446518325424405	81.1259812477936	-0.00676625484707594	1.77005472749082								
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1	Fibrotic_ILD	0.475235139965127	0.181593999209154	32.0721385083019	0.105372894961219	0.845097384969036								
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	emmeans	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1	Other	0.108029565428155	0.249430915683755	19.8319643748198	-0.412556970077265	0.628616100933576								
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.452813599252566	75.2608049913944			Healthy - COPD	-0.94196550628944	-2.0802500363158	0.122720473443776				
							89	10	primary	18	0.450568136835355	FALSE	0.0158467276327309	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.186647351877712	78.5125783842964			Healthy - Fibrotic_ILD	-0.535556409932698	-2.86934909359757	0.0316934680315015				
							89	10	primary	18	0.450568136835355	FALSE	0.560153975088578	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.285342990828975	26.7038797765593			Healthy - Other	-0.168350835395726	-0.589994640858831	0.560154022814972				
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.413064820187342	68.965228759453			COPD - Fibrotic_ILD	0.406409096356742	0.983886974863701	0.394332350950033				
							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.507554258401647	78.537965153084			COPD - Other	0.773614670893714	1.52420092647814	0.26295070868462				
							89	10	primary	18	0.450568136835355	FALSE	0.351286389722886	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	posthoc	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1			0.301401821504138	25.6435332208095			Fibrotic_ILD - Other	0.367205574536972	1.218325664737	0.351286484484165				
(Intercept)							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											-0.148805474103648			
disease_groupCOPD							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											0.81745606728019			
disease_groupFibrotic_ILD							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											0.729395775301346			
disease_groupOther							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											0.0210827551952473			
sexmale							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											0.115895787225577			
sexunknown							89	10	primary	18	0.450568136835355	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lm + HC3 -- UNGUARDED, comparison only	robust_coefs	PRIMARY (>=10 pericytes/donor)	injury_stromal_score_sens_agtr1											-0.243467191705309			
disease_group	1.71928461791056	0.859642308955281	2	30.0036447610851	5.34545490104612	0.010335334126843	69	20	primary	17	0.384047456673623	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	anova	sensitivity (>=20 pericytes/donor)	injury_stromal_score_sens_agtr1														
