level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells	analysis_role	block	disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	estimable	contrast	estimate	t.ratio	p_BH_within_level	touches_small_group	adjustment
activated_migratory	89		lmer(disease_group + sex + (1 | study))	3	2.48406134386525	0.103071797595026	0.670674320636425	COPD	0.20105089250752	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
basement_membrane	89		lmer(disease_group + sex + (1 | study))	3	1.13981887725197	0.33875709647664	0.797306370648548	COPD	0.33875709647664	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))	3	1.91807632811925	0.134033928338347	0.911743645729035	COPD	0.20105089250752	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
activated_migratory	69		lmer(disease_group + sex + (1 | study))	2	1.016964801905	0.367460456584078			0.788049784037135	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
basement_membrane	69		lmer(disease_group + sex + (1 | study))	2	0.47014916711223	0.630306908110329			0.788049784037135	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
vascular_stabilizing	69		lmer(disease_group + sex + (1 | study))	2	0.240510865095671	0.788049784037135			0.788049784037135	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
activated_migratory	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.0196077847357804	0.00580579104248508	15.4342354816932	0.00726328871181982	0.0319522807597409	42	TRUE						
activated_migratory	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.107029055112366	0.0324208043746455	82.3622637468123	0.0425379942265793	0.171520115998153	1	FALSE						
activated_migratory	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.028634688668147	0.00792471079331413	21.7565081354291	0.012189173498934	0.0450802038373601	24	TRUE						
activated_migratory	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.0238906211188655	0.00813679328528042	8.39479784678215	0.00527963611684175	0.0425016061208893	22	TRUE						
basement_membrane	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.386879890880075	0.0919482059629892	20.2793028558629	0.195248501251452	0.578511280508697	42	TRUE						
basement_membrane	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.568500989174022	0.162820213079886	77.9956992002638	0.244350563684386	0.892651414663658	1	FALSE						
basement_membrane	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.345825249967425	0.100516134031474	26.1326598497281	0.139262412995215	0.552388086939635	24	TRUE						
basement_membrane	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.411309391274748	0.14129365887821	38.81407414344	0.12547221339718	0.697146569152317	22	TRUE						
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.59227388594024	0.0921123836881443	20.0629594909899	0.400169467541726	0.784378304338754	42	TRUE						
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.324569281602105	0.157787004211769	75.9832517261919	0.0103081069360927	0.638830456268117	1	FALSE						
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.615146633477582	0.100049547692567	25.5335361459881	0.409308833545692	0.820984433409472	24	TRUE						
vascular_stabilizing	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.566814863809403	0.139167755523152	39.5547199348177	0.285447672394766	0.848182055224039	22	TRUE						
activated_migratory	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.0158928938220805	0.00517143524799457	12.5535856638355	0.00468016661864946	0.0271056210255115	32	TRUE						
activated_migratory	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.0280264063844557	0.00724968885484729	22.7789685675469	0.0130212259829593	0.043031586785952	17	TRUE						
activated_migratory	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.025665382653458	0.00679430504058783	5.82390196610565	0.00891769906428347	0.0424130662426325	20	TRUE						
basement_membrane	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.422399268287859	0.10916823947336	17.3227229276994	0.192400851821593	0.652397684754125	32	TRUE						
basement_membrane	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.348847834767083	0.114271666392868	20.7514050889234	0.111033431091949	0.586662238442216	17	TRUE						
basement_membrane	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.355383292118325	0.187127058239143	14.6690635047615	-0.0442537364186212	0.755020320655271	20	TRUE						
vascular_stabilizing	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Healthy	0.567141070154215	0.110455028693588	17.0215775008764	0.33412383146717	0.80015830884126	32	TRUE						
vascular_stabilizing	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Fibrotic_ILD	0.6156433389687	0.114730922086033	19.8038333100931	0.376166763833713	0.855119914103686	17	TRUE						
vascular_stabilizing	69		lmer(disease_group + sex + (1 | study))							20	sensitivity (>=20 pericytes/donor)	marginal means	Other	0.62088564636628	0.19086990394094	14.7391627342038	0.213428112730703	1.02834318000186	20	TRUE						
activated_migratory			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0334686435221759	81.0947595021983	-0.154012193085133	-0.0208303476680391			Healthy - COPD	-0.0874212703765859	-2.61203506257019	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
activated_migratory			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0103399840222668	39.4695141098948	-0.0299335440880497	0.0118797362233164			Healthy - Fibrotic_ILD	-0.00902690393236665	-0.873009466255225	0.581907563959916	FALSE	BH within level (applied by emmeans::pairs)
activated_migratory			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0105244942401416	13.3163436500565	-0.0269648392275271	0.0183991664613568			Healthy - Other	-0.00428283638308513	-0.406939876193757	0.690517481701937	FALSE	BH within level (applied by emmeans::pairs)
activated_migratory			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.0324657255045646	82.577332193471	0.0138164558842537	0.142972277004185			COPD - Fibrotic_ILD	0.0783943664442193	2.41468087424066	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
activated_migratory			lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	pairwise contrasts			0.033024233001865	75.2317556339556	0.0173541099409606	0.148922758046041			COPD - Other	0.0831384339935008	2.51749780195669	0.0359163792155787	TRUE	BH within level (applied by emmeans::pairs)
