np	cross_seed_r_mean	cross_seed_r_weakest_pattern	min_r_collapse_zero	n_collapsed_matches	reconstruction_error_frac_unexplained	n_seeds	n_patterns_ref	n_patterns_seeds	dimension_consistent	selection_status	validated
4	0.998752510180573	0.996839600679897	0.996839600679897	0	0.726798852582837	3	4	4,4,4	TRUE	swept only	FALSE
5	0.928333976179137	0.700339288223707	0.466892858815805	1	0.720052039037594	3	5	4,5,5	FALSE	validated (secondary)	TRUE
6	0.924029235468241	0.577090132000663	0.384726754667109	3	0.707731844081937	3	7	5,6,7	FALSE	swept only	FALSE
7	0.984217167107532	0.950530498042963	0.950530498042963	0	0.708374617552198	3	7	8,8,8	FALSE	validated (secondary)	TRUE
8	0.992210918483478	0.978233844142638	0.978233844142638	0	0.700494930060881	3	8	8,8,8	TRUE	SELECTED (main)	TRUE
9	0.98665468985438	0.952450720674264	0.634967147116176	1	0.697209662298848	3	9	10,9,8	FALSE	sensitivity	TRUE
10	0.92056292915045	0.404516946224828	0.404516946224828	0	0.69391559158969	3	10	10,10,10	TRUE	swept only	FALSE
