level	n_donors	arm	model	Df	F.value	Pr..F.	p_excl_small_groups	small_groups	p_BH	min_cells	analysis_role	block	disease_group	emmean	SE	df	lower.CL	upper.CL	n_donors_group	estimable	contrast	estimate	t.ratio	p_BH_within_level	touches_small_group	adjustment
0	89		lmer(disease_group + sex + (1 | study))	3	1.57099540036665	0.203889632789021	0.801773775011473	COPD	0.244667559346825	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
1	89		lmer(disease_group + sex + (1 | study))	3	1.92982712097643	0.132411528278689	0.825602997720148	COPD	0.198617292418033	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
2	89		lmer(disease_group + sex + (1 | study))	3	0.325812021772877	0.806669580047268	0.625093479121619	COPD	0.806669580047268	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
3	89		lmer(disease_group + sex + (1 | study))	3	3.29946976430443	0.0285043764081665	0.904972251205416	COPD	0.0855131292244994	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
4	89		lmer(disease_group + sex + (1 | study))	3	2.48406134386525	0.103071797595026	0.670674320636425	COPD	0.198617292418033	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
5	89		lmer(disease_group + sex + (1 | study))	3	9.47700421178037	8.62176092501761e-05	0.514240368928797	COPD	0.000517305655501057	10	PRIMARY (>=10 pericytes/donor)	omnibus disease test														
0	69		lmer(disease_group + sex + (1 | study))	2	0.16186269942679	0.85145819373915			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
1	69		lmer(disease_group + sex + (1 | study))	2	0.538193442698555	0.590277720868323			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
2	69		lmer(disease_group + sex + (1 | study))	2	1.0379308496013	0.369118668914041			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
3	69		lmer(disease_group + sex + (1 | study))	2	0.512320225750285	0.604594407320936			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
4	69		lmer(disease_group + sex + (1 | study))	2	1.016964801905	0.367460456584078			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
5	69		lmer(disease_group + sex + (1 | study))	2	0.111906966947889	0.894695241746896			0.894695241746896	20	sensitivity (>=20 pericytes/donor)	omnibus disease test														
0	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.456691121623422	0.0867459755628538	20.5138872402304	0.276032339952303	0.637349903294542	42	TRUE						
0	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.225367914537401	0.159310012090578	79.7396797195765	-0.0916850029054332	0.542420831980236	1	FALSE						
0	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.490977296096317	0.0955145780131299	26.7838329515238	0.294923533587386	0.687031058605249	24	TRUE						
0	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.515944239477483	0.135605955393692	37.7922469149242	0.241374767872231	0.790513711082735	22	TRUE						
1	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.334995712675217	0.091576653929302	20.5911150011358	0.144321104290061	0.525670321060373	42	TRUE						
1	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.614102355134057	0.170239762249287	80.220558372389	0.27532873025609	0.952875980012025	1	FALSE						
1	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.292673548476817	0.101079178490582	26.9988617820587	0.0852757963534175	0.500071300600216	24	TRUE						
1	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.339348066618112	0.143929532196777	37.4100008797848	0.0478269804435409	0.630869152792682	22	TRUE						
2	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.108861863416211	0.0267482324294435	20.0729271616018	0.0530790207807384	0.164644706051684	42	TRUE						
2	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.116650569104337	0.111522601026308	81.6627946890325	-0.105217126991205	0.338518265199879	1	FALSE						
2	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.130403700624648	0.0352357735546325	27.2866637565129	0.0581413879098022	0.202666013339493	24	TRUE						
2	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.156045561500028	0.042016742944866	13.2906765855979	0.0654753004268067	0.24661582257325	22	TRUE						
3	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.0468144018734241	0.0166431227897901	21.588691978077	0.0122605110493688	0.0813682926974794	42	TRUE						
3	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	-0.110935562494686	0.05661485705469	80.821870657809	-0.223585132980989	0.0017140079916166	1	FALSE						
3	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.0549806048532295	0.0210216774782264	31.1575802278287	0.0121153978216987	0.0978458118847603	24	TRUE						
3	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Other	0.042352681407538	0.0275588282156835	16.9785628989977	-0.0157969564623686	0.100502319277445	22	TRUE						
4	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Healthy	0.0196077847357804	0.00580579104248508	15.4342354816932	0.00726328871181982	0.0319522807597409	42	TRUE						
4	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	COPD	0.107029055112366	0.0324208043746455	82.3622637468123	0.0425379942265793	0.171520115998153	1	FALSE						
4	89		lmer(disease_group + sex + (1 | study))							10	PRIMARY (>=10 pericytes/donor)	marginal means	Fibrotic_ILD	0.028634688668147	0.00792471079331413	21.7565081354291	0.012189173498934	0.0450802038373601	24	TRUE						
