ccc_group	gene	emmean	SE	df	lower.CL	upper.CL	value_type	z_within_gene	detect_frac	n_donors	n_profiles	n_cells_total	within_gene_rank
Pericytes	COL4A1	2.33930082445762	0.0521359319949295	292.181146421298	2.23669124537421	2.44191040354104	expr	2.40509187586149	0.816884827736845	49	49	4443	1
EC general capillary	COL4A1	1.68550216903809	0.0403721187525232	108.874318392581	1.60548490544633	1.76551943262984	expr	1.44418349969575	0.498148083180773	117	117	10911	2
Vascular smooth muscle	COL4A1	1.35564762944594	0.0435097289921248	149.448916955049	1.2696739459204	1.44162131297148	expr	0.959385944082845	0.440926880099011	82	82	5701	3
Myofibroblasts	COL4A1	1.30194270390028	0.0600443464579157	485.696755097659	1.18396395516475	1.41992145263581	expr	0.880454131711545	0.474114451175789	33	33	1199	4
EC aerocyte capillary	COL4A1	1.27245517767123	0.0452919252885245	170.349988009341	1.18304947724972	1.36186087809274	expr	0.837115390172349	0.403818635403393	77	77	5991	5
EC venous systemic	COL4A1	1.22983139348316	0.0426953105512599	139.849629438846	1.1454196796982	1.31424310726813	expr	0.774469878575334	0.491943162733302	85	85	6950	6
Peribronchial fibroblasts	COL4A1	1.08033855843447	0.0488015285570914	232.387475061723	0.984188580931002	1.17648853593794	expr	0.554755573285317	0.425968500765607	57	57	2279	7
Alveolar fibroblasts	COL4A1	1.03379858937203	0.0411696000852919	121.225455866261	0.952294037980743	1.11530314076331	expr	0.486354322031754	0.365922722473922	98	98	9425	8
Lymphatic EC	COL4A1	1.02590728321204	0.039385363061294	102.468670631418	0.947790890776338	1.10402367564774	expr	0.474756222027775	0.373513347915782	113	113	7463	9
AT1	COL4A1	0.973901695964242	0.0388628300685843	97.2675489839107	0.896772415344131	1.05103097658435	expr	0.398321980415943	0.297521137863814	120	120	14775	10
EC venous pulmonary	COL4A1	0.808574962814439	0.0414476599578082	124.775627288126	0.726543457993836	0.890606467635041	expr	0.155336098797964	0.248102562742573	95	95	6322	11
Adventitial fibroblasts	COL4A1	0.672984556851027	0.0414889057551789	125.795792226491	0.590877939788491	0.755091173913564	expr	-0.0439453707155375	0.254261508633891	94	94	7893	12
Subpleural fibroblasts	COL4A1	0.508956172972235	0.112949707107482	1819.48571646979	0.287431453203504	0.730480892740967	expr	-0.285023027715185	0.145856613499019	8	8	282	13
Mast cells	COL4A1	0.0737879604727025	0.0386180253071487	95.097209414331	-0.00287750222671843	0.150453423172123	expr	-0.924603389292328	0.00775879380182941	126	126	9209	14
Classical monocytes	COL4A1	0.0484277504237824	0.0357390635840771	70.4128371007601	-0.0228442176482066	0.119699718495771	expr	-0.961876084877321	0.00531839562326416	168	168	21568	15
DC2	COL4A1	0.0286302729443028	0.0342704644076873	59.4605973785661	-0.0399336552016644	0.09719420109027	expr	-0.990973058049861	0.00826545693016767	194	194	13121	16
AT2_AGTR2undet	COL4A1	0.0242723149377934	0.0375940614514231	86.6395751518574	-0.050454336116437	0.0989989659920239	expr	-0.997378085525401	0.0206115458420412	138	138	26620	17
Alveolar macrophages	COL4A1	0.0240587492889572	0.036277799564085	73.2008523639009	-0.0482394589294237	0.0963569575073381	expr	-0.997691969653376	0.0125808677263992	171	171	33227	18
Interstitial macrophages	COL4A1	0.0041602295767435	0.0352865398126529	67.5282849373476	-0.0662618716237337	0.0745823307772207	expr	-1.02693744776238	0.00617747637468129	170	170	24374	19
Non-classical monocytes	COL4A1	0.00236629288406304	0.0370466496942532	80.600732354467	-0.0713504550063907	0.0760830407745168	expr	-1.02957405274775	0.00539522000812643	142	142	11757	20
Transitional Club-AT2	COL4A1	-0.00616847507583268	0.0397905459949136	106.46692306744	-0.0850531085708314	0.0727161584191661	expr	-1.04211786872735	0.0106426259864145	116	116	7087	21
