cl	emmean	SE	df	lower.CL	upper.CL	scale_note	lens	level	n_fitted_units	n_fitted_donors	singular	n_units	n_donors	n_cells	underpowered
0	0.802531083601295	0.090713504662096	36.6283604475254	0.618665093903961	0.986397073298628	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	64	64	5766	FALSE
1	0.710644842395743	0.0837141515056802	27.7061708753289	0.539082209040502	0.882207475750984	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	67	67	3556	FALSE
2	0.645963897237272	0.0871167046020008	34.2243053984622	0.46896418251093	0.822963611963614	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	45	45	1297	FALSE
3	0.837916166720858	0.10212815202769	59.2586611919884	0.63357686877383	1.04225546466789	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	21	21	337	FALSE
4	0.712124644716307	0.115622296920157	84.9404768028038	0.482234216709571	0.942015072723042	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	13	13	134	TRUE
5	0.610612511548949	0.18000952890627	141.717458562193	0.254761598741065	0.966463424356833	mean log1p-normalised expression	raw AGTR1_expr	pseudobulk	214	95	FALSE	4	4	44	TRUE
0	0.368668503390917	0.0375628853854221	35.658805564739	0.292462122807686	0.444874883974148	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	64	64	5766	FALSE
1	0.32343966935123	0.0346502847498204	26.7617394132754	0.252313528445838	0.394565810256623	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	67	67	3556	FALSE
2	0.29086732167174	0.0359888101460695	32.9115582982303	0.217640061414175	0.364094581929306	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	45	45	1297	FALSE
3	0.378254119388557	0.0419599246287348	56.3655907195888	0.294210319113563	0.462297919663551	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	21	21	337	FALSE
4	0.315545632686416	0.0472809782477213	80.5991356170177	0.221464223591195	0.409627041781637	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	13	13	134	TRUE
5	0.262748731894039	0.0730166940679724	138.550043312405	0.118377633765392	0.407119830022685	detected fraction	AGTR1_detect	pseudobulk	214	95	FALSE	4	4	44	TRUE
0	2.46776407929612	0.128845258056139	22.02501848048	2.15689374036468	2.70456680865	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	64	64	5766	FALSE
1	2.37073872222655	0.138330907554522	19.8468438700963	2.0300833015633	2.62436960252363	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	67	67	3556	FALSE
2	2.2703954335141	0.153977411608893	20.5134257884251	1.88373735326879	2.54853966809034	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	45	45	1297	FALSE
3	2.64602052316577	0.110274213137069	24.1626734820812	2.38787947746926	2.8510112902998	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	21	21	337	FALSE
4	2.34243607787819	0.154689382746277	27.7576713774127	1.9611880899736	2.6177860535632	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	13	13	134	TRUE
5	2.17770860670632	0.221487734800787	55.0787195737755	1.59097863804541	2.54502666769362	log AGTR1 per 10^4 transcripts (delta method)	denoised (retrained)	pseudobulk	214	95	FALSE	4	4	44	TRUE
