term	Sum Sq	Mean Sq	NumDF	DenDF	F value	Pr(>F)	n_donors	min_cells	arm	n_studies	study_sd	singular	p_excl_small_groups	small_groups	estimable	n_donors_group	model	response	block	analysis_role	disease_group	emmean	SE	df	lower.CL	upper.CL	contrast	estimate	t.ratio	p.value	Estimate	Std. Error	t value	Pr(>|t|)
disease_group	3.75810857547977	1.25270285849326	3	39.6794107397686	3.71719676926409	0.0190172114514404	89	10	primary	18	0.675482984846718	FALSE	0.0144249906208268	COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	anova	PRIMARY (>=10 pericytes/donor)														
sex	0.955467876636469	0.477733938318234	2	65.6532296291222	1.41759958480522	0.249612868852039	89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	anova	PRIMARY (>=10 pericytes/donor)														
disease_group	3.12931707737112	1.56465853868556	2	18.6036428845986	4.03972062679645	0.0349125041587456	69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	anova	sensitivity (>=20 pericytes/donor)														
sex	0.514786768225814	0.257393384112907	2	41.1989638443729	0.664552256798067	0.519931646219215	69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	anova	sensitivity (>=20 pericytes/donor)														
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	PRIMARY (>=10 pericytes/donor)	Healthy	0.283904786993383	0.22225731398883	22.029564061271	-0.176992808391808	0.744802382378574								
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	PRIMARY (>=10 pericytes/donor)	COPD	-1.30867993780224	0.674412875408318	81.1039933968829	-2.65052393011377	0.0331640545092786								
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	PRIMARY (>=10 pericytes/donor)	Fibrotic_ILD	-0.561878661984776	0.273328987576277	32.0585103476734	-1.11859174147938	-0.00516558249017318								
							89	10	primary	18	0.675482984846718	FALSE		COPD	TRUE	Healthy=42;COPD=1;Fibrotic_ILD=24;Other=22	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	PRIMARY (>=10 pericytes/donor)	Other	-0.158441265631983	0.374840585334451	19.7107426320928	-0.941081278239336	0.62419874697537								
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	sensitivity (>=20 pericytes/donor)	Healthy	0.340169618800708	0.212369138845877	17.5313614843602	-0.106857830121672	0.787197067723088								
							69	20	primary	17	0.485126552246521	FALSE		none	TRUE	Healthy=32;Fibrotic_ILD=17;Other=20	lmer(disease_group + sex + (1 | study))	niche_index	emmeans	sensitivity (>=20 pericytes/donor)	Fibrotic_ILD	-0.503004811082655	0.265886316169915	29.3644445427418	-1.04651037652688	0.0405007543615704								
