test_ligand	rank_bm	aupr_corrected_bm	perm_z_bm	perm_p_bm	perm_p_BH_bm	rank_fibrillar	aupr_corrected_fibrillar	perm_z_fibrillar	perm_p_fibrillar	perm_p_BH_fibrillar	z_difference_bm_minus_fibrillar	rank_difference_bm_minus_fibrillar
MMP14	1	0.136724097426321	24.5837943842833	9.99900009999e-05	0.0320967903209679	12	0.0452580362888629	5.55352531793614	0.0021997800219978	0.0588441155884412	19.0302690663472	-11
TIMP2	2	0.0709065902419754	13.4270075034884	0.0030996900309969	0.234566813588911	6	0.17173780535205	20.4029825012763	9.99900009999e-05	0.00641935806419358	-6.9759749977879	-4
MXRA5	3	0.0234571608942453	4.21891141612572	0.0042995700429957	0.234566813588911	135	0.00334707415170149	0.385869079986398	0.0585941405859414	0.127700598924065	3.83304233613932	-132
COL5A1	4	0.0166067377129128	2.99579839563193	0.007999200079992	0.234566813588911	7	0.170133980568809	20.2205652917211	0.0001999800019998	0.00917051152027654	-17.2247668960892	-3
TGFB2	5	0.015194745665846	2.9363448604904	0.0074992500749925	0.234566813588911	3	0.176185950069332	23.2121494279988	9.99900009999e-05	0.00641935806419358	-20.2758045675084	2
COL1A1	6	0.0140513128585248	2.66199058396612	0.0090990900909909	0.234566813588911	4	0.174016332884409	23.5687867434733	0.0001999800019998	0.00917051152027654	-20.9067961595072	2
COPA	7	0.0135019560821621	2.40936790795324	0.0111988801119888	0.234566813588911	2	0.26730518288373	32.0967257965448	9.99900009999e-05	0.00641935806419358	-29.6873578885916	5
TGFB1	8	0.0108792847641376	2.06689279948445	0.0134986501349865	0.234566813588911	16	0.0226410196456967	2.88753886158179	0.0057994200579942	0.109506696389185	-0.82064606209734	-8
FGF7	9	0.0102076885322716	1.68765189829123	0.0147985201479852	0.234566813588911	31	0.0070933000455613	0.830328669598253	0.0258974102589741	0.127700598924065	0.857323228692977	-22
CALM3	10	0.0101160254479548	1.55843435609741	0.0164983501649835	0.234566813588911	14	0.0305593767159225	3.52818677937682	0.0047995200479952	0.102709729027097	-1.96975242327941	-4
LAMA2	11	0.00952175984272771	1.5900273585823	0.0152984701529847	0.234566813588911	265	0.0014366351142822	0.0427846189600238	0.144985501449855	0.174963706636855	1.54724273962228	-254
POSTN	12	0.00950283496153866	1.5546442945314	0.0182981701829817	0.234566813588911	166	0.00290191639498924	0.298482998622132	0.0733926607339266	0.127700598924065	1.25616129590927	-154
RELN	13	0.00950259186010764	1.76572292744767	0.0152984701529847	0.234566813588911	8	0.116053261483324	17.0199172913996	0.0013998600139986	0.0481451854814519	-15.2541943639519	5
FGF2	14	0.00941343231191609	1.70391888156556	0.0147985201479852	0.234566813588911	25	0.00899776314815409	1.13445431973969	0.0197980201979802	0.127700598924065	0.56946456182587	-11
