arm	exposure	n_donors	n_studies	singular	studies_dropped	model	lrt_chisq	lrt_df	lrt_p	lrt_null_median	n_null	lrt_p_emp	source_table	compartment	slope	SE	df	lower.CL	upper.CL	t_ratio	p_value	p_BH	null_mean	null_sd	p_emp	contrast	estimate	level	spec	predictor	z_value	n_units	note	axis	family	source
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	2.34108268734531	3	0.504696272628764	2.38860847032618	177	0.51123595505618	niche_affinity_global.tsv																							
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	6.30980822625952	3	0.0974726544045325	2.38860847032618	177		niche_affinity_global.tsv																							
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	2.45374649831308	3	0.483708148086073	2.38860847032618	177		niche_affinity_global.tsv																							
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	5.16140124001521	3	0.160352942688862	2.38860847032618	177		niche_affinity_global.tsv																							
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	2.35575539082242	3	0.501923876677103	2.38860847032618	177		niche_affinity_global.tsv																							
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	5.19049381133033	3	0.158368006326255	2.38860847032618	177		niche_affinity_global.tsv																							
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_agtr1_models.tsv	AT1	0.0765131968009342	0.107228722544694	332.095093911164	-0.134419961429756	0.287446355031625	0.713551322678888	0.476005811407673	0.764956029377432	0.0131598830969933	0.121536631038625	0.589887640449438											
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_agtr1_models.tsv	AT2	0.191178744076957	0.107228722544694	332.095093911171	-0.0197544141537336	0.402111902307647	1.78290610519277	0.0755149027606853	0.302059611042741	0.0205905644336997	0.137573373097577	0.202247191011236											
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_agtr1_models.tsv	EC_aerocyte	0.0559762529240069	0.107228722544694	332.095093911171	-0.154956905306684	0.266909411154697	0.522026669679621	0.60199977027404	0.764956029377432	-0.00845580575676071	0.124931932024997	0.606741573033708											
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))					177		niche_affinity_agtr1_models.tsv	EC_gcap	-0.032085446577184	0.107228722544694	332.095093911171	-0.243018604807874	0.178847711653506	-0.299224366529317	0.764956029377432	0.764956029377432	0.0024013188188178	0.121635333339666	0.769662921348315											
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT1	-0.0742323675381069	0.107154895150641	333.776180030547	-0.285016414584627	0.136551679508413	-0.692757595756581	0.488943397064309	0.488943397064309														
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))							niche_affinity_agtr1_models.tsv	AT2	-0.111705447994621	0.107154895150641	333.776180030547	-0.322489495041141	0.0990785990518984	-1.0424670551689	0.297949656242989	0.397266208323985														
