ref_pattern	nP	n_seeds	cross_seed_r_mean	cross_seed_r_min
Pattern_1	8	3	0.999082322280625	0.998901419317319
Pattern_2	8	3	0.999693193976557	0.999419104253429
Pattern_3	8	3	0.989970304420576	0.97894257792923
Pattern_4	8	3	0.994651283522712	0.986220716985603
Pattern_5	8	3	0.980796988917805	0.957978722649621
Pattern_6	8	3	0.978233844142638	0.968504670605944
Pattern_7	8	3	0.995865997504921	0.993966565731513
Pattern_8	8	3	0.999393413101991	0.999014218658012
