level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	score	family	null_mean	null_sd	n_null	p_emp	p_BH	source_table	kind	median_rho	q25	q75	p_wilcox	pericyte_state	emmean	df	lower.CL	upper.CL	small_group	contrast	t.ratio	p.value	touches_small_group	program	rho
pseudobulk	binomial GLMM	detection	progeny_Trail_z	-0.0107710637088899	0.057393646036672	-0.187669967891701	0.851135374079039	214	95	FALSE				progeny_Trail	progeny_other					0.851135374079039	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_VEGF_z	-0.031294050358992	0.0477046857209956	-0.655995315471054	0.511827138338558	214	95	FALSE		0.000524494225828676	0	progeny_VEGF	progeny_other					0.511827138338558	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_VEGF_z	0.0600382042538027	0.0528441902189852	1.13613632842145	0.255899513049277	214	95	FALSE				progeny_VEGF	progeny_other					0.434149489524458	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_WNT_z	0.0541670730715397	0.0356375605445737	1.51994334751926	0.12852521467776	214	95	FALSE	iteration limit reached	0.000500465375807835	1	progeny_WNT	progeny_other					0.231345386419969	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_WNT_z	0.0196805206273832	0.0543731374844515	0.361953007273326	0.717387147534111	214	95	FALSE				progeny_WNT	progeny_other					0.807060540975875	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	progeny_p53_z	0.0561974760549141	0.0493052640029828	1.13978653580507	0.254375244456027	214	95	FALSE		0.000404819502364262	0	progeny_p53	progeny_other					0.327053885729177	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	progeny_p53_z	0.051215430769097	0.0487666144497232	1.05021501588753	0.293619267285968	214	95	FALSE				progeny_p53	progeny_other					0.434149489524458	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	tf_FOS_z	-0.0845379299246513	0.0590126383793237	-1.43253940590243	0.151989508972274	214	95	FALSE		0.000433489049100899	0	tf_FOS	tf					0.404101126944804	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	tf_FOS_z	-0.0806820593060126	0.0644755492224589	-1.2513590078564	0.210803525832426	214	95	FALSE				tf_FOS	tf					0.567251161437757	at1r_vs_agtr1_count.tsv																	
pseudobulk	NB GLMM	primary	tf_JUN_z	-0.0456590673428168	0.0655974989092	-0.696048905858714	0.486398202783198	214	95	FALSE		0.000113047917693621	0	tf_JUN	tf					0.486398202783198	at1r_vs_agtr1_count.tsv																	
pseudobulk	binomial GLMM	detection	tf_JUN_z	-0.035625467926227	0.0620419323581855	-0.574215962851562	0.565821668580366	214	95	FALSE				tf_JUN	tf					0.604281576153344	at1r_vs_agtr1_count.tsv																	
