panel_set	program	gene	n_state_programs	state_programs	multi_panel	program_rationale	gene_category	detect_frac	mean_expr	detected_in_object	n_cells_object
bm_subpanel	bm_collagen_iv	COL4A1	2	basement_membrane; fibroblast_like	True		collagen IV	0.7939212328767123	2.0454920938570207	True	11680
bm_subpanel	bm_collagen_iv	COL4A2	1	basement_membrane	False		collagen IV	0.8103595890410958	2.0786228127675512	True	11680
bm_subpanel	bm_laminin	LAMA3	1	basement_membrane	False		laminin	0.015839041095890412	0.029683066067630298	True	11680
bm_subpanel	bm_laminin	LAMA4	1	basement_membrane	False		laminin	0.31215753424657533	0.6645114428376498	True	11680
bm_subpanel	bm_laminin	LAMA5	1	basement_membrane	False		laminin	0.0663527397260274	0.1309100634431186	True	11680
bm_subpanel	bm_laminin	LAMB1	1	basement_membrane	False		laminin	0.5961472602739726	1.4325700315710617	True	11680
bm_subpanel	bm_laminin	LAMB2	1	basement_membrane	False		laminin	0.14272260273972603	0.2870428843040989	True	11680
bm_subpanel	bm_laminin	LAMC1	1	basement_membrane	False		laminin	0.22294520547945204	0.4549435550219392	True	11680
bm_subpanel	bm_linker	AGRN	1	basement_membrane	False		linker/proteoglycan	0.06926369863013698	0.13686152418998823	True	11680
bm_subpanel	bm_linker	COL18A1	1	basement_membrane	False		collagen XVIII (BM-associated)	0.5262842465753425	1.204858231217894	True	11680
bm_subpanel	bm_linker	HSPG2	1	basement_membrane	False		linker/proteoglycan	0.13964041095890412	0.2828697936175621	True	11680
bm_subpanel	bm_linker	NID1	1	basement_membrane	False		linker/proteoglycan	0.577054794520548	1.346885367615582	True	11680
bm_subpanel	bm_linker	NID2	1	basement_membrane	False		linker/proteoglycan	0.09700342465753424	0.19194799971907106	True	11680
contrast_panel	fibrillar_ecm	BGN	0		False			0.7889554794520548	2.107174724422089	True	11680
contrast_panel	fibrillar_ecm	COL1A1	1	fibroblast_like	False			0.14726027397260275	0.3242454215271832	True	11680
contrast_panel	fibrillar_ecm	COL1A2	1	fibroblast_like	False			0.5835616438356165	1.41611328125	True	11680
contrast_panel	fibrillar_ecm	COL3A1	1	fibroblast_like	False			0.2661815068493151	0.6192289587569564	True	11680
contrast_panel	fibrillar_ecm	COL5A1	0		False			0.14871575342465754	0.3004575964522688	True	11680
contrast_panel	fibrillar_ecm	DCN	1	fibroblast_like	False			0.6856164383561644	1.7240612291309931	True	11680
contrast_panel	fibrillar_ecm	FBN1	0		False			0.15607876712328766	0.31004968930597177	True	11680
contrast_panel	fibrillar_ecm	FN1	1	fibroblast_like	False			0.2573630136986301	0.5474557118873074	True	11680
contrast_panel	fibrillar_ecm	LUM	1	fibroblast_like	False			0.23227739726027397	0.5119534845221533	True	11680
contrast_panel	fibrillar_ecm	POSTN	1	activated_migratory	False			0.032363013698630136	0.06693785680483465	True	11680
contrast_panel	fibroblast_like_noCOL4A1	COL1A1	1	fibroblast_like	False			0.14726027397260275	0.3242454215271832	True	11680
contrast_panel	fibroblast_like_noCOL4A1	COL1A2	1	fibroblast_like	False			0.5835616438356165	1.41611328125	True	11680
contrast_panel	fibroblast_like_noCOL4A1	COL3A1	1	fibroblast_like	False			0.2661815068493151	0.6192289587569564	True	11680
contrast_panel	fibroblast_like_noCOL4A1	DCN	1	fibroblast_like	False			0.6856164383561644	1.7240612291309931	True	11680
contrast_panel	fibroblast_like_noCOL4A1	FBLN1	1	fibroblast_like	False			0.125	0.2573561576947774	True	11680
contrast_panel	fibroblast_like_noCOL4A1	FN1	1	fibroblast_like	False			0.2573630136986301	0.5474557118873074	True	11680
contrast_panel	fibroblast_like_noCOL4A1	LUM	1	fibroblast_like	False			0.23227739726027397	0.5119534845221533	True	11680
contrast_panel	fibroblast_like_noCOL4A1	PDGFA	1	fibroblast_like	False			0.13792808219178082	0.2774831693466396	True	11680
extra	receptor/control genes	ACTA2	1	synthetic_contractile	False			0.5741438356164383	1.4330823924443492	True	11680
extra	receptor/control genes	AGTR1	0		False			0.3742294520547945	0.8098208074700343	True	11680
