nP	block	pattern	program	score	rho	n_markers	panel_size	overlap	jaccard	hypergeometric_p	hypergeometric_p_BH
5	PatternMarker x panel overlap	Pattern_1	vascular_stabilizing			50	11	0	0	1	1
5	PatternMarker x panel overlap	Pattern_1	inflammatory			50	16	0	0	1	1
5	PatternMarker x panel overlap	Pattern_1	synthetic_contractile			50	8	0	0	1	1
5	PatternMarker x panel overlap	Pattern_1	activated_migratory			50	7	0	0	1	1
5	PatternMarker x panel overlap	Pattern_1	fibroblast_like			50	9	0	0	1	1
5	PatternMarker x panel overlap	Pattern_2	vascular_stabilizing			50	11	1	0.0166666666666667	0.239606499381273	0.855737497790262
5	PatternMarker x panel overlap	Pattern_2	inflammatory			50	16	1	0.0153846153846154	0.328959502089049	0.913776394691802
5	PatternMarker x panel overlap	Pattern_2	synthetic_contractile			50	8	1	0.0175438596491228	0.180503392580465	0.836200158680869
5	PatternMarker x panel overlap	Pattern_2	activated_migratory			50	7	0	0	1	1
5	PatternMarker x panel overlap	Pattern_2	fibroblast_like			50	9	0	0	1	1
5	PatternMarker x panel overlap	Pattern_3	vascular_stabilizing			50	11	4	0.0701754385964912	9.33335201951106e-05	0.00116666900243888
5	PatternMarker x panel overlap	Pattern_3	inflammatory			50	16	2	0.03125	0.0568700959416789	0.473917466180658
5	PatternMarker x panel overlap	Pattern_3	synthetic_contractile			50	8	4	0.0740740740740741	2.09105602266621e-05	0.000522764005666552
5	PatternMarker x panel overlap	Pattern_3	activated_migratory			50	7	1	0.0178571428571429	0.159819480227624	0.836200158680869
5	PatternMarker x panel overlap	Pattern_3	fibroblast_like			50	9	1	0.0172413793103448	0.200688038083409	0.836200158680869
5	PatternMarker x panel overlap	Pattern_4	vascular_stabilizing			50	11	0	0	1	1
5	PatternMarker x panel overlap	Pattern_4	inflammatory			50	16	1	0.0153846153846154	0.328959502089049	0.913776394691802
5	PatternMarker x panel overlap	Pattern_4	synthetic_contractile			50	8	0	0	1	1
5	PatternMarker x panel overlap	Pattern_4	activated_migratory			50	7	0	0	1	1
5	PatternMarker x panel overlap	Pattern_4	fibroblast_like			50	9	0	0	1	1
5	PatternMarker x panel overlap	Pattern_5	vascular_stabilizing			50	11	0	0	1	1
5	PatternMarker x panel overlap	Pattern_5	inflammatory			50	16	0	0	1	1
5	PatternMarker x panel overlap	Pattern_5	synthetic_contractile			50	8	0	0	1	1
5	PatternMarker x panel overlap	Pattern_5	activated_migratory			50	7	0	0	1	1
5	PatternMarker x panel overlap	Pattern_5	fibroblast_like			50	9	0	0	1	1
5	pattern vs AGTR1 (Spearman)	Pattern_1		AGTR1	0.148698819677797						
5	pattern vs AGTR1 (Spearman)	Pattern_2		AGTR1	0.0138661575059924						
5	pattern vs AGTR1 (Spearman)	Pattern_3		AGTR1	0.198644709650515						
5	pattern vs AGTR1 (Spearman)	Pattern_4		AGTR1	0.0436807341279149						
5	pattern vs AGTR1 (Spearman)	Pattern_5		AGTR1	-0.104958270616952						
