analysis	level	feature	method	estimate	ci_lower	ci_upper	p_value	p_BH	n	partial_estimate	partial_p	spearman_rho	spearman_p	p_formatted
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_minor	Spearman (median of donors)	0.0662966389145853			0.000698766723847156	0.0016304556889767	69					 6.99e-04
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_tracer	Spearman (median of donors)	0.20262443438914			1.13214038897189e-09	7.92498272280324e-09	69					 1.13e-09
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_tgfb	Spearman (median of donors)	-0.130795547023578			0.000319043401406754	0.00111665190492364	69					 3.19e-04
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_switch	Spearman (median of donors)	0.0241404000581492			0.0408746146350267	0.06131192195254	69					 4.09e-02
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_switch_core	Spearman (median of donors)	0.00363860622880049			0.526232036387315	0.561943079848938	69					 5.26e-01
BM score vs continuum (per-donor rho, Wilcoxon)	donor	rho_switch_collagen	Spearman (median of donors)	0.0495364650085583			0.0906380015602742	0.15861650273048	69					 9.06e-02
AGTR1 vs airspace within subcluster	donor	subcluster 0	Spearman	-0.0964099548185451			0.559318689390945	0.683611731477822	39					 5.59e-01
AGTR1 vs airspace within subcluster	donor	subcluster 1	Spearman	0.0648227017423892			0.729004107543419	0.801904518297761	31					 7.29e-01
AGTR1 vs airspace within subcluster	donor	subcluster 2	Spearman	0.333947207395404			0.51770020830544	0.683611731477822	6					 5.18e-01
AGTR1 vs airspace within subcluster	donor	subcluster 3	Spearman	0.0230574406563316			0.934993617768415	0.934993617768415	15					 9.35e-01
BM vs contrast panel (cell level)	cell	basement_membrane vs fibroblast_like	Pearson	0.136982299937949	0.119142561380249	0.154733620595369	4.94972703253977e-50	2.72234986789688e-49	11680					<2.2e-16
BM vs contrast panel (cell level)	cell	basement_membrane vs fibroblast_like_noCOL4A1	Pearson	-0.0153341814201213	-0.0334605973292518	0.00280231907692184	0.0974897335710681	0.178731178213625	11680					 9.75e-02
BM vs contrast panel (cell level)	cell	basement_membrane vs fibrillar_ecm	Pearson	0.00549999988651014	-0.0126369817898321	0.0236333637241233	0.552279291242629	0.683611731477822	11680					 5.52e-01
BM vs contrast panel (cell level)	cell	basement_membrane vs vascular_stabilizing	Pearson	-0.197615935094178	-0.214981183600002	-0.180125768002981	3.59752125721009e-103	3.9572733829311e-102	11680					<2.2e-16
