from	to	family	given	partial_rho	p_value	n_donors	p_BH	arm	boot_lo	boot_hi	lodo_min	lodo_max	lodo_sign_consistency	n_lodo	n_datasets_lodo	source_table	child	parent	estimate	SE	model	node	label	cell_type	gene	node_class	x	y	detect	emmean	rank_in_gene	edge_class	edge_sign	drawn	quantity	value	kind	evidence_panel	stat_kind	p_kind	measured_sign	note	show_in_panel	id	text
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.0960053594809377	0.393886563752382	82	0.65647760625397	primary	-0.295891166444332	0.11643279410156	-0.173467743056007	-0.00689028250927309	1	24	24	ras_network_edges.tsv																													
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.0897991602582714	0.42530969525075	82	0.708849492084583	_disease_adj							24	ras_network_edges.tsv																													
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.20308213839886	0.234865770836616	37	0.58716442709154	_healthy							24	ras_network_edges.tsv																													
AGT_source_index	Peri_AGTR1	forbidden		-0.159478224279402	0.118684084658947	97	0.593420423294734	primary	-0.350454450916194	0.0368178290946327	-0.213074066836037	-0.107421563943303	1	24	24	ras_network_edges.tsv																													
AGT_source_index	Peri_AGTR1	forbidden		-0.149537134441405	0.143765589931989	97	0.708849492084583	_disease_adj							24	ras_network_edges.tsv																													
AGT_source_index	Peri_AGTR1	forbidden		-0.21232256115977	0.17165383551244	43	0.58716442709154	_healthy							24	ras_network_edges.tsv																													
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.286830136109818	0.0120011382051519	79	0.0200018970085864	primary	0.0619740361706073	0.500678638317044	0.158323426033052	0.339627044478061	1	24	24	ras_network_edges.tsv																													
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.262755214122109	0.0218401748668908	79	0.0436803497337816	_disease_adj							24	ras_network_edges.tsv																													
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.444278574537307	0.00959168733274183	36	0.0319722911091395	_healthy							24	ras_network_edges.tsv																													
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.234695830485304	0.0412786374657149	76	0.0825572749314297	primary	0.00728063008501935	0.443172497786352	0.122533114478757	0.303067765567766	1	24	24	ras_network_edges.tsv																													
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.191196172248804	0.098028647771826	76	0.196057295543652	_disease_adj							24	ras_network_edges.tsv																													
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0224598930481283	0.899668822912894	34	0.960598978739719	_healthy							24	ras_network_edges.tsv																													
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0615633264766383	0.580340436798814	83	0.644822707554238	primary	-0.16455129770006	0.278765416797135	0.0197843413033286	0.10210027100271	1	24	24	ras_network_edges.tsv																													
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0118592838251963	0.915258335440971	83	0.915258335440971	_disease_adj							24	ras_network_edges.tsv																													
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.280487804878049	0.0795863458921433	40	0.247374604841259	_healthy							24	ras_network_edges.tsv																													
