gene	stat	value
ARHGAP29	slope_AT1	-0.144640137562353
ARHGAP29	slope_AT2	-0.180996221961917
ARHGAP29	slope_EC_aerocyte	-0.029324599142444
ARHGAP29	slope_EC_gcap	-0.092330113086761
ARHGAP29	contrast_EC_aerocyte - EC_gcap	0.0630055139443171
ARHGAP29	contrast_epithelial - endothelial	-0.101990823647532
ARHGAP29	lrt_chisq	1.21314907893816
ARHGAP6	slope_AT1	-0.074834063927812
ARHGAP6	slope_AT2	-0.163728462259156
ARHGAP6	slope_EC_aerocyte	0.107666341245716
ARHGAP6	slope_EC_gcap	0.0503857459730579
ARHGAP6	contrast_EC_aerocyte - EC_gcap	0.0572805952726578
ARHGAP6	contrast_epithelial - endothelial	-0.198307306702871
ARHGAP6	lrt_chisq	4.1464336428885
ARHGEF12	slope_AT1	-0.162998449934017
ARHGEF12	slope_AT2	-0.260264850374613
ARHGEF12	slope_EC_aerocyte	-0.00475818205894574
ARHGEF12	slope_EC_gcap	0.0206320412731174
ARHGEF12	contrast_EC_aerocyte - EC_gcap	-0.0253902233320631
ARHGEF12	contrast_epithelial - endothelial	-0.219568579761401
ARHGEF12	lrt_chisq	4.96819043396897
ARHGEF17	slope_AT1	-0.153182000013283
ARHGEF17	slope_AT2	-0.0230124612176261
ARHGEF17	slope_EC_aerocyte	-0.100080214337799
ARHGEF17	slope_EC_gcap	-0.0965210283638241
ARHGEF17	contrast_EC_aerocyte - EC_gcap	-0.00355918597397493
ARHGEF17	contrast_epithelial - endothelial	0.0102033907353571
ARHGEF17	lrt_chisq	0.794624671947872
ARPC3	slope_AT1	0.0772887754895355
ARPC3	slope_AT2	0.0946344525824003
ARPC3	slope_EC_aerocyte	-0.16542655654368
ARPC3	slope_EC_gcap	-0.119213679353892
ARPC3	contrast_EC_aerocyte - EC_gcap	-0.046212877189788
ARPC3	contrast_epithelial - endothelial	0.228281731984754
ARPC3	lrt_chisq	4.93032383270599
ASAH1	slope_AT1	-0.00504302485161294
ASAH1	slope_AT2	0.165218962083411
ASAH1	slope_EC_aerocyte	-0.0269036509699112
ASAH1	slope_EC_gcap	-0.0289125343810217
ASAH1	contrast_EC_aerocyte - EC_gcap	0.00200888341111042
ASAH1	contrast_epithelial - endothelial	0.107996061291365
ASAH1	lrt_chisq	2.40953119915389
ASAP1	slope_AT1	-0.0230675886981875
ASAP1	slope_AT2	-0.00318337083227479
ASAP1	slope_EC_aerocyte	-0.126781023445535
ASAP1	slope_EC_gcap	-0.113813254149742
ASAP1	contrast_EC_aerocyte - EC_gcap	-0.0129677692957933
ASAP1	contrast_epithelial - endothelial	0.107171659032407
ASAP1	lrt_chisq	1.08556274936018
ATP1B3	slope_AT1	0.188977964170927
ATP1B3	slope_AT2	0.203801589949071
ATP1B3	slope_EC_aerocyte	-0.150595440097237
ATP1B3	slope_EC_gcap	-0.0756896035152737
ATP1B3	contrast_EC_aerocyte - EC_gcap	-0.0749058365819637
ATP1B3	contrast_epithelial - endothelial	0.309532298866254
ATP1B3	lrt_chisq	9.18957037849725
ATP5F1B	slope_AT1	-0.116096166829524
