pericyte_state	emmean	SE	df	lower.CL	upper.CL	n_donors	n_units	score	small_group
0	0.435031283191253	0.132599340364097	34.6110835928365	0.165732140281658	0.704330426100848	64	64	at1r_response_score	FALSE
1	-0.548617424468071	0.111473666936901	23.3093873684047	-0.779049026765399	-0.318185822170743	67	67	at1r_response_score	FALSE
2	-0.0522822833196043	0.124719375174671	52.8573358217355	-0.302453432850995	0.197888866211787	45	45	at1r_response_score	FALSE
3	0.29322885854568	0.163489890751994	121.143831701116	-0.0304386214595936	0.616896338550954	21	21	at1r_response_score	FALSE
4	0.0237037219507414	0.196027063380999	140.363199912161	-0.363843570559588	0.411251014461071	13	13	at1r_response_score	TRUE
5	0.746809450014017	0.335289256410077	142.313908899867	0.0840185259598614	1.40960037406817	4	4	at1r_response_score	TRUE
0	0.191771953298738	0.144358014245988	33.817534860469	-0.10165714446017	0.485201051057646	64	64	at1r_legacy_curated_score	FALSE
1	-0.272029127975923	0.121520503008888	21.855672235227	-0.524143753117014	-0.0199145028348325	67	67	at1r_legacy_curated_score	FALSE
2	-0.23707222784911	0.134590688077632	46.6920350635152	-0.507880917388124	0.0337364616899042	45	45	at1r_legacy_curated_score	FALSE
3	-0.190001657449116	0.17392681613132	108.464101407072	-0.534738069627465	0.154734754729232	21	21	at1r_legacy_curated_score	FALSE
4	0.669116489402472	0.206649013678052	131.039313014172	0.260316589746926	1.07791638905802	13	13	at1r_legacy_curated_score	TRUE
5	1.24243922771904	0.349663858942459	138.925096922977	0.551088361615753	1.93379009382232	4	4	at1r_legacy_curated_score	TRUE
