score	family	kind	n_donors	median_rho	q25	q75	p_wilcox	p_BH	null_mean	null_sd	p_emp
at1r_response_score	signature	raw	69	-0.188595400671984	-0.272797118847539	-0.0750984864192411	3.05758359715581e-10	3.05758359715581e-10	-0.170434910615329	0.0107813487367328	0.0696517412935323
at1r_response_score	signature	partial	69	-0.0990919528232961	-0.242001049556288	-0.0214550619427129	1.29600790173936e-07	1.29600790173936e-07	NA	NA	NA
at1r_legacy_curated_score	legacy_curated	raw	69	-0.132190624594209	-0.220694954324255	-0.0468845760980593	4.3672793838011e-07	4.3672793838011e-07	NA	NA	NA
at1r_legacy_curated_score	legacy_curated	partial	69	-0.0292362872889511	-0.147236484445787	0.0773574251835121	0.0728636364189179	0.0728636364189179	NA	NA	NA
progeny_Androgen	progeny_other	raw	69	-0.129120879120879	-0.241389049861455	-0.0429183798442831	8.17989532509371e-08	2.45396859752811e-07	NA	NA	NA
progeny_Androgen	progeny_other	partial	69	0.0252531056883647	-0.0495726495726496	0.116452300165707	0.0484896050945967	0.0962250575065785	NA	NA	NA
progeny_EGFR	progeny_prespecified	raw	69	0.00615439442951916	-0.104330329804916	0.149112285962282	0.369803259444949	0.369803259444949	NA	NA	NA
progeny_EGFR	progeny_prespecified	partial	69	-0.0547235023041475	-0.150656660412758	0.0567164179104478	0.0295301107206551	0.0492168512010919	NA	NA	NA
progeny_Estrogen	progeny_other	raw	69	0.0634782608695652	-0.0163339382940109	0.14544930875576	0.000501887928347464	0.000645284479303882	NA	NA	NA
progeny_Estrogen	progeny_other	partial	69	-0.000562851782363978	-0.0822163408178946	0.0511546424589903	0.649540278301062	0.675562403091685	NA	NA	NA
progeny_Hypoxia	progeny_other	raw	69	-0.132170657308128	-0.220760590264418	-0.0662012452244753	2.04380693769071e-08	9.1971312196082e-08	NA	NA	NA
progeny_Hypoxia	progeny_other	partial	69	-0.0147303344912728	-0.104312668463612	0.0695564516129032	0.184400838203209	0.276601257304814	NA	NA	NA
progeny_JAK-STAT	progeny_prespecified	raw	69	-0.197159141774343	-0.300102040816327	-0.0634495938843765	9.1505008292285e-09	4.57525041461425e-08	NA	NA	NA
progeny_JAK-STAT	progeny_prespecified	partial	69	-0.0550590918515447	-0.159130434782609	0.0389312180356957	0.0137654733967278	0.0344136834918194	NA	NA	NA
progeny_MAPK	progeny_prespecified	raw	69	0.128506892474662	0.0169436832973358	0.223838325652842	6.92872515752853e-08	1.73218128938213e-07	NA	NA	NA
progeny_MAPK	progeny_prespecified	partial	69	0.0638148667601683	-0.0183284457478006	0.210111348505509	4.78918927072086e-05	0.000239459463536043	NA	NA	NA
progeny_NFkB	progeny_prespecified	raw	69	-0.109903602214021	-0.228328439809659	0.0206444144317963	6.83440327051917e-05	8.54300408814896e-05	NA	NA	NA
progeny_NFkB	progeny_prespecified	partial	69	-0.0509967644296003	-0.15187969924812	0.073542736333434	0.0989042474225204	0.12363030927815	NA	NA	NA
progeny_PI3K	progeny_other	raw	69	0.176169200573787	0.0388706396248983	0.301260631250355	1.51903099706345e-10	1.36712789735711e-09	NA	NA	NA
progeny_PI3K	progeny_other	partial	69	0.115758438536525	0.0250865563208478	0.214419424850787	6.41524166453644e-09	5.7737174980828e-08	NA	NA	NA
progeny_TGFb	progeny_prespecified	raw	69	-0.137757170365866	-0.208160372582768	-0.0604127579737336	2.17472506691057e-07	3.62454177818428e-07	NA	NA	NA
progeny_TGFb	progeny_prespecified	partial	69	0.0202420767638159	-0.117771701982228	0.100365208946745	0.32681608330075	0.32681608330075	NA	NA	NA
progeny_TNFa	progeny_other	raw	69	-0.142857142857143	-0.252565982404692	0.00642533936651584	1.1411068079755e-05	2.05399225435589e-05	NA	NA	NA
progeny_TNFa	progeny_other	partial	69	-0.0602396990639489	-0.141658154579503	0.0817018802093429	0.0534583652814325	0.0962250575065785	NA	NA	NA
progeny_Trail	progeny_other	raw	69	0.0231064795388469	-0.0442826716862668	0.152857142857143	0.0512791251664541	0.0576890158122608	NA	NA	NA
