from	to	family	given	partial_rho	p_value	n_donors	p_BH	arm	boot_lo	boot_hi	lodo_min	lodo_max	lodo_sign_consistency	n_lodo	n_datasets_lodo
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.0960053594809377	0.393886563752382	82	0.65647760625397	primary	-0.295891166444332	0.11643279410156	-0.173467743056007	-0.00689028250927309	1	24	24
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.0897991602582714	0.42530969525075	82	0.708849492084583	_disease_adj	NA	NA	NA	NA	NA	NA	24
AGT_source_index	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.20308213839886	0.234865770836616	37	0.58716442709154	_healthy	NA	NA	NA	NA	NA	NA	24
AGT_source_index	Peri_AGTR1	forbidden		-0.159478224279402	0.118684084658947	97	0.593420423294734	primary	-0.350454450916194	0.0368178290946327	-0.213074066836037	-0.107421563943303	1	24	24
AGT_source_index	Peri_AGTR1	forbidden		-0.149537134441405	0.143765589931989	97	0.708849492084583	_disease_adj	NA	NA	NA	NA	NA	NA	24
AGT_source_index	Peri_AGTR1	forbidden		-0.21232256115977	0.17165383551244	43	0.58716442709154	_healthy	NA	NA	NA	NA	NA	NA	24
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.286830136109818	0.0120011382051519	79	0.0200018970085864	primary	0.0619740361706073	0.500678638317044	0.158323426033052	0.339627044478061	1	24	24
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.262755214122109	0.0218401748668908	79	0.0436803497337816	_disease_adj	NA	NA	NA	NA	NA	NA	24
AGT_source_index	Peri_AT1R_response	allowed	processing_index+Peri_AGTR1+Peri_ACE2	0.444278574537307	0.00959168733274183	36	0.0319722911091395	_healthy	NA	NA	NA	NA	NA	NA	24
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.234695830485304	0.0412786374657149	76	0.0825572749314297	primary	0.00728063008501935	0.443172497786352	0.122533114478757	0.303067765567766	1	24	24
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.191196172248804	0.098028647771826	76	0.196057295543652	_disease_adj	NA	NA	NA	NA	NA	NA	24
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0224598930481283	0.899668822912894	34	0.960598978739719	_healthy	NA	NA	NA	NA	NA	NA	24
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0615633264766383	0.580340436798814	83	0.644822707554238	primary	-0.16455129770006	0.278765416797135	0.0197843413033286	0.10210027100271	1	24	24
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.0118592838251963	0.915258335440971	83	0.915258335440971	_disease_adj	NA	NA	NA	NA	NA	NA	24
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive		0.280487804878049	0.0795863458921433	40	0.247374604841259	_healthy	NA	NA	NA	NA	NA	NA	24
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive		0.343226564795768	0.00149007769496465	83	0.0149007769496465	primary	0.142527159237751	0.532839950529883	0.275513959724486	0.396244131455399	1	24	24
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive		0.253641744679065	0.0206832822537512	83	0.140078682486149	_disease_adj	NA	NA	NA	NA	NA	NA	24
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive		0.258781048254732	0.11669404425216	38	0.247374604841259	_healthy	NA	NA	NA	NA	NA	NA	24
BM_minus_FIB	EC_readout	allowed	Peri_AT1R_response	0.139270172201877	0.209225092945138	84	0.232472325494598	primary	-0.0796137862896952	0.352551894618807	0.0939372811899965	0.193244465003243	1	24	24
BM_minus_FIB	EC_readout	allowed	Peri_AT1R_response	0.143744472895081	0.194817602904275	84	0.216464003226972	_disease_adj	NA	NA	NA	NA	NA	NA	24
BM_minus_FIB	EC_readout	allowed	Peri_AT1R_response	0.114188540730474	0.477157154485751	42	0.596446443107189	_healthy	NA	NA	NA	NA	NA	NA	24
ECaero_ACE	Peri_AT1R_response	marginal_descriptive		0.256267942583732	0.0254486593907908	76	0.063621648476977	primary	0.0303068370906045	0.483720818587556	0.197165602309509	0.315897815623843	1	24	24
ECaero_ACE	Peri_AT1R_response	marginal_descriptive		0.149145591250854	0.198485683583311	76	0.330809472638852	_disease_adj	NA	NA	NA	NA	NA	NA	24
ECaero_ACE	Peri_AT1R_response	marginal_descriptive		0.00919324577861163	0.95510234375753	40	0.960598978739719	_healthy	NA	NA	NA	NA	NA	NA	24
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive		0.299058418548142	0.00572042615256444	84	0.0234526577579811	primary	0.0960741479844241	0.498417762209013	0.241113317062684	0.355492430426312	1	24	24
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive		0.22239546420978	0.0420236047458446	84	0.140078682486149	_disease_adj	NA	NA	NA	NA	NA	NA	24
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive		0.124058017988818	0.4337706979966	42	0.722951163327666	_healthy	NA	NA	NA	NA	NA	NA	24
IntMac_ACE	Peri_AT1R_response	marginal_descriptive		0.190093872352469	0.0795873971042847	86	0.132645661840474	primary	-0.0491724475118102	0.413593816642458	0.15715676728335	0.236010243062844	1	24	24
IntMac_ACE	Peri_AT1R_response	marginal_descriptive		0.0634841266097457	0.56144337846047	86	0.701804223075587	_disease_adj	NA	NA	NA	NA	NA	NA	24
IntMac_ACE	Peri_AT1R_response	marginal_descriptive		-0.0628517823639775	0.700025623198062	40	0.960598978739719	_healthy	NA	NA	NA	NA	NA	NA	24
Mast_CMA1	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.119890786023915	0.341466106562046	66	0.65647760625397	primary	-0.369154664876113	0.173774417274391	-0.175528020016613	-0.073985770383204	1	24	24
Mast_CMA1	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.0422819732823972	0.738060053035824	66	0.887933447759296	_disease_adj	NA	NA	NA	NA	NA	NA	24
Mast_CMA1	BM_minus_FIB	forbidden	Peri_AT1R_response	-0.157417698274297	0.389544881477377	33	0.649241469128962	_healthy	NA	NA	NA	NA	NA	NA	24
Mast_CMA1	Peri_AT1R_response	marginal_descriptive		0.190481160630414	0.125529057897711	66	0.179327225568158	primary	-0.0561097395628618	0.404788262283543	0.145317840054682	0.253607312835235	1	24	24
Mast_CMA1	Peri_AT1R_response	marginal_descriptive		0.145433670806805	0.243961864155723	66	0.34851694879389	_disease_adj	NA	NA	NA	NA	NA	NA	24
Mast_CMA1	Peri_AT1R_response	marginal_descriptive		0.273395721925134	0.12368730242063	33	0.247374604841259	_healthy	NA	NA	NA	NA	NA	NA	24
Mast_CTSG	Peri_AT1R_response	marginal_descriptive		0.32875482726229	0.00703579732739433	66	0.0234526577579811	primary	0.0851120567039335	0.517109071072709	0.255160628844839	0.408073329807862	1	24	24
Mast_CTSG	Peri_AT1R_response	marginal_descriptive		0.257697526354243	0.0367106710834807	66	0.140078682486149	_disease_adj	NA	NA	NA	NA	NA	NA	24
Mast_CTSG	Peri_AT1R_response	marginal_descriptive		0.320855614973262	0.0686707217515798	33	0.247374604841259	_healthy	NA	NA	NA	NA	NA	NA	24
Peri_ACE2	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_AGTR1	0.298612422949791	0.00878855346016584	79	0.0175771069203317	primary	0.0871588648486307	0.48200800744664	0.227494916297478	0.349256157024859	1	24	24
Peri_ACE2	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_AGTR1	0.246713447799886	0.0316754336676991	79	0.0452506195252844	_disease_adj	NA	NA	NA	NA	NA	NA	24
Peri_ACE2	Peri_AT1R_response	allowed	AGT_source_index+processing_index+Peri_AGTR1	0.337135905958284	0.055032910090723	36	0.110065820181446	_healthy	NA	NA	NA	NA	NA	NA	24
