level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	score	family	null_mean	null_sd	n_null	p_emp	p_BH
pseudobulk	NB GLMM	primary	at1r_response_score_z	-0.0733858992205809	0.0587646006807281	-1.24881133149005	0.211734088412132	214	95	FALSE		0.000624158928985708	0	at1r_response_score	signature	0.082715358251079	0.0159534142490053	1000	0.000999000999000999	0.211734088412132
pseudobulk	binomial GLMM	detection	at1r_response_score_z	-0.068562459833542	0.0558460530627809	-1.22770466440064	0.219557854827622	214	95	FALSE		NA	NA	at1r_response_score	signature	NA	NA	NA	NA	0.219557854827622
pseudobulk	NB GLMM	primary	at1r_legacy_curated_score_z	-0.176226166892463	0.0369593326468826	-4.76811008943711	1.85962162688103e-06	214	95	FALSE	iteration limit reached	0.000271533053819439	1	at1r_legacy_curated_score	legacy_curated	NA	NA	NA	NA	1.85962162688103e-06
pseudobulk	binomial GLMM	detection	at1r_legacy_curated_score_z	-0.1259084191212	0.0559997043512227	-2.24837649733861	0.0245521925433495	214	95	FALSE		NA	NA	at1r_legacy_curated_score	legacy_curated	NA	NA	NA	NA	0.0245521925433495
pseudobulk	NB GLMM	primary	progeny_Androgen_z	0.201903032056709	0.0632841555192183	3.19041994635441	0.00142066193422654	214	95	FALSE		0.000402836803914397	0	progeny_Androgen	progeny_other	NA	NA	NA	NA	0.00639297870401941
pseudobulk	binomial GLMM	detection	progeny_Androgen_z	0.220735390998356	0.0702182874574256	3.14355987579718	0.00166906265785184	214	95	FALSE		NA	NA	progeny_Androgen	progeny_other	NA	NA	NA	NA	0.0075107819603333
pseudobulk	NB GLMM	primary	progeny_EGFR_z	-0.101844270116568	0.051689241426519	-1.97031852868936	0.0488018762108299	214	95	FALSE		0.00045547608351626	0	progeny_EGFR	progeny_prespecified	NA	NA	NA	NA	0.0976037524216599
pseudobulk	binomial GLMM	detection	progeny_EGFR_z	-0.105138561886465	0.0566453896777649	-1.85608330147537	0.0634416854993876	214	95	FALSE		NA	NA	progeny_EGFR	progeny_prespecified	NA	NA	NA	NA	0.25376674199755
pseudobulk	NB GLMM	primary	progeny_Estrogen_z	-0.286528693098531	0.0405400399603139	-7.06779503372528	1.57414819002787e-12	214	95	FALSE	iteration limit reached	0.000494781033921754	1	progeny_Estrogen	progeny_other	NA	NA	NA	NA	1.41673337102508e-11
pseudobulk	binomial GLMM	detection	progeny_Estrogen_z	-0.38309331246498	0.0556851028043564	-6.87963733874996	6.00051234920585e-12	214	95	FALSE		NA	NA	progeny_Estrogen	progeny_other	NA	NA	NA	NA	5.40046111428527e-11
pseudobulk	NB GLMM	primary	progeny_Hypoxia_z	0.0908561000898523	0.0580257710813606	1.56578875897158	0.117398078717265	214	95	FALSE		0.000288438286588644	0	progeny_Hypoxia	progeny_other	NA	NA	NA	NA	0.231345386419969
pseudobulk	binomial GLMM	detection	progeny_Hypoxia_z	0.0533000325511392	0.0555917723775253	0.958775557454387	0.33767182518569	214	95	FALSE		NA	NA	progeny_Hypoxia	progeny_other	NA	NA	NA	NA	0.434149489524458
pseudobulk	NB GLMM	primary	progeny_MAPK_z	-0.0755700870310404	0.052895042311112	-1.42867996184899	0.153096239732708	214	95	FALSE	Model failed to converge with max|grad| = 0.00224522 (tol = 0.002, component 1)	0.000160214312927565	1	progeny_MAPK	progeny_prespecified	NA	NA	NA	NA	0.153096239732708
pseudobulk	binomial GLMM	detection	progeny_MAPK_z	-0.0555383803831941	0.0596200197089932	-0.93153911478524	0.351574761106208	214	95	FALSE		NA	NA	progeny_MAPK	progeny_prespecified	NA	NA	NA	NA	0.351574761106208
pseudobulk	NB GLMM	primary	progeny_NFkB_z	-0.093914579404884	0.0474883798023251	-1.97763283977707	0.0479701417483563	214	95	FALSE	iteration limit reached	0.000282550445263041	1	progeny_NFkB	progeny_prespecified	NA	NA	NA	NA	0.0976037524216599
pseudobulk	binomial GLMM	detection	progeny_NFkB_z	-0.0847310613225687	0.0609339191738623	-1.39054015351952	0.164364915041114	214	95	FALSE		NA	NA	progeny_NFkB	progeny_prespecified	NA	NA	NA	NA	0.283417241960173
pseudobulk	NB GLMM	primary	progeny_PI3K_z	-0.0843198161673323	0.0532561008767819	-1.58328932796681	0.113355534228372	214	95	FALSE		0.000222495373236598	0	progeny_PI3K	progeny_other	NA	NA	NA	NA	0.231345386419969
pseudobulk	binomial GLMM	detection	progeny_PI3K_z	-0.114407780172781	0.0538664025314947	-2.12391722476526	0.03367706579996	214	95	FALSE		NA	NA	progeny_PI3K	progeny_other	NA	NA	NA	NA	0.10103119739988
pseudobulk	NB GLMM	primary	progeny_TGFb_z	-0.0749360806916483	0.0483251922192981	-1.5506628582374	0.120982499809432	214	95	FALSE	iteration limit reached	0.000242777105086134	1	progeny_TGFb	progeny_prespecified	NA	NA	NA	NA	0.153096239732708
pseudobulk	binomial GLMM	detection	progeny_TGFb_z	-0.0816861307229324	0.0655298221253925	-1.24654894631981	0.21256293147013	214	95	FALSE		NA	NA	progeny_TGFb	progeny_prespecified	NA	NA	NA	NA	0.283417241960173
pseudobulk	NB GLMM	primary	progeny_TNFa_z	-0.072689378949703	0.0515385977945409	-1.41038720609901	0.158425381056192	214	95	FALSE		0.000246729996433714	0	progeny_TNFa	progeny_other	NA	NA	NA	NA	0.237638071584287
pseudobulk	binomial GLMM	detection	progeny_TNFa_z	-0.0694931613967528	0.0615238009084712	-1.12953296725177	0.258673070515243	214	95	FALSE		NA	NA	progeny_TNFa	progeny_other	NA	NA	NA	NA	0.434149489524458
pseudobulk	NB GLMM	primary	progeny_Trail_z	-0.0484566919451172	0.0554458618931583	-0.873946049183815	0.382147635282049	214	95	FALSE		0.000221664322452853	0	progeny_Trail	progeny_other	NA	NA	NA	NA	0.429916089692305
pseudobulk	binomial GLMM	detection	progeny_Trail_z	-0.0107710637088899	0.057393646036672	-0.187669967891701	0.851135374079039	214	95	FALSE		NA	NA	progeny_Trail	progeny_other	NA	NA	NA	NA	0.851135374079039
pseudobulk	NB GLMM	primary	progeny_VEGF_z	-0.031294050358992	0.0477046857209956	-0.655995315471054	0.511827138338558	214	95	FALSE		0.000524494225828676	0	progeny_VEGF	progeny_other	NA	NA	NA	NA	0.511827138338558
pseudobulk	binomial GLMM	detection	progeny_VEGF_z	0.0600382042538027	0.0528441902189852	1.13613632842145	0.255899513049277	214	95	FALSE		NA	NA	progeny_VEGF	progeny_other	NA	NA	NA	NA	0.434149489524458
pseudobulk	NB GLMM	primary	progeny_WNT_z	0.0541670730715397	0.0356375605445737	1.51994334751926	0.12852521467776	214	95	FALSE	iteration limit reached	0.000500465375807835	1	progeny_WNT	progeny_other	NA	NA	NA	NA	0.231345386419969
pseudobulk	binomial GLMM	detection	progeny_WNT_z	0.0196805206273832	0.0543731374844515	0.361953007273326	0.717387147534111	214	95	FALSE		NA	NA	progeny_WNT	progeny_other	NA	NA	NA	NA	0.807060540975875
pseudobulk	NB GLMM	primary	progeny_p53_z	0.0561974760549141	0.0493052640029828	1.13978653580507	0.254375244456027	214	95	FALSE		0.000404819502364262	0	progeny_p53	progeny_other	NA	NA	NA	NA	0.327053885729177
pseudobulk	binomial GLMM	detection	progeny_p53_z	0.051215430769097	0.0487666144497232	1.05021501588753	0.293619267285968	214	95	FALSE		NA	NA	progeny_p53	progeny_other	NA	NA	NA	NA	0.434149489524458
pseudobulk	NB GLMM	primary	tf_FOS_z	-0.0845379299246513	0.0590126383793237	-1.43253940590243	0.151989508972274	214	95	FALSE		0.000433489049100899	0	tf_FOS	tf	NA	NA	NA	NA	0.404101126944804
pseudobulk	binomial GLMM	detection	tf_FOS_z	-0.0806820593060126	0.0644755492224589	-1.2513590078564	0.210803525832426	214	95	FALSE		NA	NA	tf_FOS	tf	NA	NA	NA	NA	0.567251161437757
pseudobulk	NB GLMM	primary	tf_JUN_z	-0.0456590673428168	0.0655974989092	-0.696048905858714	0.486398202783198	214	95	FALSE		0.000113047917693621	0	tf_JUN	tf	NA	NA	NA	NA	0.486398202783198
pseudobulk	binomial GLMM	detection	tf_JUN_z	-0.035625467926227	0.0620419323581855	-0.574215962851562	0.565821668580366	214	95	FALSE		NA	NA	tf_JUN	tf	NA	NA	NA	NA	0.604281576153344
pseudobulk	NB GLMM	primary	tf_NFKB1_z	-0.0585181994506255	0.0551485278229648	-1.06110175122857	0.288643662103431	214	95	FALSE		0.000615092403677409	0	tf_NFKB1	tf	NA	NA	NA	NA	0.404101126944804
pseudobulk	binomial GLMM	detection	tf_NFKB1_z	-0.0412277481532069	0.0657449563145053	-0.627086098528759	0.530602799032581	214	95	FALSE		NA	NA	tf_NFKB1	tf	NA	NA	NA	NA	0.604281576153344
pseudobulk	NB GLMM	primary	tf_RELA_z	-0.0727200639834701	0.0538184354717865	-1.35121103662689	0.176627840175808	214	95	FALSE	iteration limit reached	0.000571033069718396	1	tf_RELA	tf	NA	NA	NA	NA	0.404101126944804
pseudobulk	binomial GLMM	detection	tf_RELA_z	-0.0738125801239622	0.0655506333824263	-1.12603915958119	0.260148944354547	214	95	FALSE		NA	NA	tf_RELA	tf	NA	NA	NA	NA	0.567251161437757
pseudobulk	NB GLMM	primary	tf_SMAD2_z	0.150299266707206	0.0602523162605972	2.49449773942544	0.0126135529933058	214	95	FALSE		0.000140471456688829	0	tf_SMAD2	tf	NA	NA	NA	NA	0.0882948709531409
pseudobulk	binomial GLMM	detection	tf_SMAD2_z	0.0821703605495917	0.0620241808115802	1.32481170205556	0.185233612566472	214	95	FALSE		NA	NA	tf_SMAD2	tf	NA	NA	NA	NA	0.567251161437757
pseudobulk	NB GLMM	primary	tf_SMAD3_z	0.0532510033962674	0.0625236701363542	0.85169349912018	0.394384229706936	214	95	FALSE		0.000516340605827281	0	tf_SMAD3	tf	NA	NA	NA	NA	0.460114934658093
pseudobulk	binomial GLMM	detection	tf_SMAD3_z	0.0299413650329503	0.0577736159012304	0.518253264329828	0.604281576153344	214	95	FALSE		NA	NA	tf_SMAD3	tf	NA	NA	NA	NA	0.604281576153344
