panel	estimate
null_at1r_0001	0.229886614874471
null_at1r_0002	0.250488110392066
null_at1r_0003	0.226216749014934
null_at1r_0004	0.22032932382519
null_at1r_0005	0.216491510984367
null_at1r_0006	0.231143498042193
null_at1r_0007	0.249390310676023
null_at1r_0008	0.257720843556223
null_at1r_0009	0.255434079896749
null_at1r_0010	0.275432229191986
null_at1r_0011	0.242057488217152
null_at1r_0012	0.253333631123827
null_at1r_0013	0.265647055629709
null_at1r_0014	0.21815823738949
null_at1r_0015	0.276158442327907
null_at1r_0016	0.227189765232387
null_at1r_0017	0.26524914488835
null_at1r_0018	0.27376142232198
null_at1r_0019	0.257181252268827
null_at1r_0020	0.260300831274232
null_at1r_0021	0.258722174093092
null_at1r_0022	0.263626949735293
null_at1r_0023	0.255508054075054
null_at1r_0024	0.225042086544033
null_at1r_0025	0.266958724029579
null_at1r_0026	0.236172935410317
null_at1r_0027	0.23407153069352
null_at1r_0028	0.244959548631613
null_at1r_0029	0.252089654035114
null_at1r_0030	0.240113341824741
null_at1r_0031	0.260056379388666
null_at1r_0032	0.246112790274135
null_at1r_0033	0.233132520920975
null_at1r_0034	0.220651088406802
null_at1r_0035	0.27359996667076
null_at1r_0036	0.252982467579638
null_at1r_0037	0.236672448370885
null_at1r_0038	0.271120530147246
null_at1r_0039	0.273035852057055
null_at1r_0040	0.24016448968352
null_at1r_0041	0.206871567460141
null_at1r_0042	0.237769962782033
null_at1r_0043	0.255417058519922
null_at1r_0044	0.270361425385994
null_at1r_0045	0.267014865037795
null_at1r_0046	0.259219540289773
null_at1r_0047	0.237624902675799
null_at1r_0048	0.221715959811866
null_at1r_0049	0.232578521406425
null_at1r_0050	0.268309793595198
null_at1r_0051	0.283738894139416
null_at1r_0052	0.215152157148601
null_at1r_0053	0.277825451684387
null_at1r_0054	0.210364949556699
null_at1r_0055	0.219511988990392
null_at1r_0056	0.255425512073772
null_at1r_0057	0.207865167669168
null_at1r_0058	0.22528294770798
null_at1r_0059	0.244456401617034
null_at1r_0060	0.217214945016953
null_at1r_0061	0.284760918944628
null_at1r_0062	0.249892558906986
null_at1r_0063	0.27173569918146
null_at1r_0064	0.220744792730188
null_at1r_0065	0.240839147154056
null_at1r_0066	0.259196877129016
null_at1r_0067	0.213661015206704
null_at1r_0068	0.254018352307808
null_at1r_0069	0.222574933775889
null_at1r_0070	0.264923992472883
null_at1r_0071	0.252630740991992
null_at1r_0072	0.267731612658487
null_at1r_0073	0.23910821652242
null_at1r_0074	0.278690531560219
null_at1r_0075	0.228685508125369
null_at1r_0076	0.239375616485628
null_at1r_0077	0.271761040084689
null_at1r_0078	0.258504763548856
null_at1r_0079	0.229066767046433
null_at1r_0080	0.261867440045493
null_at1r_0081	0.239047046471861
null_at1r_0082	0.264946299868013
null_at1r_0083	0.242736820188942
null_at1r_0084	0.268254363445909
null_at1r_0085	0.268995717786426
null_at1r_0086	0.261404112622912
null_at1r_0087	0.232226727591504
null_at1r_0088	0.258815652846925
null_at1r_0089	0.254660414226479
null_at1r_0090	0.22493832496694
null_at1r_0091	0.223033890550591
null_at1r_0092	0.214555016127727
null_at1r_0093	0.214553659962339
null_at1r_0094	0.24996447169087
null_at1r_0095	0.231301388415966
null_at1r_0096	0.239503263177266
null_at1r_0097	0.238943867542201
null_at1r_0098	0.252980704028006
null_at1r_0099	0.260738511896576
null_at1r_0100	0.244517534169716
null_at1r_0101	0.236650083839116
null_at1r_0102	0.257190868017662
null_at1r_0103	0.255419190744351
null_at1r_0104	0.203668065549475
null_at1r_0105	0.259046442630697
