implied_independence	estimate	p.value	2.5%	97.5%	n_donors
AGT_ _||_ BM__ | P_AT	-0.129763511517634	0.261608495659301	-0.344085690335156	0.0970361652786494	78
AGT_ _||_ EC_r | P_AT	0.0691758683714309	0.551158354263265	-0.1572456790089	0.288819590955227	78
AGT_ _||_ P_AC	-0.102703398162091	0.372079605172245	-0.3181919102578	0.12263188421855	78
AGT_ _||_ P_AG	-0.165870860992482	0.147092069659527	-0.375093730861372	0.0588314911503355	78
AGT_ _||_ act_ | P_AT	-0.187542960040697	0.102546920713831	-0.395612111618068	0.0380334989158839	78
AGT_ _||_ cntr | P_AT	0.0428051410725908	0.712538548097314	-0.182941311243997	0.264338533004803	78
AGT_ _||_ infl | P_AT	-0.119377684720351	0.302144235666681	-0.334705406418434	0.107475776524907	78
AGT_ _||_ prc_	0.186471385244998	0.102257285127182	-0.0376204598296452	0.393366813751844	78
BM__ _||_ P_AC | P_AT	0.105661670627469	0.361588989365081	-0.12118687683665	0.322259322389816	78
BM__ _||_ P_AG | P_AT	0.198551812917611	0.0834520451958396	-0.026610422675691	0.405309256056892	78
BM__ _||_ act_ | P_AT	0.215493909068154	0.0596637488561341	-0.0089152257923955	0.420162034118851	78
BM__ _||_ cntr | P_AT	0.20093397459505	0.0797149972610181	-0.0241308664393631	0.407402767953776	78
BM__ _||_ infl | P_AT	0.297197462147941	0.00838600694043291	0.0784402654482794	0.49069710289754	78
BM__ _||_ prc_ | P_AT	-0.448214160741712	3.32031589493407e-05	-0.617608254427975	-0.249324071813336	78
EC_r _||_ P_AC | P_AT	-0.208992111593072	0.0680461492286583	-0.41447200302451	0.0157226968120698	78
EC_r _||_ P_AG | P_AT	-0.0686424616728598	0.554242508834373	-0.288327045237814	0.157768444105772	78
EC_r _||_ act_ | P_AT	-0.200874166804143	0.0798071728204878	-0.407350227901969	0.024193153374133	78
EC_r _||_ cntr | P_AT	0.240986488457895	0.0344611902302595	0.0179780368888781	0.442356363908239	78
EC_r _||_ infl | P_AT	-0.0114382308284728	0.921614933910023	-0.23486400242175	0.213116264305875	78
EC_r _||_ prc_ | P_AT	0.0180420658730268	0.876647437938011	-0.206797914970738	0.241102185036854	78
P_AC _||_ P_AG	-0.106609435186888	0.354037317479712	-0.321750480507703	0.118739833657363	78
P_AC _||_ act_ | P_AT	0.0813090028311114	0.48330674996151	-0.145320606435531	0.29999437311277	78
P_AC _||_ cntr | P_AT	0.081957166215194	0.479810654621473	-0.144681718135964	0.300589791871228	78
P_AC _||_ infl | P_AT	0.0656246431672444	0.571844553709635	-0.160723696589536	0.285538372541687	78
P_AC _||_ prc_	-0.0770290783407747	0.503868407443662	-0.294663896656859	0.148044044548776	78
P_AG _||_ act_ | P_AT	-0.0147245235663661	0.89919819037175	-0.237970542216798	0.209974319499626	78
P_AG _||_ cntr | P_AT	-0.0306088826778159	0.792250118889138	-0.252924686014819	0.194723694940184	78
P_AG _||_ infl | P_AT	0.0266927004217708	0.818345217027215	-0.198493532260085	0.249247232757483	78
P_AG _||_ prc_	-0.249900572759776	0.0270343558469556	-0.448838958196086	-0.0289814953151493	78
act_ _||_ cntr | P_AT	0.0403330819986248	0.728481176083409	-0.185334629403955	0.262029796804884	78
act_ _||_ infl | P_AT	0.53749148666033	2.38213096342413e-07	0.356823006018556	0.691856752568632	78
act_ _||_ prc_ | P_AT	-0.207410670320164	0.0702212927960752	-0.413086147139902	0.0173753437003095	78
cntr _||_ infl | P_AT	-0.0966991348045795	0.404030372249668	-0.314090275534838	0.130099918616608	78
cntr _||_ prc_ | P_AT	0.0894707674833827	0.440280122816869	-0.137261936181201	0.307480618147942	78
infl _||_ prc_ | P_AT	-0.135173678516649	0.242013497514523	-0.348957295521061	0.0915781963379979	78
