from	to	family	partial_rho	n_donors	dropped_dataset
AGT_source_index	BM_minus_FIB	forbidden	-0.0823806752546976	81	Duong_lungMAP_unpubl
processing_index	EC_readout	forbidden	0.0638787901697752	82	Duong_lungMAP_unpubl
Mast_CMA1	BM_minus_FIB	forbidden	-0.114632107314544	65	Duong_lungMAP_unpubl
VSMC_AGT	Peri_AGTR1	forbidden	0.0278117633016025	93	Duong_lungMAP_unpubl
AGT_source_index	Peri_AGTR1	forbidden	-0.145604991861096	96	Duong_lungMAP_unpubl
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.127619692863595	81	Duong_lungMAP_unpubl
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0559963430959611	82	Duong_lungMAP_unpubl
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.226941678520626	75	Duong_lungMAP_unpubl
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.245604551920341	75	Duong_lungMAP_unpubl
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.285105579110869	83	Duong_lungMAP_unpubl
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.331570183171711	82	Duong_lungMAP_unpubl
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.169650185655658	85	Duong_lungMAP_unpubl
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.173295454545455	65	Duong_lungMAP_unpubl
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.314816433566434	65	Duong_lungMAP_unpubl
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0369483286957134	88	Duong_lungMAP_unpubl
AGT_source_index	Peri_AT1R_response	allowed	0.286830136109818	79	Eils_2020
processing_index	Peri_AT1R_response	allowed	0.302213137598351	79	Eils_2020
Peri_AGTR1	Peri_AT1R_response	allowed	0.0170251889664171	79	Eils_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.298612422949791	79	Eils_2020
Peri_AT1R_response	contractile	allowed	0.251455257323459	86	Eils_2020
Peri_AT1R_response	inflammatory	allowed	0.248889098542384	86	Eils_2020
Peri_AT1R_response	activated_migratory	allowed	0.521939714137459	86	Eils_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.546167272041134	86	Eils_2020
BM_minus_FIB	EC_readout	allowed	0.127610578911224	81	Eils_2020
Peri_AT1R_response	EC_readout	allowed	0.308981559911386	81	Eils_2020
AGT_source_index	BM_minus_FIB	forbidden	-0.0960053594809377	82	Eils_2020
processing_index	EC_readout	forbidden	0.0657390390659434	80	Eils_2020
Mast_CMA1	BM_minus_FIB	forbidden	-0.119890786023915	66	Eils_2020
VSMC_AGT	Peri_AGTR1	forbidden	0.0126648123397031	94	Eils_2020
AGT_source_index	Peri_AGTR1	forbidden	-0.159478224279402	97	Eils_2020
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.147593082356526	82	Eils_2020
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0611345522737928	80	Eils_2020
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.234695830485304	76	Eils_2020
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.263575219054671	73	Eils_2020
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.304697380307136	81	Eils_2020
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.341162681669011	80	Eils_2020
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.197537619699042	85	Eils_2020
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.190481160630414	66	Eils_2020
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.32875482726229	66	Eils_2020
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.0294259163168074	86	Eils_2020
AGT_source_index	Peri_AT1R_response	allowed	0.329188053421608	72	Kaminski_2020
processing_index	Peri_AT1R_response	allowed	0.305398894318186	72	Kaminski_2020
Peri_AGTR1	Peri_AT1R_response	allowed	0.00046142281015241	72	Kaminski_2020
Peri_ACE2	Peri_AT1R_response	allowed	0.349256157024859	72	Kaminski_2020
Peri_AT1R_response	contractile	allowed	0.242302543507363	82	Kaminski_2020
Peri_AT1R_response	inflammatory	allowed	0.264243967740882	82	Kaminski_2020
Peri_AT1R_response	activated_migratory	allowed	0.588750666623132	82	Kaminski_2020
Peri_AT1R_response	BM_minus_FIB	allowed	-0.523013463066358	82	Kaminski_2020
BM_minus_FIB	EC_readout	allowed	0.152325987035404	77	Kaminski_2020
Peri_AT1R_response	EC_readout	allowed	0.345193858505004	77	Kaminski_2020
AGT_source_index	BM_minus_FIB	forbidden	-0.0753768022992825	75	Kaminski_2020
processing_index	EC_readout	forbidden	-0.00223682648416403	76	Kaminski_2020
Mast_CMA1	BM_minus_FIB	forbidden	-0.0808698973469868	61	Kaminski_2020
VSMC_AGT	Peri_AGTR1	forbidden	0.0736931465700199	82	Kaminski_2020
AGT_source_index	Peri_AGTR1	forbidden	-0.147028449934191	84	Kaminski_2020
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.125633001422475	75	Kaminski_2020
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.0685167464114833	76	Kaminski_2020
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.268286445012788	69	Kaminski_2020
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.244902749832327	71	Kaminski_2020
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.308901624691098	77	Kaminski_2020
