from	to	family	partial_rho	boot
AGT_source_index	Peri_AT1R_response	allowed	0.296511508488397	1
processing_index	Peri_AT1R_response	allowed	0.415502812726427	1
Peri_AGTR1	Peri_AT1R_response	allowed	0.0996501225773768	1
Peri_ACE2	Peri_AT1R_response	allowed	0.41069144409545	1
Peri_AT1R_response	contractile	allowed	0.131297382187122	1
Peri_AT1R_response	inflammatory	allowed	0.325921657684529	1
Peri_AT1R_response	activated_migratory	allowed	0.262470483227694	1
Peri_AT1R_response	BM_minus_FIB	allowed	-0.608062456925284	1
BM_minus_FIB	EC_readout	allowed	0.0394242870568219	1
Peri_AT1R_response	EC_readout	allowed	0.242687008876822	1
AGT_source_index	BM_minus_FIB	forbidden	-0.22364848586799	1
processing_index	EC_readout	forbidden	0.164086095909609	1
Mast_CMA1	BM_minus_FIB	forbidden	-0.15200875733598	1
VSMC_AGT	Peri_AGTR1	forbidden	-0.113115677066899	1
AGT_source_index	Peri_AGTR1	forbidden	-0.316443009076229	1
VSMC_AGT	Peri_AT1R_response	marginal_descriptive	0.315997924812411	1
AlvFib_AGT	Peri_AT1R_response	marginal_descriptive	-0.0257351894554047	1
AdvFib_AGT	Peri_AT1R_response	marginal_descriptive	0.387881126978001	1
ECaero_ACE	Peri_AT1R_response	marginal_descriptive	0.350113715885234	1
ECgcap_ACE	Peri_AT1R_response	marginal_descriptive	0.370856118199736	1
AlvMac_ACE	Peri_AT1R_response	marginal_descriptive	0.259325123371716	1
IntMac_ACE	Peri_AT1R_response	marginal_descriptive	0.152244538268292	1
Mast_CMA1	Peri_AT1R_response	marginal_descriptive	0.343384050513199	1
Mast_CTSG	Peri_AT1R_response	marginal_descriptive	0.49403354565937	1
Peri_MAS1	Peri_AT1R_response	marginal_descriptive	0.133444056536623	1
AGT_source_index	Peri_AT1R_response	allowed	0.227431844126831	2
processing_index	Peri_AT1R_response	allowed	0.224531245134692	2
Peri_AGTR1	Peri_AT1R_response	allowed	0.0553329017646716	2
Peri_ACE2	Peri_AT1R_response	allowed	0.355774373534437	2
Peri_AT1R_response	contractile	allowed	0.289972068942026	2
Peri_AT1R_response	inflammatory	allowed	0.154216908508754	2
Peri_AT1R_response	activated_migratory	allowed	0.571292322365284	2
Peri_AT1R_response	BM_minus_FIB	allowed	-0.431943592887799	2
