arm	exposure	n_donors	n_studies	singular	studies_dropped	model	compartment	slope	SE	df	lower.CL	upper.CL	t_ratio	p_value	p_BH	null_mean	null_sd	n_null	p_emp
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT1	0.0765131968009342	0.107228722544694	332.095093911164	-0.134419961429756	0.287446355031625	0.713551322678888	0.476005811407673	0.764956029377432	0.0131598830969933	0.121536631038625	177	0.589887640449438
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT2	0.191178744076957	0.107228722544694	332.095093911171	-0.0197544141537336	0.402111902307647	1.78290610519277	0.0755149027606853	0.302059611042741	0.0205905644336997	0.137573373097577	177	0.202247191011236
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte	0.0559762529240069	0.107228722544694	332.095093911171	-0.154956905306684	0.266909411154697	0.522026669679621	0.60199977027404	0.764956029377432	-0.00845580575676071	0.124931932024997	177	0.606741573033708
primary	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_gcap	-0.032085446577184	0.107228722544694	332.095093911171	-0.243018604807874	0.178847711653506	-0.299224366529317	0.764956029377432	0.764956029377432	0.0024013188188178	0.121635333339666	177	0.769662921348315
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT1	-0.0742323675381069	0.107154895150641	333.776180030547	-0.285016414584627	0.136551679508413	-0.692757595756581	0.488943397064309	0.488943397064309	NA	NA	NA	NA
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT2	-0.111705447994621	0.107154895150641	333.776180030547	-0.322489495041141	0.0990785990518984	-1.0424670551689	0.297949656242989	0.397266208323985	NA	NA	NA	NA
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte	0.191839895433194	0.107154895150641	333.776180030547	-0.0189441516133263	0.402623942479713	1.79030454150974	0.0743111937233998	0.297244774893599	NA	NA	NA	NA
_detect	AGTR1_detect_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_detect_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_gcap	0.135330016266057	0.107154895150641	333.776180030547	-0.0754540307804624	0.346114063312577	1.26293825471815	0.207492919512297	0.397266208323985	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT1	0.213543942066155	0.121673633229478	229.235800219345	-0.0261977107396744	0.453285594871984	1.7550551947718	0.0805857256997475	0.161171451399495	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT2	0.24901344084693	0.121673633229478	229.235800219345	0.00927178804110099	0.488755093652759	2.04656862984676	0.0418413786243641	0.161171451399495	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte	0.113202910544347	0.121673633229478	229.235800219345	-0.126538742261482	0.352944563350176	0.930381608074818	0.35315227118962	0.470869694919494	NA	NA	NA	NA
_mincells20	AGTR1_z	69	17	TRUE	Meyer_2019	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_gcap	0.0340672633654612	0.121673633229478	229.235800219345	-0.205674389440368	0.27380891617129	0.279988872373112	0.779738529816378	0.779738529816378	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	AT1	0.0380792655050876	0.148631674792538	164.157114136947	-0.255397027624329	0.331555558634504	0.256198859080604	0.798118067338888	0.801783277102066	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	AT2	0.317043164750994	0.148631674792538	164.157114136947	0.0235668716215768	0.61051945788041	2.13307940715548	0.0344044007661949	0.13761760306478	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	EC_aerocyte	-0.0373729409338249	0.148631674792538	164.157114136947	-0.330849234063242	0.256103352195592	-0.251446678414884	0.801783277102066	0.801783277102066	NA	NA	NA	NA
_ageadj	AGTR1_z	47	13	TRUE	Kaminski_2020;Peer_Massague_2020;Regev_2021;Sheppard_2020;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + age + (1|study) + (1|donor_id))	EC_gcap	-0.111167048982795	0.148631674792538	164.157114136947	-0.404643342112211	0.182309244146622	-0.747936461982031	0.455568625906107	0.801783277102066	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	AT1	0.0765892220302175	0.107604179467336	329.198320845853	-0.135089322535146	0.288267766595581	0.711768096828121	0.477112471472238	0.766292458093442	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	AT2	0.19125476930624	0.107604179467336	329.19832084586	-0.0204237752591234	0.402933313871604	1.77739164271307	0.0764270083802726	0.305708033521091	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	EC_aerocyte	0.0560522781532902	0.107604179467336	329.19832084586	-0.155626266412073	0.267730822718654	0.520911719514623	0.6027784741158	0.766292458093442	NA	NA	NA	NA
_disease_adj	AGTR1_z	89	18	TRUE		lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + disease_group + (1|study) + (1|donor_id))	EC_gcap	-0.0320094213479007	0.107604179467336	329.19832084586	-0.243687965913264	0.179669123217463	-0.297473773847393	0.766292458093442	0.766292458093442	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT1	0.0578647097758488	0.158108837223009	130.52019078699	-0.254923004392204	0.370652423943902	0.365980237361635	0.714972336455549	0.898881463826707	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	AT2	0.317741652228975	0.158108837223008	130.52019078699	0.00495393806092243	0.630529366397028	2.0096387893917	0.046531312632128	0.186125250528512	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_aerocyte	0.020130740275201	0.158108837223008	130.52019078699	-0.292656973892852	0.332918454443254	0.127322043655328	0.898881463826707	0.898881463826707	NA	NA	NA	NA
_healthy	AGTR1_z	42	13	TRUE	Budinger_2020;Kaminski_2020;Lafyatis_2019;Regev_2021;Thienpont_2018	lmer(affinity_z ~ compartment * AGTR1_z + sex + mean_log10_total_counts + (1|study) + (1|donor_id))	EC_gcap	-0.12833558052688	0.158108837223008	130.52019078699	-0.441123294694933	0.184452133641173	-0.811691381588405	0.418446561749763	0.836893123499525	NA	NA	NA	NA
