level	model	spec	predictor	estimate	SE	z_value	p_value	n_units	n_donors	singular	note	max_abs_grad	n_warnings	panel
pseudobulk	NB GLMM	primary	null_at1r_0001_z	0.0623118392272064	0.054577714357537	1.14170847864759	0.253575215352308	214	95	FALSE	""	0.000563941284781322	0	null_at1r_0001
pseudobulk	NB GLMM	primary	null_at1r_0002_z	0.0731808459367518	0.0547265205699652	1.33720991531325	0.181154126269554	214	95	FALSE	""	0.000380034634872573	0	null_at1r_0002
pseudobulk	NB GLMM	primary	null_at1r_0003_z	0.0784526784021736	0.0556430956131112	1.40992656029885	0.158561369084782	214	95	FALSE	""	0.000106384732134757	0	null_at1r_0003
pseudobulk	NB GLMM	primary	null_at1r_0004_z	0.091763459060381	0.0553329071540211	1.6583885391193	0.0972390683729312	214	95	FALSE	""	0.000269111524175969	0	null_at1r_0004
pseudobulk	NB GLMM	primary	null_at1r_0005_z	0.068002264168979	0.0539127206332544	1.26133987248705	0.207186421443563	214	95	FALSE	""	0.000375769104721257	0	null_at1r_0005
pseudobulk	NB GLMM	primary	null_at1r_0006_z	0.0655375216583795	0.0556163829757992	1.17838518349705	0.238643081816788	214	95	FALSE	""	0.000230982095672516	0	null_at1r_0006
pseudobulk	NB GLMM	primary	null_at1r_0007_z	0.0904001967684087	0.0562957765123545	1.60580779534269	0.108316147340386	214	95	FALSE	""	8.35586888570106e-05	0	null_at1r_0007
pseudobulk	NB GLMM	primary	null_at1r_0008_z	0.113289928231896	0.0557887888695634	2.03069345163187	0.0422861010459606	214	95	FALSE	""	0.000229609895541216	0	null_at1r_0008
pseudobulk	NB GLMM	primary	null_at1r_0009_z	0.078396471424292	0.055151130093603	1.42148440641628	0.155175983692514	214	95	FALSE	""	0.000334483729602653	0	null_at1r_0009
pseudobulk	NB GLMM	primary	null_at1r_0010_z	0.092456074016979	0.0550716223032552	1.67883331106289	0.0931845345767098	214	95	FALSE	""	0.000341412942361785	0	null_at1r_0010
pseudobulk	NB GLMM	primary	null_at1r_0011_z	0.0837290120608655	0.0550154188886188	1.52191901383826	0.128029374312892	214	95	FALSE	""	0.000562534978598706	0	null_at1r_0011
pseudobulk	NB GLMM	primary	null_at1r_0012_z	0.0814961335168429	0.054290885921348	1.50110155938342	0.133329295561318	214	95	FALSE	""	0.000351651578966994	0	null_at1r_0012
pseudobulk	NB GLMM	primary	null_at1r_0013_z	0.105252700372223	0.0533952146810199	1.97120099621279	0.0487008900276009	214	95	FALSE	""	0.000613149495620746	0	null_at1r_0013
pseudobulk	NB GLMM	primary	null_at1r_0014_z	0.0825653237230012	0.0556220346984657	1.48439955802765	0.137702951954491	214	95	FALSE	Model failed to converge with max|grad| = 0.00201359 (tol = 0.002, component 1)	0.000362347236659843	1	null_at1r_0014
pseudobulk	NB GLMM	primary	null_at1r_0015_z	0.0804674011486566	0.055928468496193	1.43875566973793	0.150219760401477	214	95	FALSE	""	0.00033752712624846	0	null_at1r_0015
pseudobulk	NB GLMM	primary	null_at1r_0016_z	0.0713916770434875	0.0555023084531533	1.28628302197098	0.198344305577823	214	95	FALSE	""	0.000587539261687198	0	null_at1r_0016
pseudobulk	NB GLMM	primary	null_at1r_0017_z	0.0716291831627159	0.0545341705517828	1.31347341378743	0.189023473814297	214	95	FALSE	""	0.000122934125101892	0	null_at1r_0017
pseudobulk	NB GLMM	primary	null_at1r_0018_z	0.0991333563059415	0.0551582028962884	1.79725500651893	0.0722951455844866	214	95	FALSE	""	0.00039660790207563	0	null_at1r_0018
pseudobulk	NB GLMM	primary	null_at1r_0019_z	0.0894654020076945	0.0547760087452101	1.63329537980472	0.102406888037501	214	95	FALSE	""	0.000529229282619781	0	null_at1r_0019
pseudobulk	NB GLMM	primary	null_at1r_0020_z	0.0848734978086581	0.0565245635558319	1.5015330056432	0.133217756503304	214	95	FALSE	""	0.000470497525384417	0	null_at1r_0020
pseudobulk	NB GLMM	primary	null_at1r_0021_z	0.123308371342145	0.0540954378487525	2.27945971501161	0.0226397520743192	214	95	FALSE	""	0.000745627630749368	0	null_at1r_0021
pseudobulk	NB GLMM	primary	null_at1r_0022_z	0.0785485244237644	0.0553329881590912	1.41956050155695	0.155735671400455	214	95	FALSE	""	0.000769678081269376	0	null_at1r_0022
pseudobulk	NB GLMM	primary	null_at1r_0023_z	0.0840403293835751	0.0533134707366134	1.57634324350712	0.114946720816628	214	95	FALSE	""	0.000280755330095417	0	null_at1r_0023
pseudobulk	NB GLMM	primary	null_at1r_0024_z	0.0903900111170799	0.054516324916938	1.65803566646871	0.0973102676166308	214	95	FALSE	""	0.000589905084780185	0	null_at1r_0024
pseudobulk	NB GLMM	primary	null_at1r_0025_z	0.105771784915205	0.0557357243526628	1.89773769236303	0.0577306446766565	214	95	FALSE	""	0.000223424194700783	0	null_at1r_0025
pseudobulk	NB GLMM	primary	null_at1r_0026_z	0.0737943136605448	0.0550660624111583	1.34010514696964	0.180211162994175	214	95	FALSE	""	0.000233450236919452	0	null_at1r_0026
pseudobulk	NB GLMM	primary	null_at1r_0027_z	0.104834490519309	0.054464636068341	1.92481760803037	0.0542521803520853	214	95	FALSE	""	0.00035594098335423	0	null_at1r_0027
pseudobulk	NB GLMM	primary	null_at1r_0028_z	0.060523877959506	0.0551599901831663	1.09724236278013	0.272535459091796	214	95	FALSE	""	0.000133584308059653	0	null_at1r_0028
pseudobulk	NB GLMM	primary	null_at1r_0029_z	0.0770461230514961	0.0543295128692989	1.41812652060487	0.156153829679017	214	95	FALSE	""	0.000109771463030484	0	null_at1r_0029
pseudobulk	NB GLMM	primary	null_at1r_0030_z	0.0791054455763633	0.0550153075660863	1.43788063860843	0.150467924096112	214	95	FALSE	""	0.000511732878294424	0	null_at1r_0030
