donor_id	n	rho	prho
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A26	372	0.106115961941064	0.0381232731132134
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI01	831	0.00493723714630809	-0.00860225824151926
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 3	398	-0.0515207426690468	-0.0519722340419356
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D4	49	0.0331632653061224	0.0677551020408163
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML1	468	0.0873098797609009	0.0655405936175536
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF3	892	-0.0887753428340657	-0.0797091411185085
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML2	381	-0.0340227346202832	-0.0244493721833958
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A44	130	-0.125248194021494	-0.133949664750304
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D239	986	-0.00154049054028395	-0.00843281728376369
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D088	322	-0.0317905814563897	-0.00365776884547099
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD68	105	-0.124175824175824	-0.132085838689612
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D12	139	-0.0745073506412261	-0.0865588274721837
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NML3	133	-0.103503330918885	-0.150018873506698
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D13	84	-0.0596537410144781	-0.0636630555836793
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747A43	554	-0.273956317707175	-0.251627812848852
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD94	55	0.142424242424242	0.124386724386724
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD67	43	0.0697674418604651	0.0937783147085473
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747DD073R	52	-0.221804832237685	-0.251259284555622
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD2	152	-0.0333927924603093	0.0122164585597222
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_1	274	0.0253530411194645	-0.00749994531016429
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747021I	21	-0.422077922077922	-0.246753246753247
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D062	114	-0.132629958891072	-0.128434013081955
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 2	1129	-0.00941784177398747	-0.0116770280910035
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD55	51	0.0394570135746606	0.0532126696832579
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747225I	50	0.0208883553421369	0.0199279711884754
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D17	66	-0.0398079532407891	-0.0312910969627388
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D046	96	0.0741182854042322	0.0748372219207813
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Case_1	291	-0.0142245640348869	-0.0517324165201681
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747donor 1	63	0.0368663594470046	0.0617319508448541
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF1	208	-0.103761608338267	-0.100901196438954
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D3	40	0.237148217636023	0.270168855534709
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D7	168	-0.0202013555306969	0.0124948750006327
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747RU653	27	-0.0665445665445666	-0.153235653235653
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_2	105	-0.3566659755339	-0.353058262492225
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD85	22	-0.0163749294184077	0.0886504799548278
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D16	91	-0.11699315177576	0.00600414078674948
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747022I	47	-0.288506012950971	-0.113205365402405
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SCD1	183	0.0418784707808229	0.050214219137954
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747NU_CZI02	93	-0.163394109396914	-0.0686789412431739
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc10380	36	-0.213899613899614	-0.110939510939511
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_8	26	-0.216410256410256	-0.167863247863248
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747IPF2	196	-0.0880124951190941	-0.0781152132856266
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D11	49	-0.0802040816326531	-0.0742857142857143
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D139	52	0.182361478698882	0.167420814479638
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc8257	98	-0.0715018903531422	-0.0686838934261615
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_3	55	-0.127994227994228	-0.0711399711399711
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_4	86	0.134732770413699	0.0553327987169206
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747JVV9L8ng	24	-0.0426086956521739	-0.0843478260869565
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD92	75	0.0428165007112376	-0.00859174964438122
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D8	102	-0.426760380207067	-0.435276023319065
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D10	50	-0.1446818727491	-0.113181272509004
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747034I	70	-0.246225177149856	-0.209517977429796
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD59	51	0.100542986425339	0.156108597285068
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_7	24	0.088695652173913	0.187826086956522
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUILD57	63	-0.0721006144393241	-0.133832565284178
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D5	72	-0.0537333590584604	-0.0866293652324909
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D150	89	-0.286227442969016	-0.279417773237998
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D032	70	0.024197358061412	0.0116350275566442
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D122	32	0.198313782991202	0.328812316715543
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747PMB_2	62	-0.0521014328523583	-0.118329933771499
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_48374749I	20	-0.524812030075188	-0.503759398496241
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747VUHD95	115	-0.178829006549357	-0.191683105815513
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D14	46	0.123897625655257	0.0411347517730496
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747SSc_3	43	-0.30579885231048	-0.267441860465116
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747D1	66	-0.0879031416344849	-0.014967122429809
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747Patient_1	56	-0.0592617908407382	-0.0479835953520164
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747lambrechts_3	66	-0.234735413839891	-0.269053334724977
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc5212	21	-0.0805194805194805	-0.118181818181818
homosapiens_None_2023_None_sikkemalisa_002_d10_1101_2022_03_10_483747muc9833	25	-0.0861538461538462	-0.0884615384615385
