gene	detect_frac	target_gene	target_detect
ACTN1	0.3454623287671233	AGTR1	0.3742294520547945
ADAMTS1	0.35154109589041094	AGTR1	0.3742294520547945
ADAMTSL3	0.3978595890410959	AGTR1	0.3742294520547945
ADCY3	0.3857876712328767	AGTR1	0.3742294520547945
ADGRD1	0.3804794520547945	AGTR1	0.3742294520547945
ADGRG6	0.35933219178082193	AGTR1	0.3742294520547945
AHNAK	0.3976883561643836	AGTR1	0.3742294520547945
AKAP9	0.380222602739726	AGTR1	0.3742294520547945
ANKRD12	0.3727739726027397	AGTR1	0.3742294520547945
ANKRD44	0.3497431506849315	AGTR1	0.3742294520547945
ANO6	0.4002568493150685	AGTR1	0.3742294520547945
AOC3	0.3844178082191781	AGTR1	0.3742294520547945
AOPEP	0.34726027397260273	AGTR1	0.3742294520547945
AP2M1	0.36583904109589044	AGTR1	0.3742294520547945
APLP2	0.3523972602739726	AGTR1	0.3742294520547945
ARHGAP29	0.3462328767123288	AGTR1	0.3742294520547945
ARHGAP6	0.369777397260274	AGTR1	0.3742294520547945
ARHGEF12	0.37303082191780823	AGTR1	0.3742294520547945
ARHGEF17	0.3863013698630137	AGTR1	0.3742294520547945
ARPC3	0.3519691780821918	AGTR1	0.3742294520547945
ASAH1	0.3483732876712329	AGTR1	0.3742294520547945
ASAP1	0.39871575342465754	AGTR1	0.3742294520547945
ATP1B3	0.3451198630136986	AGTR1	0.3742294520547945
ATP5F1B	0.3707191780821918	AGTR1	0.3742294520547945
ATP5MC2	0.38381849315068495	AGTR1	0.3742294520547945
ATP5MG	0.3638698630136986	AGTR1	0.3742294520547945
ATP6V0E1	0.3878424657534247	AGTR1	0.3742294520547945
ATRX	0.40222602739726027	AGTR1	0.3742294520547945
AXL	0.3514554794520548	AGTR1	0.3742294520547945
BNIP3L	0.40342465753424656	AGTR1	0.3742294520547945
C11orf96	0.37431506849315066	AGTR1	0.3742294520547945
C1S	0.4021404109589041	AGTR1	0.3742294520547945
C4orf3	0.3571917808219178	AGTR1	0.3742294520547945
CADM1	0.36198630136986304	AGTR1	0.3742294520547945
CAST	0.36532534246575343	AGTR1	0.3742294520547945
CD81	0.40128424657534245	AGTR1	0.3742294520547945
CDH6	0.37106164383561646	AGTR1	0.3742294520547945
CFDP1	0.3467465753424658	AGTR1	0.3742294520547945
CLIC4	0.3747431506849315	AGTR1	0.3742294520547945
CLMN	0.35205479452054794	AGTR1	0.3742294520547945
COL6A3	0.3814212328767123	AGTR1	0.3742294520547945
COX6B1	0.3863013698630137	AGTR1	0.3742294520547945
COX7A1	0.3839041095890411	AGTR1	0.3742294520547945
COX7B	0.3471746575342466	AGTR1	0.3742294520547945
COX8A	0.3478595890410959	AGTR1	0.3742294520547945
CSNK1A1	0.3758561643835616	AGTR1	0.3742294520547945
CYB5R3	0.3745719178082192	AGTR1	0.3742294520547945
CYBA	0.3741438356164384	AGTR1	0.3742294520547945
CYSTM1	0.3667808219178082	AGTR1	0.3742294520547945
DAD1	0.36147260273972603	AGTR1	0.3742294520547945
DGKG	0.3894691780821918	AGTR1	0.3742294520547945
DGKH	0.39375	AGTR1	0.3742294520547945
ECE1	0.3703767123287671	AGTR1	0.3742294520547945
EHD2	0.38767123287671235	AGTR1	0.3742294520547945
EIF3E	0.36404109589041095	AGTR1	0.3742294520547945
EIF3K	0.37996575342465755	AGTR1	0.3742294520547945
EIF4A1	0.35898972602739726	AGTR1	0.3742294520547945
EIF4G2	0.3909246575342466	AGTR1	0.3742294520547945
ELOB	0.34657534246575344	AGTR1	0.3742294520547945
ERH	0.34948630136986303	AGTR1	0.3742294520547945
FAM13C	0.375513698630137	AGTR1	0.3742294520547945
FARP1	0.39220890410958903	AGTR1	0.3742294520547945
FOSB	0.3639554794520548	AGTR1	0.3742294520547945
FOXP1	0.34554794520547943	AGTR1	0.3742294520547945
FXYD1	0.3535958904109589	AGTR1	0.3742294520547945
GABARAPL2	0.3490582191780822	AGTR1	0.3742294520547945
GADD45B	0.37893835616438354	AGTR1	0.3742294520547945
GNAS	0.37782534246575344	AGTR1	0.3742294520547945
GRN	0.3636986301369863	AGTR1	0.3742294520547945
GUK1	0.38981164383561645	AGTR1	0.3742294520547945
HES1	0.3492294520547945	AGTR1	0.3742294520547945
HINT1	0.39195205479452055	AGTR1	0.3742294520547945
HMGN2	0.36789383561643835	AGTR1	0.3742294520547945
HNRNPA3	0.3954623287671233	AGTR1	0.3742294520547945
HNRNPC	0.3955479452054795	AGTR1	0.3742294520547945
HSPA5	0.344263698630137	AGTR1	0.3742294520547945
HSPA8	0.39537671232876714	AGTR1	0.3742294520547945
IER2	0.38638698630136986	AGTR1	0.3742294520547945
IL6ST	0.3559931506849315	AGTR1	0.3742294520547945
INPP4B	0.3903253424657534	AGTR1	0.3742294520547945
JMJD1C	0.3810787671232877	AGTR1	0.3742294520547945
JUND	0.35368150684931504	AGTR1	0.3742294520547945
KIAA0040	0.34794520547945207	AGTR1	0.3742294520547945
BLTP1	0.35419520547945205	AGTR1	0.3742294520547945
KLF9	0.39357876712328765	AGTR1	0.3742294520547945
