panel_a	panel_b	pearson_r
basement_membrane	fibroblast_like	0.1369822999379488
basement_membrane	fibroblast_like_noCOL4A1	-0.015334181420121322
basement_membrane	fibrillar_ecm	0.005499999886510141
basement_membrane	vascular_stabilizing	-0.19761593509417838
