gene	block	detect_frac	mean_expr	mean_expr_in_pos
COL4A2	basement_membrane	0.8103595890410958	2.0786228	2.5650625
COL4A1	basement_membrane	0.7939212328767123	2.0454922	2.576442
LAMB1	basement_membrane	0.5961472602739726	1.43257	2.4030476
COL1A2	fibrillar_core	0.5835616438356165	1.4161133	2.426673
NID1	basement_membrane	0.577054794520548	1.3468853	2.3340683
COL18A1	basement_membrane	0.5262842465753425	1.2048582	2.289368
COL5A2	fibrillar_minor	0.3544520547945205	0.77704996	2.192257
LAMA4	basement_membrane	0.31215753424657533	0.66451144	2.1287694
COL5A3	fibrillar_minor	0.2705479452054795	0.57374287	2.1206698
COL3A1	fibrillar_core	0.2661815068493151	0.61922896	2.326341
SFTPC	ambient_tracer	0.2538527397260274	0.5831439	2.297174
LAMC1	basement_membrane	0.22294520547945204	0.45494357	2.040607
SCGB1A1	ambient_tracer	0.19195205479452054	0.41093987	2.1408465
COL5A1	fibrillar_minor	0.14871575342465754	0.3004576	2.020348
COL1A1	fibrillar_core	0.14726027397260275	0.32424542	2.2018528
LAMB2	basement_membrane	0.14272260273972603	0.2870429	2.0111945
SFTPB	ambient_tracer	0.14101027397260274	0.30340236	2.151633
HSPG2	basement_membrane	0.13964041095890412	0.2828698	2.0257018
NID2	basement_membrane	0.09700342465753424	0.191948	1.9787755
AGRN	basement_membrane	0.06926369863013698	0.13686152	1.9759489
LAMA5	basement_membrane	0.0663527397260274	0.13091007	1.9729414
SCGB3A2	ambient_tracer	0.05710616438356164	0.11453182	2.0055947
PTPRC	ambient_tracer	0.020719178082191782	0.041200273	1.9885089
LAMA3	basement_membrane	0.015839041095890412	0.029683067	1.8740444
COL11A1	fibrillar_minor	0.001969178082191781	0.0035312055	1.7932383
COL11A2	fibrillar_minor	0.0016267123287671233	0.0030748048	1.8901957
