pericyte_state	vascular_stabilizing_relenrich	inflammatory_relenrich	synthetic_contractile_relenrich	activated_migratory_relenrich	fibroblast_like_relenrich	basement_membrane_relenrich
0	0.4062852477732454	0.350204602112112	0.3895131278194579	0.3339422346457334	0.15270433144661924	-0.22858079892639438
1	-0.7662400371646073	-0.6155632298250907	-0.6591206734750373	-0.5705147886645551	-0.33216136542804503	0.4488915784758076
2	0.3096940217721057	0.22759430228068658	0.0804533852990692	-0.01656484053186401	0.048387552389916995	-0.4736646935665028
3	0.2663620343875965	-0.35056403950916426	0.21991343315356754	0.046176108396849665	0.37492781308801937	0.6687361536582137
4	-0.4417732162001926	0.41319945490560894	-0.5324143813775927	0.4384861470667157	0.15600484399609255	-0.038093664575168065
5	-0.5121730493781781	-0.597548871926814	0.11345895801305647	0.16182745469201293	0.32810139384193676	0.6630572676173935
