pericyte_state	n_cells	program_5panel	program_canonical	program_6panel	canonical_arm	flipped
0	5864	vascular_stabilizing	vascular_stabilizing	vascular_stabilizing	6-panel with the frozen 13-gene BM panel (bm_v1)	False
1	3630	fibroblast_like	basement_membrane	basement_membrane	6-panel with the frozen 13-gene BM panel (bm_v1)	False
2	1396	vascular_stabilizing	vascular_stabilizing	vascular_stabilizing	6-panel with the frozen 13-gene BM panel (bm_v1)	False
3	457	fibroblast_like	basement_membrane	basement_membrane	6-panel with the frozen 13-gene BM panel (bm_v1)	False
4	220	activated_migratory	activated_migratory	activated_migratory	6-panel with the frozen 13-gene BM panel (bm_v1)	False
5	113	fibroblast_like	basement_membrane	basement_membrane	6-panel with the frozen 13-gene BM panel (bm_v1)	False
