gene	program	mean_detect	category	role
ADAMTS1	basement_membrane	0.24113968033356498	Fibrotic mediators	Myofibroblast transition / fibrosis
VIM	basement_membrane	0.4791521890201529	Fibrotic mediators	Myofibroblast transition / fibrosis
RGS5	basement_membrane	0.21994440583738709	Mural identity	Vascular support
TGFB1	fibroblast_like	0.11891891891891893	Signaling ligands	Pericyte-EC crosstalk
TGFB2	fibroblast_like	0.0984984984984985	Signaling ligands	Pericyte-EC crosstalk
TGFB3	fibroblast_like	0.03123123123123123	Signaling ligands	Pericyte-EC crosstalk
WNT5A	fibroblast_like	0.042042042042042045	Signaling ligands	Pericyte-EC crosstalk
NODAL	fibroblast_like	0.0024024024024024023	Signaling ligands	Pericyte-EC crosstalk
CXCL1	fibroblast_like	0.007207207207207207	Chemokines	Neutrophil/monocyte recruitment
CXCL2	fibroblast_like	0.04984984984984985	Chemokines	Neutrophil/monocyte recruitment
CXCL3	fibroblast_like	0.016216216216216217	Chemokines	Neutrophil/monocyte recruitment
CXCL6	fibroblast_like	0.0006006006006006006	Chemokines	Neutrophil/monocyte recruitment
CXCL8	fibroblast_like	0.013213213213213212	Chemokines	Neutrophil/monocyte recruitment
CXCL10	fibroblast_like	0.004804804804804805	Chemokines	Neutrophil/monocyte recruitment
CCL2	fibroblast_like	0.09069069069069069	Chemokines	Neutrophil/monocyte recruitment
CCL20	fibroblast_like	0.005405405405405406	Chemokines	Neutrophil/monocyte recruitment
IL1A	fibroblast_like	0.0006006006006006006	Cytokines	Inflammatory amplification
IL1B	fibroblast_like	0.007807807807807808	Cytokines	Inflammatory amplification
IL6	fibroblast_like	0.07147147147147147	Cytokines	Inflammatory amplification
MIF	fibroblast_like	0.22462462462462462	Cytokines	Inflammatory amplification
ICAM1	fibroblast_like	0.05525525525525526	Adhesion molecules	Leukocyte trafficking
VCAM1	fibroblast_like	0.021021021021021023	Adhesion molecules	Leukocyte trafficking
SELE	fibroblast_like	0.0012012012012012011	Adhesion molecules	Leukocyte trafficking
